LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
8773,2023-01-20 10:50:16.637237,136665328,0,5.977304,92845.63,26.72,0.147046,136665,0,20.07363,1
8805,2023-01-20 10:50:16.737226,136765319,0,5.961171,92845.81,26.73,0.4167712,136765,0,20.07363,1
8839,2023-01-20 10:50:16.837287,136865391,0,6.052591,92844.8,26.73,0.5352485,136865,0,20.07363,1
8869,2023-01-20 10:50:16.937181,136965308,0,5.971926,92845.69,26.74,0.5125611,136965,0,20.07363,1
8902,2023-01-20 10:50:17.037205,137065336,0,6.090235,92844.41,26.73,0.3671952,137065,0,20.07363,1
8932,2023-01-20 10:50:17.137232,137165335,0,6.197789,92843.23,26.74,0.2739261,137165,0,20.07363,1
8967,2023-01-20 10:50:17.237228,137265316,0,6.039147,92844.97,26.73,0.3739178,137265,0,20.07363,1
8997,2023-01-20 10:50:17.337237,137365334,0,5.98537,92845.55,26.73,0.3436683,137365,0,20.07363,1
9030,2023-01-20 10:50:17.437235,137465333,0,6.17359,92843.5,26.72,-0.02520785,137465,0,20.07363,1
9062,2023-01-20 10:50:17.537242,137565329,0,5.923527,92846.2,26.7,-0.2428365,137565,0,20.07363,1
9096,2023-01-20 10:50:17.637239,137665319,0,5.936971,92846.08,26.67,-0.1806569,137665,0,20.07363,1
9128,2023-01-20 10:50:17.737236,137765318,0,5.692286,92848.72,26.64,-0.3823203,137765,0,20.07363,1
9162,2023-01-20 10:50:17.833946,137865347,0,5.697664,92848.67,26.59,-0.8427852,137865,0,20.07363,1
9192,2023-01-20 10:50:17.925054,137965364,0,5.778329,92847.78,26.54,-1.020921,137965,0,20.07363,1
9225,2023-01-20 10:50:18.019618,138065345,0,5.557844,92850.17,26.5,-0.7478352,138065,0,20.07363,1
9256,2023-01-20 10:50:18.130392,138165322,0,5.990748,92845.48,26.47,-0.31846,138165,0,20.07363,1
9291,2023-01-20 10:50:18.237196,138265327,0,6.092924,92844.38,26.43,0.2033438,138265,0,20.07363,1
9321,2023-01-20 10:50:18.337254,138365344,0,6.144012,92843.84,26.42,0.9671439,138365,0,20.07363,1
9354,2023-01-20 10:50:18.433923,138465301,0,5.966548,92845.75,26.42,1.377193,138465,0,20.07363,1
9386,2023-01-20 10:50:18.525042,138565319,0,6.020325,92845.17,26.44,0.8259804,138565,0,20.07363,1
9420,2023-01-20 10:50:18.617759,138665362,0,5.98537,92845.53,26.45,-0.0268884,138665,0,20.07363,1
9452,2023-01-20 10:50:18.717689,138765326,0,5.853617,92846.97,26.45,-0.3705573,138765,0,20.07363,1
9486,2023-01-20 10:50:18.817669,138865340,0,5.789084,92847.67,26.47,-0.4285357,138865,0,20.07363,1
9518,2023-01-20 10:50:18.917621,138965328,0,5.770263,92847.88,26.48,-0.5991088,138965,0,20.07363,1
9551,2023-01-20 10:50:19.017614,139065345,0,5.824039,92847.28,26.5,-0.6638086,139065,0,20.07363,1
9581,2023-01-20 10:50:19.117621,139165316,0,5.807907,92847.47,26.51,-0.3982848,139165,0,20.07363,1
9616,2023-01-20 10:50:19.217646,139265316,0,5.926216,92846.19,26.53,-0.02100617,139265,0,20.07363,1
9646,2023-01-20 10:50:19.317693,139365389,0,5.850928,92846.99,26.54,0.2293925,139365,0,20.07363,1
9679,2023-01-20 10:50:19.417594,139465320,0,5.936971,92846.06,26.58,0.3066969,139465,0,20.07363,1
9711,2023-01-20 10:50:19.517550,139565329,0,5.762196,92847.97,26.62,0.2058652,139565,0,20.07363,1
9745,2023-01-20 10:50:19.617548,139665372,0,5.759507,92847.98,26.66,-0.06049901,139665,0,20.07363,1
9777,2023-01-20 10:50:19.717498,139765324,0,5.72993,92848.31,26.69,-0.3713974,139765,0,20.07363,1
9811,2023-01-20 10:50:19.817518,139865349,0,5.600865,92849.7,26.72,-0.5302074,139865,0,20.07363,1
9841,2023-01-20 10:50:19.917479,139965327,0,5.681531,92848.83,26.74,-0.5234848,139965,0,20.07363,1
9874,2023-01-20 10:50:20.017483,140065343,0,5.501378,92850.78,26.73,-0.4848321,140065,0,20.07363,1
