LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
163009,2023-01-20 10:58:05.051244,606068981,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0001656021,0.003138932,0.01600703
163040,2023-01-20 10:58:05.151263,606168986,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0001336862,0.005819862,0.01635808
163075,2023-01-20 10:58:05.251278,606268984,0,0,0,0,0,55.91,0.16,0,0,0.5,0.0001692404,0.01140233,0.02998325
163105,2023-01-20 10:58:05.351304,606368990,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0001758852,0.01111887,0.02892211
163139,2023-01-20 10:58:05.451308,606468986,0,0,0,0,0,55.91,0.16,0,0,0.5,0.0003629798,0.01206953,0.03384801
163171,2023-01-20 10:58:05.551323,606569005,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0003440896,0.009378299,0.0239428
163204,2023-01-20 10:58:05.651279,606668987,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0004851971,0.0126706,0.03331681
163239,2023-01-20 10:58:05.751233,606768988,0,0,0,0,0,55.92,0.16,0,0,0.5,0.0003704815,0.00633635,0.0148767
163272,2023-01-20 10:58:05.851222,606868988,0,0,0,0,0,55.93,0.16,0,0,0.5,0.0005356464,0.01195064,0.03031781
163302,2023-01-20 10:58:05.951244,606968987,0,0,0,0,0,55.93,0.16,0,0,0.5,0.0003385929,0.007510371,0.0165437
163336,2023-01-20 10:58:06.051275,607068985,0,0,0,0,0,55.94,0.16,0,0,0.5,0.0005092511,0.02102732,0.04903181
163367,2023-01-20 10:58:06.151320,607168986,0,0,0,0,0,55.94,0.16,0,0,0.5,0.0004126911,0.01492104,0.03368654
163402,2023-01-20 10:58:06.251331,607268984,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0005391965,0.02381101,0.0572741
163432,2023-01-20 10:58:06.351314,607368984,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0004252986,0.01631423,0.03865533
163466,2023-01-20 10:58:06.451323,607469002,0,0,0,0,0,55.96,0.16,0,0,0.5,0.0002193242,0.01386018,0.0287905
163498,2023-01-20 10:58:06.551302,607568984,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0002594737,0.01203048,0.02943139
163531,2023-01-20 10:58:06.651296,607668981,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0002464603,0.01344768,0.03161779
163614,2023-01-20 10:58:06.751296,607768986,0,0,0,0,0,55.95,0.16,0,0,0.5,0.0003487623,0.01034041,0.02697441
163647,2023-01-20 10:58:06.851288,607868987,0,0,0,0,0,55.96,0.16,0,0,0.5,0.0002383712,0.01100711,0.02536725
163677,2023-01-20 10:58:06.951269,607968982,0,0,0,0,0,55.96,0.16,0,0,0.5,0.0003469512,0.01009476,0.02751174
163711,2023-01-20 10:58:07.051273,608068986,0,0,0,0,0,55.97,0.16,0,0,0.5,0.0002423922,0.004333034,0.01424615
163742,2023-01-20 10:58:07.151287,608168985,0,0,0,0,0,55.97,0.16,0,0,0.5,0.0001549787,0.005632389,0.02044123
163777,2023-01-20 10:58:07.251304,608268989,0,0,0,0,0,55.98,0.16,0,0,0.5,0.0004203758,0.007106662,0.0199583
163807,2023-01-20 10:58:07.351315,608368988,0,0,0,0,0,55.99,0.16,0,0,0.5,0.0004521471,0.004573568,0.01844648
163841,2023-01-20 10:58:07.451313,608468985,0,0,0,0,0,56,0.16,0,0,0.5,0.0005835225,0.01326851,0.03476303
163873,2023-01-20 10:58:07.551305,608568984,0,0,0,0,0,56.01,0.16,0,0,0.5,0.0004001897,0.00768756,0.02494286
163906,2023-01-20 10:58:07.651282,608668988,0,0,0,0,0,56.02,0.16,0,0,0.5,0.0004205721,0.01247937,0.0321258
163940,2023-01-20 10:58:07.751239,608768991,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0001830961,0.010403,0.03338893
163972,2023-01-20 10:58:07.851223,608868984,0,0,0,0,0,56.03,0.16,0,0,0.5,0.0001145656,0.007227438,0.02474119
