LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
10375,2023-01-20 10:50:21.520149,141567929,0.9315058,0.9577864,1,0.3253585,2
10411,2023-01-20 10:50:21.620184,141667948,0.9314457,0.9577487,1,0.3336879,2
10441,2023-01-20 10:50:21.720112,141767937,0.9314051,0.9577232,1,0.3368187,2
10475,2023-01-20 10:50:21.820065,141867942,0.9313284,0.9576752,1,0.3403389,2
10505,2023-01-20 10:50:21.920091,141967981,0.9312431,0.9576217,1,0.338344,2
10538,2023-01-20 10:50:22.020065,142067956,0.9310902,0.9575258,1,0.3390261,2
10570,2023-01-20 10:50:22.120119,142167959,0.9310064,0.9574733,1,0.3437361,2
10603,2023-01-20 10:50:22.220114,142267921,0.9308488,0.9573745,1,0.3532423,2
10633,2023-01-20 10:50:22.320116,142367958,0.9306476,0.9572482,1,0.3526966,2
10666,2023-01-20 10:50:22.420062,142467923,0.9304571,0.9571287,1,0.3429387,2
10698,2023-01-20 10:50:22.520115,142567929,0.9304341,0.9571143,1,0.3441865,2
10734,2023-01-20 10:50:22.620220,142668001,0.9304143,0.9571019,1,0.3523237,2
10764,2023-01-20 10:50:22.720139,142767936,0.930362,0.9570691,1,0.3583957,2
10798,2023-01-20 10:50:22.820124,142867941,0.9303261,0.9570466,1,0.3679177,2
10828,2023-01-20 10:50:22.920086,142967935,0.9301783,0.9569539,1,0.3787372,2
10861,2023-01-20 10:50:23.020083,143067947,0.9298834,0.9567688,1,0.3822716,2
10894,2023-01-20 10:50:23.120192,143168005,0.9296188,0.9566028,1,0.3755511,2
10927,2023-01-20 10:50:23.220192,143267970,0.9294075,0.9564702,1,0.3795426,2
10957,2023-01-20 10:50:23.320153,143367960,0.929331,0.9564222,1,0.3908006,2
10990,2023-01-20 10:50:23.420098,143467925,0.9291808,0.9563279,1,0.3929501,2
11022,2023-01-20 10:50:23.520121,143567934,0.9290637,0.9562544,1,0.3864231,2
11058,2023-01-20 10:50:23.620163,143667967,0.9288971,0.9561499,1,0.3826588,2
11088,2023-01-20 10:50:23.720110,143767928,0.928829,0.9561071,1,0.3859094,2
11122,2023-01-20 10:50:23.820114,143867946,0.9288115,0.9560961,1,0.3851297,2
11155,2023-01-20 10:50:23.920119,143967968,0.9287139,0.9560348,1,0.3734505,2
11188,2023-01-20 10:50:24.020091,144067941,0.9287673,0.9560683,1,0.3642789,2
11220,2023-01-20 10:50:24.120167,144167955,0.9288741,0.9561355,1,0.366716,2
11253,2023-01-20 10:50:24.220167,144267919,0.9288978,0.9561503,1,0.362888,2
11283,2023-01-20 10:50:24.320135,144367949,0.9289264,0.9561682,1,0.3730673,2
11316,2023-01-20 10:50:24.420071,144467922,0.9290081,0.9562195,1,0.3601601,2
11349,2023-01-20 10:50:24.520193,144567978,0.9288499,0.9561203,1,0.3326893,2
11386,2023-01-20 10:50:24.620201,144667950,0.9290606,0.9562525,1,0.3445853,2
11416,2023-01-20 10:50:24.720098,144767928,0.9293053,0.9564061,1,0.3419197,2
