LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
10346,2023-01-20 10:50:21.420166,141467982,0,0,0,0
10378,2023-01-20 10:50:21.520207,141567987,0,0,0,0
10414,2023-01-20 10:50:21.620237,141668001,0,0,0,0
10444,2023-01-20 10:50:21.720165,141767990,0,0,0,0
10478,2023-01-20 10:50:21.820125,141868002,0,0,0,0
10508,2023-01-20 10:50:21.920145,141968035,0,0,0,0
10541,2023-01-20 10:50:22.020119,142068010,0,0,0,0
10573,2023-01-20 10:50:22.120173,142168013,0,0,0,0
10606,2023-01-20 10:50:22.220168,142267975,0,0,0,0
10636,2023-01-20 10:50:22.320185,142368027,0,0,0,0
10669,2023-01-20 10:50:22.420115,142467976,0,0,0,0
10701,2023-01-20 10:50:22.520169,142567983,0,0,0,0
10737,2023-01-20 10:50:22.620273,142668054,0,0,0,0
10767,2023-01-20 10:50:22.720191,142767989,0,0,0,0
10801,2023-01-20 10:50:22.820184,142868001,0,0,0,0
10831,2023-01-20 10:50:22.920139,142967988,0,0,0,0
10864,2023-01-20 10:50:23.020152,143068016,0,0,0,0
10897,2023-01-20 10:50:23.120246,143168059,0,0,0,0
10930,2023-01-20 10:50:23.220251,143268029,0,0,0,0
10960,2023-01-20 10:50:23.320206,143368013,0,0,0,0
10993,2023-01-20 10:50:23.420155,143467982,0,0,0,0
11025,2023-01-20 10:50:23.520175,143567988,0,0,0,0
11061,2023-01-20 10:50:23.620225,143668029,0,0,0,0
11091,2023-01-20 10:50:23.720163,143767981,0,0,0,0
11125,2023-01-20 10:50:23.820174,143868006,0,0,0,0
11158,2023-01-20 10:50:23.920196,143968045,0,0,0,0
11191,2023-01-20 10:50:24.020159,144068009,0,0,0,0
11223,2023-01-20 10:50:24.120224,144168012,0,0,0,0
11256,2023-01-20 10:50:24.220229,144267981,0,0,0,0
11286,2023-01-20 10:50:24.320189,144368003,0,0,0,0
11319,2023-01-20 10:50:24.420129,144467980,0,0,0,0
11352,2023-01-20 10:50:24.520247,144568032,0,0,0,0
11389,2023-01-20 10:50:24.620255,144668004,0,0,0,0
11419,2023-01-20 10:50:24.720156,144767986,0,0,0,0
11453,2023-01-20 10:50:24.820139,144868034,0,0,0,0
11484,2023-01-20 10:50:24.920115,144968010,0,0,0,0
11517,2023-01-20 10:50:25.020128,145068016,0,0,0,0
11549,2023-01-20 10:50:25.120186,145168045,0,0,0,0
11583,2023-01-20 10:50:25.220177,145268014,0,0,0,0
11613,2023-01-20 10:50:25.320179,145368022,0,0,0,0
11646,2023-01-20 10:50:25.420169,145468014,0,0,0,0
11678,2023-01-20 10:50:25.520242,145568074,0,0,0,0
11714,2023-01-20 10:50:25.620201,145668025,0,0,0,0
11744,2023-01-20 10:50:25.720173,145768009,0,0,0,0
11777,2023-01-20 10:50:25.820212,145868063,0,0,0,0
11809,2023-01-20 10:50:25.920134,145968009,0,0,0,0
11842,2023-01-20 10:50:26.020133,146068020,0,0,0,0
11874,2023-01-20 10:50:26.120185,146168034,0,0,0,0
11907,2023-01-20 10:50:26.220175,146268001,0,0,0,0
11937,2023-01-20 10:50:26.320146,146368008,0,0,0,0
11970,2023-01-20 10:50:26.420118,146468003,0,0,0,0
12002,2023-01-20 10:50:26.520169,146568024,0,0,0,0
12038,2023-01-20 10:50:26.620208,146668040,0,0,0,0
12068,2023-01-20 10:50:26.720183,146768020,0,0,0,0
12101,2023-01-20 10:50:26.820239,146868085,0,0,0,0
12132,2023-01-20 10:50:26.920141,146968011,0,0,0,0
12165,2023-01-20 10:50:27.020231,147068119,0,0,0,0
12197,2023-01-20 10:50:27.120154,147168033,0,0,0,0
12230,2023-01-20 10:50:27.220139,147268007,0,0,0,0
12260,2023-01-20 10:50:27.320190,147368044,0,0,0,0
12293,2023-01-20 10:50:27.418366,147468018,0,0,0,0
12325,2023-01-20 10:50:27.509420,147568045,0,0,0,0
12361,2023-01-20 10:50:27.600586,147668137,0,0,0,0
12391,2023-01-20 10:50:27.700444,147768003,0,0,0,0
12424,2023-01-20 10:50:27.800560,147868126,0,0,0,0
12456,2023-01-20 10:50:27.900376,147968006,0,0,0,0
12489,2023-01-20 10:50:28.000609,148068303,0,0,0,0
12521,2023-01-20 10:50:28.100356,148168025,0,0,0,0
12555,2023-01-20 10:50:28.200616,148268260,0,0,0,0
12585,2023-01-20 10:50:28.300429,148368048,0,0,0,0
12618,2023-01-20 10:50:28.400684,148468210,0,0,0,0
12650,2023-01-20 10:50:28.511418,148568004,0,0,0,0
12686,2023-01-20 10:50:28.618378,148668030,0,0,0,0
12716,2023-01-20 10:50:28.709385,148768037,0,0,0,0
12749,2023-01-20 10:50:28.800600,148868215,0,0,0,0
12782,2023-01-20 10:50:28.900284,148968012,0,0,0,0
12815,2023-01-20 10:50:29.000540,149068382,0,0,0,0
12847,2023-01-20 10:50:29.100265,149168053,0,0,0,0
12881,2023-01-20 10:50:29.200590,149268324,0,0,0,0
12911,2023-01-20 10:50:29.300235,149368034,0,0,0,0
12944,2023-01-20 10:50:29.400526,149468390,0,0,0,0
12976,2023-01-20 10:50:29.500154,149567999,0,0,0,0
13012,2023-01-20 10:50:29.600554,149668379,0,0,0,0
13042,2023-01-20 10:50:29.700176,149768010,0,0,0,0
13075,2023-01-20 10:50:29.800533,149868376,0,0,0,0
13106,2023-01-20 10:50:29.900182,149968047,0,0,0,0
13139,2023-01-20 10:50:30.000551,150068439,0,0,0,0
13171,2023-01-20 10:50:30.100189,150168043,0,0,0,0
13204,2023-01-20 10:50:30.200529,150268349,0,0,0,0
13234,2023-01-20 10:50:30.300226,150368045,0,0,0,0
13267,2023-01-20 10:50:30.400541,150468359,0,0,0,0
13299,2023-01-20 10:50:30.500190,150568013,0,0,0,0
13335,2023-01-20 10:50:30.600548,150668377,0,0,0,0
13366,2023-01-20 10:50:30.700166,150767997,0,0,0,0
13399,2023-01-20 10:50:30.800526,150868359,0,0,0,0
13430,2023-01-20 10:50:30.900147,150968014,0,0,0,0
13463,2023-01-20 10:50:31.000546,151068445,0,0,0,0
13495,2023-01-20 10:50:31.100266,151168078,0,0,0,0
13528,2023-01-20 10:50:31.200582,151268306,0,0,0,0
13558,2023-01-20 10:50:31.300258,151368032,0,0,0,0
13591,2023-01-20 10:50:31.400528,151468352,0,0,0,0
13623,2023-01-20 10:50:31.500185,151568029,0,0,0,0
13658,2023-01-20 10:50:31.600553,151668416,0,0,0,0
13689,2023-01-20 10:50:31.700147,151767997,0,0,0,0
13722,2023-01-20 10:50:31.800528,151868365,0,0,0,0
13754,2023-01-20 10:50:31.900193,151968053,0,0,0,0
13787,2023-01-20 10:50:32.000542,152068425,0,0,0,0
13819,2023-01-20 10:50:32.100173,152168029,0,0,0,0
13852,2023-01-20 10:50:32.200535,152268364,0,0,0,0
13882,2023-01-20 10:50:32.300203,152368025,0,0,0,0
13915,2023-01-20 10:50:32.400534,152468350,0,0,0,0
13947,2023-01-20 10:50:32.500169,152568010,0,0,0,0
13982,2023-01-20 10:50:32.600547,152668413,0,0,0,0
14013,2023-01-20 10:50:32.700145,152767998,0,0,0,0
14046,2023-01-20 10:50:32.800531,152868370,0,0,0,0
14077,2023-01-20 10:50:32.900187,152968047,0,0,0,0
14110,2023-01-20 10:50:33.000541,153068422,0,0,0,0
14142,2023-01-20 10:50:33.100191,153168044,0,0,0,0
14175,2023-01-20 10:50:33.200528,153268353,0,0,0,0
14206,2023-01-20 10:50:33.300214,153368035,0,0,0,0
14239,2023-01-20 10:50:33.400535,153468352,0,0,0,0
14272,2023-01-20 10:50:33.500196,153568018,0,0,0,0
14308,2023-01-20 10:50:33.600548,153668374,0,0,0,0
14339,2023-01-20 10:50:33.700168,153768001,0,0,0,0
14372,2023-01-20 10:50:33.800520,153868359,0,0,0,0
14405,2023-01-20 10:50:33.900174,153968040,0,0,0,0
14438,2023-01-20 10:50:34.000516,154068408,0,0,0,0
14470,2023-01-20 10:50:34.100152,154168030,0,0,0,0
14503,2023-01-20 10:50:34.200547,154268411,0,0,0,0
14533,2023-01-20 10:50:34.300189,154368029,0,0,0,0
14566,2023-01-20 10:50:34.400527,154468343,0,0,0,0
14599,2023-01-20 10:50:34.500210,154567989,0,0,0,0
14633,2023-01-20 10:50:34.600619,154668362,0,0,0,0
14665,2023-01-20 10:50:34.700214,154768006,0,0,0,0
14698,2023-01-20 10:50:34.800527,154868368,0,0,0,0
14731,2023-01-20 10:50:34.900147,154968021,0,0,0,0
14764,2023-01-20 10:50:35.000535,155068441,0,0,0,0
14796,2023-01-20 10:50:35.100236,155168057,0,0,0,0
14829,2023-01-20 10:50:35.200595,155268331,0,0,0,0
14859,2023-01-20 10:50:35.300258,155367996,0,0,0,0
14892,2023-01-20 10:50:35.400590,155468331,0,0,0,0
14924,2023-01-20 10:50:35.500259,155567999,0,0,0,0
14959,2023-01-20 10:50:35.600610,155668349,0,0,0,0
14990,2023-01-20 10:50:35.700260,155768020,0,0,0,0
15023,2023-01-20 10:50:35.800562,155868342,0,0,0,0
15054,2023-01-20 10:50:35.900163,155967984,0,0,0,0
15087,2023-01-20 10:50:36.000529,156068391,0,0,0,0
15119,2023-01-20 10:50:36.100209,156168013,0,0,0,0
15152,2023-01-20 10:50:36.200587,156268333,0,0,0,0
15182,2023-01-20 10:50:36.300220,156368014,0,0,0,0
15215,2023-01-20 10:50:36.400532,156468375,0,0,0,0
15247,2023-01-20 10:50:36.500210,156567996,0,0,0,0
15282,2023-01-20 10:50:36.600618,156668348,0,0,0,0
15313,2023-01-20 10:50:36.700252,156767978,0,0,0,0
15346,2023-01-20 10:50:36.800630,156868353,0,0,0,0
15377,2023-01-20 10:50:36.900178,156967993,0,0,0,0
15410,2023-01-20 10:50:37.000523,157068431,0,0,0,0
15442,2023-01-20 10:50:37.100179,157168007,0,0,0,0
15475,2023-01-20 10:50:37.200589,157268337,0,0,0,0
15505,2023-01-20 10:50:37.300261,157368006,0,0,0,0
15538,2023-01-20 10:50:37.400589,157468332,0,0,0,0
15570,2023-01-20 10:50:37.500266,157567993,0,0,0,0
15605,2023-01-20 10:50:37.600958,157668670,0,0,0,0
15636,2023-01-20 10:50:37.700299,157768026,0,0,0,0
15669,2023-01-20 10:50:37.800605,157868347,0,0,0,0
15701,2023-01-20 10:50:37.900199,157967984,0,0,0,0
15734,2023-01-20 10:50:38.000524,158068404,0,0,0,0
15766,2023-01-20 10:50:38.091172,158168008,0,0,0,0
15797,2023-01-20 10:50:38.182456,158268311,0,0,0,0
15829,2023-01-20 10:50:38.280451,158368038,0,0,0,0
15861,2023-01-20 10:50:38.380797,158468382,0,0,0,0
