LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
161480,2023-01-20 10:58:00.372662,601369961,-55.56,-55.62657,0,0.06657226,0.1541959,0,-0.1860261,0.1650333
161514,2023-01-20 10:58:00.472653,601469960,-55.56,-55.61394,0,0.05394043,0.1440515,0,-0.2621053,-0.2428837
161546,2023-01-20 10:58:00.572650,601569965,-55.56,-55.60453,0,0.04452636,0.1377642,0,-0.2830162,0.05026436
161581,2023-01-20 10:58:00.672676,601669982,-55.56,-55.59225,0,0.03225097,0.1305591,0,-0.3551251,-0.2379436
161613,2023-01-20 10:58:00.772702,601769993,-55.56,-55.57976,0,0.01976074,0.07620944,0,-0.3058758,-0.1979456
161646,2023-01-20 10:58:00.872636,601869943,-55.56,-55.56549,0,0.005488281,0.04860484,0,-0.2165794,-0.1966362
161676,2023-01-20 10:58:00.972615,601969949,-55.56,-55.55195,0,-0.008051758,0.03141989,0,-0.2792398,0.03934193
161710,2023-01-20 10:58:01.072609,602069948,-55.56,-55.53957,0,-0.02042969,0.04853074,0,-0.3184353,-0.05222034
161743,2023-01-20 10:58:01.172648,602169985,-55.56,-55.53146,0,-0.02853516,0.06231719,0,-0.3457089,0.008354187
161776,2023-01-20 10:58:01.272641,602269967,-55.56,-55.52373,0,-0.03626953,0.07153201,0,-0.3596579,0.1119289
161806,2023-01-20 10:58:01.372705,602370018,-55.56,-55.51628,0,-0.0437207,0.09218249,0,-0.5052723,0.5726061
161840,2023-01-20 10:58:01.472642,602469953,-55.56,-55.50909,0,-0.0509082,0.03065385,0,-0.5470291,-0.08977985
161873,2023-01-20 10:58:01.572656,602569969,-55.56,-55.50644,0,-0.05355957,0.06049882,0,-0.5111288,-0.3010988
161908,2023-01-20 10:58:01.672667,602669993,-55.56,-55.5096,0,-0.05040039,-0.01793885,0,-0.265751,-0.452569
161940,2023-01-20 10:58:01.772610,602769953,-55.56,-55.51767,0,-0.04233398,0.0004809219,0,-0.124138,-0.05333042
161973,2023-01-20 10:58:01.865961,602869966,-55.56,-55.52652,0,-0.03347656,-0.02031554,0,-0.1433838,0.1963997
162003,2023-01-20 10:58:01.956779,602969952,-55.56,-55.53645,0,-0.02354492,-0.03191026,0,-0.1026538,0.3451118
162037,2023-01-20 10:58:02.052474,603069998,-55.56,-55.5468,0,-0.01319824,0.003333765,0,-0.08184335,0.1827135
162070,2023-01-20 10:58:02.152484,603169985,-55.56,-55.55836,0,-0.001640625,-0.02579494,0,0.02065962,-0.4584684
