LineNo,UTC_Approx,TimeUS,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
223746,2023-01-20 11:01:08.772663,790170987,-46.99958,-47.1795,-1.376954,-1.197037,-1.278445,-0.0008956146,0.6489244,0.5632065
223782,2023-01-20 11:01:08.872684,790271030,-47.13728,-47.31378,-1.377022,-1.200518,-1.284468,-0.0009268951,0.6124905,0.5837345
223812,2023-01-20 11:01:08.972881,790371255,-47.27498,-47.44629,-1.377098,-1.205794,-1.279958,-0.0009581471,0.5903486,0.5781819
223846,2023-01-20 11:01:09.072597,790470957,-47.41269,-47.57551,-1.377183,-1.214355,-1.253596,-0.000989418,0.5277086,0.5623744
223879,2023-01-20 11:01:09.172641,790570972,-47.55042,-47.70183,-1.377274,-1.225867,-1.272786,-0.0009387159,0.5302127,0.5376274
223914,2023-01-20 11:01:09.272685,790671012,-47.68811,-47.82449,-1.377345,-1.240968,-1.247117,-0.0004992246,0.4542354,0.5136764
223944,2023-01-20 11:01:09.372644,790770977,-47.82586,-47.94586,-1.37737,-1.25737,-1.261378,-5.828134E-05,0.4434783,0.4761117
223977,2023-01-20 11:01:09.472673,790871005,-47.96355,-48.06662,-1.377381,-1.274305,-1.251016,-0.0006967075,0.379255,0.4340521
224007,2023-01-20 11:01:09.572693,790971020,-48.10129,-48.18988,-1.377854,-1.289261,-1.261801,-0.01147378,0.3864698,0.408086
224040,2023-01-20 11:01:09.672677,791071004,-48.23916,-48.31425,-1.380247,-1.305164,-1.275397,-0.03873369,0.3491606,0.3748319
224072,2023-01-20 11:01:09.772663,791170991,-48.37743,-48.43911,-1.38584,-1.324165,-1.281251,-0.07326981,0.2967799,0.3355215
224106,2023-01-20 11:01:09.872607,791270975,-48.51644,-48.5616,-1.394901,-1.349735,-1.291294,-0.1079788,0.2282621,0.2854941
224135,2023-01-20 11:01:09.972837,791371259,-48.65653,-48.68504,-1.407434,-1.378928,-1.3245,-0.1426873,0.1743007,0.2208785
224169,2023-01-20 11:01:10.072588,791470982,-48.79805,-48.80844,-1.423436,-1.413041,-1.31634,-0.1773957,0.09033459,0.1491749
224202,2023-01-20 11:01:10.172678,791571013,-48.94134,-48.93621,-1.442909,-1.448041,-1.345001,-0.2121041,0.03267317,0.07441328
224237,2023-01-20 11:01:10.272687,791671008,-49.08675,-49.06187,-1.465853,-1.490726,-1.394703,-0.2468126,-0.01524078,-0.0009559934
224267,2023-01-20 11:01:10.372639,791770963,-49.23463,-49.18935,-1.492267,-1.537541,-1.430987,-0.281521,-0.08144062,-0.09309206
224300,2023-01-20 11:01:10.472652,791870991,-49.38532,-49.31495,-1.522152,-1.592523,-1.468461,-0.3162294,-0.2063658,-0.194125
224330,2023-01-20 11:01:10.572611,791970970,-49.53918,-49.44492,-1.555507,-1.649765,-1.506663,-0.3509379,-0.2815729,-0.3289598
224363,2023-01-20 11:01:10.672663,792071010,-49.69654,-49.57914,-1.592333,-1.709731,-1.552343,-0.3856463,-0.3881447,-0.4689769
224395,2023-01-20 11:01:10.772690,792171013,-49.85777,-49.72218,-1.632629,-1.76822,-1.590536,-0.4203547,-0.4478307,-0.6049902
224429,2023-01-20 11:01:10.872671,792271017,-50.02319,-49.87113,-1.676396,-1.828457,-1.638249,-0.4550631,-0.5179363,-0.7269421
224459,2023-01-20 11:01:10.972861,792371248,-50.19316,-50.02554,-1.723636,-1.891258,-1.701477,-0.4900377,-0.6104251,-0.8587994
224493,2023-01-20 11:01:11.072604,792470974,-50.36804,-50.19331,-1.774737,-1.949464,-1.74212,-0.5354911,-0.6517286,-0.9633545
224526,2023-01-20 11:01:11.172636,792570967,-50.54824,-50.36927,-1.831537,-2.010511,-1.763782,-0.60465,-0.7970689,-1.025767
224564,2023-01-20 11:01:11.272680,792671002,-50.73431,-50.55161,-1.896068,-2.078773,-1.816141,-0.6885176,-0.9505246,-1.109604
224594,2023-01-20 11:01:11.372642,792770966,-50.9269,-50.74193,-1.969276,-2.154242,-1.876241,-0.783631,-1.141617,-1.192351
224627,2023-01-20 11:01:11.472711,792871034,-51.12672,-50.93568,-2.052866,-2.243906,-1.945464,-0.9019592,-1.408139,-1.313267
224657,2023-01-20 11:01:11.572642,792970962,-51.33471,-51.13206,-2.148732,-2.351383,-1.981507,-1.034365,-1.735343,-1.495158
224690,2023-01-20 11:01:11.672652,793070972,-51.55188,-51.32786,-2.257303,-2.481321,-2.030449,-1.167269,-2.203797,-1.73881
224722,2023-01-20 11:01:11.772668,793170990,-51.77917,-51.52697,-2.378254,-2.630461,-2.095644,-1.29644,-2.600954,-2.049606
224756,2023-01-20 11:01:11.872631,793270978,-52.01744,-51.736,-2.509938,-2.791368,-2.201105,-1.397687,-2.881799,-2.31363
224786,2023-01-20 11:01:11.972768,793371149,-52.26727,-51.95856,-2.648656,-2.957367,-2.277722,-1.460924,-3.10999,-2.502068
224819,2023-01-20 11:01:12.072676,793471038,-52.52901,-52.19478,-2.791555,-3.125788,-2.339857,-1.507269,-3.314335,-2.657909
224852,2023-01-20 11:01:12.172679,793571003,-52.80285,-52.44197,-2.937015,-3.297889,-2.524666,-1.529495,-3.397463,-2.790586
224888,2023-01-20 11:01:12.272701,793671017,-53.0888,-52.7058,-3.081899,-3.464906,-2.672221,-1.514833,-3.393022,-2.881227
224919,2023-01-20 11:01:12.372638,793770958,-53.38668,-52.98433,-3.223525,-3.625874,-2.824931,-1.482727,-3.425078,-2.940278
224952,2023-01-20 11:01:12.472650,793870986,-53.69619,-53.27602,-3.361365,-3.781536,-2.976475,-1.450099,-3.481103,-2.99621
224982,2023-01-20 11:01:12.572606,793970962,-54.01706,-53.58675,-3.495548,-3.925855,-3.119787,-1.417616,-3.396249,-3.027793
225015,2023-01-20 11:01:12.672642,794070985,-54.34912,-53.91515,-3.626226,-4.060191,-3.265513,-1.385249,-3.293961,-3.044394
225047,2023-01-20 11:01:12.772729,794171047,-54.69226,-54.2567,-3.753537,-4.189098,-3.502572,-1.352971,-3.244022,-3.048063
225081,2023-01-20 11:01:12.872622,794270968,-55.0464,-54.61939,-3.877594,-4.304601,-3.6534,-1.319796,-3.114016,-3.037834
225111,2023-01-20 11:01:12.972583,794370978,-55.41152,-54.99781,-3.998003,-4.411714,-3.775008,-1.274297,-3.072798,-3.005732
225145,2023-01-20 11:01:13.072616,794471006,-55.78754,-55.38577,-4.113208,-4.514981,-3.947215,-1.208017,-2.923159,-2.955374
225179,2023-01-20 11:01:13.172595,794570960,-56.17413,-55.79105,-4.221668,-4.604749,-4.084577,-1.130164,-2.778412,-2.865547
225214,2023-01-20 11:01:13.272657,794670998,-56.57094,-56.21206,-4.322968,-4.681849,-4.226727,-1.051476,-2.617422,-2.738228
225244,2023-01-20 11:01:13.372642,794770958,-56.97757,-56.64194,-4.417126,-4.752751,-4.325312,-0.9726435,-2.503911,-2.605698
225277,2023-01-20 11:01:13.472712,794871022,-57.39358,-57.08702,-4.504141,-4.810699,-4.486103,-0.8936294,-2.277637,-2.462795
225307,2023-01-20 11:01:13.572642,794970952,-57.81852,-57.54276,-4.583993,-4.85975,-4.585569,-0.8144031,-2.132795,-2.307598
225341,2023-01-20 11:01:13.672663,795070976,-58.25175,-58.0044,-4.656624,-4.903983,-4.72125,-0.7349612,-1.964741,-2.157887
225373,2023-01-20 11:01:13.772668,795170986,-58.69261,-58.47979,-4.721967,-4.934784,-4.770882,-0.6553114,-1.826824,-2.009581
225408,2023-01-20 11:01:13.872627,795270965,-59.14038,-58.96531,-4.779959,-4.955037,-4.835144,-0.5754622,-1.738175,-1.859806
225439,2023-01-20 11:01:13.972615,795370979,-59.59436,-59.45273,-4.830538,-4.972164,-4.856916,-0.4954214,-1.582309,-1.712625
225472,2023-01-20 11:01:14.072682,795471036,-60.05381,-59.95036,-4.873647,-4.977104,-4.956899,-0.4151963,-1.402478,-1.586979
225505,2023-01-20 11:01:14.172632,795570962,-60.51802,-60.45095,-4.90923,-4.976305,-4.97058,-0.334794,-1.368623,-1.478257
225540,2023-01-20 11:01:14.272672,795670993,-60.98623,-60.95088,-4.937234,-4.972581,-4.951838,-0.2542222,-1.288622,-1.385031
225571,2023-01-20 11:01:14.372638,795770957,-61.45768,-61.45737,-4.95761,-4.957922,-4.988726,-0.1734873,-1.016223,-1.257851
225604,2023-01-20 11:01:14.472672,795870988,-61.93164,-61.97064,-4.970316,-4.931317,-5.028033,-0.09311353,-0.6821933,-1.05584
225635,2023-01-20 11:01:14.572652,795970965,-62.40734,-62.4824,-4.975918,-4.900864,-5.090955,-0.02928066,-0.5205078,-0.8168775
225668,2023-01-20 11:01:14.672668,796070985,-62.88419,-63.00321,-4.977137,-4.858118,-5.078872,-0.002355084,-0.3610388,-0.6107979
225700,2023-01-20 11:01:14.772727,796171051,-63.3619,-63.52479,-4.977175,-4.814284,-5.111928,0.0001721809,-0.2391155,-0.4360112
225734,2023-01-20 11:01:14.865964,796270979,-63.84038,-64.03912,-4.97674,-4.778005,-5.095811,0.01366027,-0.2224271,-0.3267855
225764,2023-01-20 11:01:14.956773,796370996,-64.31946,-64.55522,-4.973335,-4.737574,-5.020347,0.06355631,-0.2571402,-0.2582349
225798,2023-01-20 11:01:15.052406,796471000,-64.79864,-65.06748,-4.963552,-4.694715,-5.044607,0.1415216,-0.1417982,-0.2106871
