LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
7677,2023-01-20 10:50:13.238913,133267000,0,212.4829,1.257451,212.8879,221.5611,278.8979,174.2801,205.5546,0.8693494,0.03445102,4.328143E-05,4.473639E-05,0.09611155
7707,2023-01-20 10:50:13.338930,133367020,0,211.1726,1.257734,211.5777,220.2498,277.5878,172.9701,204.2443,0.8693494,0.03445102,4.328143E-05,4.473639E-05,0.09611155
7740,2023-01-20 10:50:13.438904,133466996,0,209.7293,1.240562,210.1132,218.5871,274.9995,172.2757,202.9523,0.8707172,0.03456539,3.790425E-05,3.790425E-05,0.09464157
7772,2023-01-20 10:50:13.538909,133567000,0,208.0364,1.240841,208.4204,216.893,273.3069,170.583,201.2595,0.8707172,0.03456539,3.790425E-05,3.790425E-05,0.09464157
7806,2023-01-20 10:50:13.638903,133666995,0,206.3705,1.228736,206.7594,215.0541,270.7762,169.7221,199.749,0.8709247,0.03361211,4.047681E-05,4.047681E-05,0.09538227
7838,2023-01-20 10:50:13.738905,133766998,0,205.3422,1.229026,205.7312,214.0251,269.7482,168.6937,198.7208,0.8709247,0.03361211,4.047681E-05,4.047681E-05,0.09538227
7872,2023-01-20 10:50:13.838880,133867006,0,205.2378,1.218871,205.5955,213.7198,268.5071,169.2009,198.7368,0.8727936,0.03426342,3.972142E-05,3.972142E-05,0.09286353
7904,2023-01-20 10:50:13.938794,133967003,0,205.6652,1.219167,206.0228,214.1474,268.9347,169.6284,199.1643,0.8727936,0.03426342,3.972142E-05,3.972142E-05,0.09286353
7937,2023-01-20 10:50:14.038783,134067014,0,206.1479,1.212554,206.4969,214.5361,268.9159,170.44,199.713,0.873396,0.0343104,3.412665E-05,3.58306E-05,0.09222367
7967,2023-01-20 10:50:14.138845,134167003,0,206.6099,1.212837,206.9581,215.0072,269.4103,170.865,200.1802,0.873396,0.0343104,3.412665E-05,3.58306E-05,0.09222367
8002,2023-01-20 10:50:14.238890,134267000,0,206.9724,1.21165,207.3306,215.3553,269.7606,171.3672,200.5571,0.8729266,0.0338223,5.824012E-05,5.824012E-05,0.0931346
8032,2023-01-20 10:50:14.338900,134367002,0,207.5765,1.211948,207.9347,215.9597,270.3649,171.9716,201.1613,0.8729266,0.0338223,5.824012E-05,5.824012E-05,0.0931346
8065,2023-01-20 10:50:14.438902,134467000,0,208.0811,1.210287,208.4397,216.4386,270.7455,172.5974,201.6891,0.8729912,0.03370044,5.326933E-05,5.730618E-05,0.09319776
8098,2023-01-20 10:50:14.538904,134567002,0,208.4491,1.210587,208.8077,216.8069,271.1131,172.9651,202.057,0.8729912,0.03370044,5.326933E-05,5.730618E-05,0.09319776
8132,2023-01-20 10:50:14.638898,134666996,0,208.9614,1.209566,209.3065,217.289,271.4232,173.4787,202.5732,0.8736312,0.03423135,5.672213E-05,5.301855E-05,0.09202765
8164,2023-01-20 10:50:14.738902,134767000,0,209.4091,1.209865,209.7542,217.737,271.871,173.9264,203.021,0.8736312,0.03423135,5.672213E-05,5.301855E-05,0.09202765
8198,2023-01-20 10:50:14.838871,134867002,0,209.7236,1.208958,210.0787,218.0484,272.2187,174.3548,203.3551,0.8732284,0.03373758,4.95817E-05,5.512592E-05,0.09292942
8228,2023-01-20 10:50:14.938800,134967015,0,210.0154,1.209258,210.3705,218.3405,272.5104,174.6465,203.6468,0.8732284,0.03373758,4.95817E-05,5.512592E-05,0.09292942
8261,2023-01-20 10:50:15.038758,135066999,0,210.0123,1.208271,210.3614,218.3109,272.3562,174.7087,203.6568,0.8735623,0.03391625,4.895015E-05,5.283824E-05,0.09241966
8291,2023-01-20 10:50:15.138827,135167003,0,209.7025,1.208563,210.0517,218.0009,272.0466,174.399,203.347,0.8735623,0.03391625,4.895015E-05,5.283824E-05,0.09241966
8326,2023-01-20 10:50:15.238872,135267000,0,209.1635,1.208065,209.5111,217.4475,271.437,173.9114,202.8177,0.8736703,0.03392957,4.764479E-05,5.204383E-05,0.09230035
8356,2023-01-20 10:50:15.338903,135367011,0,208.8591,1.208363,209.2068,217.143,271.1329,173.6073,202.5134,0.8736703,0.03392957,4.764479E-05,5.204383E-05,0.09230035
8389,2023-01-20 10:50:15.438903,135467000,0,208.7077,1.208137,209.0568,216.9798,270.9363,173.5316,202.3747,0.8736207,0.03378922,5.272703E-05,5.272703E-05,0.09248458
8421,2023-01-20 10:50:15.538903,135567003,0,208.6978,1.208436,209.0469,216.9699,270.9266,173.5218,202.3649,0.8736207,0.03378922,5.272703E-05,5.272703E-05,0.09248458
8455,2023-01-20 10:50:15.638904,135667005,0,208.6091,1.207994,208.9559,216.8671,270.7644,173.4804,202.2847,0.8737687,0.03384704,5.184046E-05,5.171536E-05,0.09228068
8487,2023-01-20 10:50:15.738904,135767003,0,208.2671,1.208286,208.6138,216.5248,270.4224,173.1384,201.9426,0.8737687,0.03384704,5.184046E-05,5.171536E-05,0.09228068
8521,2023-01-20 10:50:15.838910,135867019,0,207.8958,1.208238,208.2387,216.1446,269.9974,172.7714,201.5726,0.8739622,0.03399954,5.290082E-05,5.060384E-05,0.09193482
8551,2023-01-20 10:50:15.938862,135967002,0,207.0138,1.208534,207.3567,215.2621,269.1157,171.8896,200.6906,0.8739622,0.03399954,5.290082E-05,5.060384E-05,0.09193482
8584,2023-01-20 10:50:16.038868,136067015,0,205.4333,1.208701,205.7726,213.6786,267.5123,170.279,199.1059,0.8741093,0.03416879,5.490976E-05,4.978886E-05,0.09161723
8614,2023-01-20 10:50:16.138900,136167016,0,202.7577,1.208992,203.0971,211.0013,264.8376,167.6035,196.4305,0.8741093,0.03416879,5.490976E-05,4.978886E-05,0.09161723
8649,2023-01-20 10:50:16.238878,136266996,0,199.1874,1.209701,199.5243,207.4317,261.2687,163.986,192.8536,0.8741723,0.0343153,6.579066E-05,6.579066E-05,0.09138087
8679,2023-01-20 10:50:16.338825,136366998,0,195.0947,1.209983,195.4317,203.3366,257.178,159.8929,188.7612,0.8741723,0.0343153,6.579066E-05,6.579066E-05,0.09138087
8712,2023-01-20 10:50:16.438816,136466999,0,190.8693,1.210061,191.2039,199.1018,252.9162,155.682,184.5382,0.8743024,0.03440196,6.62738E-05,6.485412E-05,0.09116459
8744,2023-01-20 10:50:16.538872,136566998,0,186.8628,1.21035,187.1974,195.0934,248.9119,151.6743,180.5319,0.8743024,0.03440196,6.62738E-05,6.485412E-05,0.09116459
8778,2023-01-20 10:50:16.638904,136666995,0,183.22,1.210324,183.5576,191.4532,245.2946,148.0367,176.8915,0.8741576,0.03427471,6.460793E-05,6.580037E-05,0.09143735
8810,2023-01-20 10:50:16.738914,136767007,0,179.9045,1.210616,180.2422,188.1368,241.9811,144.7198,173.5763,0.8741576,0.03427471,6.460793E-05,6.580037E-05,0.09143735
8844,2023-01-20 10:50:16.838906,136867010,0,176.8507,1.210367,177.1866,185.0767,238.8968,141.6774,170.5248,0.8742498,0.03433912,6.478841E-05,6.505153E-05,0.09128131
8874,2023-01-20 10:50:16.938875,136967003,0,174.1046,1.210656,174.4404,182.3301,236.1522,138.9297,167.7789,0.8742498,0.03433912,6.478841E-05,6.505153E-05,0.09128131
8907,2023-01-20 10:50:17.038871,137067002,0,171.4274,1.209853,171.7615,179.6395,233.4006,136.3014,165.1108,0.8743606,0.03437302,6.327179E-05,6.392917E-05,0.09113921
8937,2023-01-20 10:50:17.138909,137167011,0,168.5703,1.210149,168.9044,176.7822,230.5452,133.4425,162.254,0.8743606,0.03437302,6.327179E-05,6.392917E-05,0.09113921
8972,2023-01-20 10:50:17.238929,137267017,0,165.898,1.209317,166.2263,174.0925,227.772,130.8056,159.5875,0.874651,0.03458282,6.395405E-05,6.161834E-05,0.09064048
9002,2023-01-20 10:50:17.338923,137367020,0,163.6324,1.20961,163.9608,171.8272,225.5079,128.5387,157.3221,0.874651,0.03458282,6.395405E-05,6.161834E-05,0.09064048
