LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
9358,2023-01-20 10:50:18.435470,138466999,0,0.17,0,0.16,0.06,0,0.01382029,0.08909588,0.02049057,0,48,107327,0,0
9390,2023-01-20 10:50:18.526576,138567002,0,0.17,0,0.14,0.07,0,0.01385595,0.08909588,0.02049057,0,48,107327,0,0
9424,2023-01-20 10:50:18.619396,138667000,0,0.19,0,0.14,0.1,0,0.01352105,0.08909588,0.02049057,0,48,107327,0,0
9456,2023-01-20 10:50:18.719379,138767017,0,0.19,0,0.14,0.05,0,0.01354574,0.08909588,0.02049057,0,48,107327,0,0
9490,2023-01-20 10:50:18.819326,138866998,0,0.18,0,0.12,0.08,0,0.01321151,0.08909588,0.02049057,0,48,107327,0,0
9522,2023-01-20 10:50:18.919290,138966998,0,0.18,0,0.12,0.04,0,0.01321306,0.08909588,0.02049057,0,48,107327,0,0
9555,2023-01-20 10:50:19.019273,139067003,0,0.14,0,0.12,0.03,0,0.01288377,0.08909588,0.02049057,0,48,107327,0,0
9585,2023-01-20 10:50:19.119303,139166998,0,0.14,0,0.12,0.11,0,0.01284148,0.08909588,0.02049057,0,48,107327,0,0
9620,2023-01-20 10:50:19.219324,139266995,0,0.14,0,0.12,0.06,0,0.01245664,0.08909588,0.02049057,0,48,107327,0,0
9650,2023-01-20 10:50:19.319306,139367002,0,0.14,0,0.13,0.04,0,0.01249423,0.08909588,0.02049057,0,48,107327,0,0
9683,2023-01-20 10:50:19.419272,139466999,0,0.12,0,0.12,0.04,0,0.01219583,0.08909588,0.02049057,0,48,107327,0,0
9715,2023-01-20 10:50:19.519240,139567020,0,0.12,0,0.13,0.06,0,0.01219217,0.08909588,0.02049057,0,48,107327,0,0
9749,2023-01-20 10:50:19.619174,139666998,0,0.11,0,0.12,0.03,0,0.01187005,0.08909588,0.02049057,0,48,107327,0,0
9781,2023-01-20 10:50:19.719173,139766999,0,0.11,0,0.12,0.06,0,0.01190966,0.08909588,0.02049057,0,48,107327,0,0
9815,2023-01-20 10:50:19.819166,139866997,0,0.12,0,0.12,0.04,0,0.01164776,0.08909588,0.02049057,0,48,107327,0,0
9845,2023-01-20 10:50:19.919157,139967005,0,0.12,0,0.1,0.1,0,0.01165621,0.08909588,0.02049057,0,48,107327,0,0
9878,2023-01-20 10:50:20.019142,140067002,0,0.05,0,0.11,0.05,0,0.01137473,0.08909588,0.02049057,0,48,107327,0,0
9908,2023-01-20 10:50:20.119149,140166999,0,0.05,0,0.1,0.01,0,0.01141056,0.08909588,0.02049057,0,48,107327,0,0
9943,2023-01-20 10:50:20.219164,140266994,0,0.1,0,0.1,0.05,0,0.01115736,0.08909588,0.02049057,0,48,107327,0,0
9976,2023-01-20 10:50:20.319240,140367006,0,0.1,0,0.08,0.05,0,0.01124366,0.08909588,0.02049057,0,48,107327,0,0
10009,2023-01-20 10:50:20.419280,140466995,0,0.08,0,0.08,0.09,0,0.0109281,0.08909588,0.02049057,0,48,107327,0,0
10041,2023-01-20 10:50:20.519280,140566999,0,0.08,0,0.09,0.03,0,0.01095122,0.08909588,0.02049057,0,48,107327,0,0
10075,2023-01-20 10:50:20.619284,140667000,0,0.14,0,0.1,0.04,0,0.01067918,0.08909588,0.02049057,0,48,107327,0,0
10107,2023-01-20 10:50:20.719325,140767003,0,0.14,0,0.1,0.08,0,0.01070283,0.08909588,0.02049057,0,48,107327,0,0
10141,2023-01-20 10:50:20.819329,140866999,0,0.15,0,0.1,0.08,0,0.01043081,0.08909588,0.02049057,0,48,107327,0,0
10171,2023-01-20 10:50:20.919219,140967008,0,0.15,0,0.1,0.04,0,0.01051783,0.08909588,0.02049057,0,48,107327,0,0
10204,2023-01-20 10:50:21.019128,141067002,0,0.12,0.01,0.1,0.03,0,0.01032744,0.08909588,0.02049057,0,48,107327,0,0
10234,2023-01-20 10:50:21.119177,141166996,0,0.12,0.01,0.08,0.02,0,0.01045092,0.08909588,0.02049057,0,48,107327,0,0
10269,2023-01-20 10:50:21.219234,141267013,0,0.13,0.01,0.08,0.02,0,0.01022358,0.08909588,0.02049057,0,48,107327,0,0
10299,2023-01-20 10:50:21.319208,141367011,0,0.13,0.01,0.08,0.03,0,0.01034087,0.08909588,0.02049057,0,48,107327,0,0
10332,2023-01-20 10:50:21.419179,141466995,0,0.16,0.01,0.08,0.03,0,0.01007378,0.08909588,0.02049057,0,48,107327,0,0
10364,2023-01-20 10:50:21.519221,141567001,0,0.16,0.01,0.08,0.04,0,0.01011036,0.08909588,0.02049057,0,48,107327,0,0
10398,2023-01-20 10:50:21.619237,141667000,0,0.13,0.01,0.08,0.07,0,0.009837143,0.08909588,0.02049057,0,48,107327,0,0
10430,2023-01-20 10:50:21.719181,141767005,0,0.13,0.01,0.08,0.12,0,0.009870987,0.08909588,0.02049057,0,48,107327,0,0
10464,2023-01-20 10:50:21.819121,141866998,0,0.1,0.01,0.09,0.12,0,0.00961062,0.08909588,0.02049057,0,48,107327,0,0
10494,2023-01-20 10:50:21.919116,141967006,0,0.1,0.01,0.08,0.14,0,0.009665219,0.08909588,0.02049057,0,48,107327,0,0
10527,2023-01-20 10:50:22.019107,142066998,0,0.11,0.01,0.1,0.12,0,0.009406765,0.08909588,0.02049057,0,48,107327,0,0
10557,2023-01-20 10:50:22.119158,142166999,0,0.11,0.01,0.09,0.09,0,0.009485555,0.08909588,0.02049057,0,48,107327,0,0
10592,2023-01-20 10:50:22.219192,142266999,0,0.17,0.01,0.08,0.15,0,0.00927853,0.08909588,0.02049057,0,48,107327,0,0
10622,2023-01-20 10:50:22.319180,142367022,0,0.17,0.01,0.08,0.04,0,0.009320484,0.08909588,0.02049057,0,48,107327,0,0
10655,2023-01-20 10:50:22.419134,142466995,0,0.1,0.01,0.08,0.08,0,0.009124569,0.08909588,0.02049057,0,48,107327,0,0
10687,2023-01-20 10:50:22.519187,142567002,0,0.1,0.01,0.08,0.06,0,0.009239459,0.08909588,0.02049057,0,48,107327,0,0
10721,2023-01-20 10:50:22.619219,142666999,0,0.18,0,0.09,0.07,0,0.009174414,0.08909588,0.02049057,0,48,107327,0,0
10753,2023-01-20 10:50:22.719202,142766999,0,0.18,0,0.09,0.07,0,0.009438557,0.08909588,0.02049057,0,48,107327,0,0
10787,2023-01-20 10:50:22.819185,142867002,0,0.1,0.01,0.08,0.12,0,0.00952011,0.08909588,0.02049057,0,48,107327,0,0
10817,2023-01-20 10:50:22.919154,142967003,0,0.1,0.01,0.07,0.16,0,0.009752871,0.08909588,0.02049057,0,48,107327,0,0
10850,2023-01-20 10:50:23.019150,143067014,0,0.06,0.01,0.06,0.09,0,0.009689706,0.08909588,0.02049057,0,48,107327,0,0
10880,2023-01-20 10:50:23.119206,143167019,0,0.06,0.01,0.08,0.12,0,0.009850029,0.08909588,0.02049057,0,48,107327,0,0
10916,2023-01-20 10:50:23.219222,143266999,0,0.01,0.01,0.08,0.08,0,0.009660434,0.08909588,0.02049057,0,48,107327,0,0
10946,2023-01-20 10:50:23.319196,143367002,0,0.01,0.01,0.1,0.1,0,0.009757079,0.08909588,0.02049057,0,48,107327,0,0
10979,2023-01-20 10:50:23.419168,143466995,0,0.08,0.01,0.09,0.14,0,0.009792713,0.08909588,0.02049057,0,48,107327,0,0
11011,2023-01-20 10:50:23.519189,143567002,0,0.08,0.01,0.11,0.16,0,0.009972052,0.08909588,0.02049057,0,48,107327,0,0
