LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
63878,2023-01-20 10:53:04.779253,305167000,0,0.0001099478,7.912575E-06,8.511904E-06,9.010753E-06,0.04578395,0.04679038,0.008245113,0.575102,0.5790928,0.128935,4.237754E-11,4.226482E-11
64044,2023-01-20 10:53:05.279208,305666996,0,0.000109383,7.796365E-06,8.390806E-06,9.386826E-06,0.04437523,0.04533872,0.008210461,0.5566853,0.5602911,0.1287192,4.221627E-11,4.210703E-11
64206,2023-01-20 10:53:05.779181,306167000,0,0.0001088548,7.936456E-06,8.521345E-06,9.777639E-06,0.04617801,0.04727412,0.008255458,0.5789518,0.5830247,0.1291264,4.239118E-11,4.227725E-11
64372,2023-01-20 10:53:06.279257,306667016,0,0.0001087472,7.787785E-06,8.339576E-06,9.632216E-06,0.04397488,0.04497983,0.008196042,0.556187,0.5597394,0.1287118,4.214602E-11,4.203807E-11
64532,2023-01-20 10:53:06.779160,307166996,0,0.0001089508,7.84955E-06,8.441985E-06,9.321695E-06,0.04540556,0.04654615,0.008225588,0.5752652,0.5792157,0.1289429,4.227977E-11,4.216819E-11
64697,2023-01-20 10:53:07.279255,307667000,0,0.0001090769,7.573438E-06,8.183317E-06,8.916462E-06,0.04221412,0.04316254,0.008127648,0.5452536,0.5484576,0.1281859,4.192726E-11,4.182451E-11
64907,2023-01-20 10:53:07.779196,308167012,0,0.0001079685,7.652584E-06,8.243519E-06,9.867636E-06,0.04300286,0.04398635,0.008141123,0.5590021,0.5624415,0.1281896,4.202498E-11,4.192027E-11
65075,2023-01-20 10:53:08.279199,308667000,0,0.0001066696,7.550771E-06,8.074798E-06,1.091746E-05,0.04073235,0.04159299,0.008072518,0.5333426,0.5362747,0.127534,4.181908E-11,4.171993E-11
65235,2023-01-20 10:53:08.779171,309166996,0,0.0001075092,7.72118E-06,8.286817E-06,9.985049E-06,0.0430263,0.04402611,0.008144051,0.5542531,0.5576742,0.1279749,4.210174E-11,4.199715E-11
65403,2023-01-20 10:53:09.279163,309667000,0,0.0001064764,7.703231E-06,8.191567E-06,1.074534E-05,0.04169134,0.04269157,0.008112436,0.5345619,0.5376683,0.1276617,4.198704E-11,4.188618E-11
65563,2023-01-20 10:53:09.779186,310167001,0,0.0001064019,7.821478E-06,8.352586E-06,1.071316E-05,0.04371813,0.04483755,0.008170047,0.5545905,0.5581943,0.1280363,4.220333E-11,4.209851E-11
65730,2023-01-20 10:53:10.279260,310667006,0,0.0001074389,7.709226E-06,8.293879E-06,9.477477E-06,0.0427724,0.04383004,0.008153923,0.5377597,0.5411218,0.1279307,4.211303E-11,4.201166E-11
65891,2023-01-20 10:53:10.779239,311167012,0,0.0001075345,7.846928E-06,8.475131E-06,9.213288E-06,0.04487453,0.04610526,0.008209947,0.5593302,0.5632516,0.1283675,4.231755E-11,4.221239E-11
66057,2023-01-20 10:53:11.259387,311667000,0,0.0001075036,7.757285E-06,8.39833E-06,8.927522E-06,0.04369642,0.04496363,0.008186685,0.5420234,0.5456693,0.1282335,4.218588E-11,4.20846E-11
66217,2023-01-20 10:53:11.759403,312167016,0,0.0001075365,7.921445E-06,8.540635E-06,8.703428E-06,0.04602879,0.04748163,0.008254982,0.56646,0.5708433,0.1288323,4.241854E-11,4.231291E-11
66384,2023-01-20 10:53:12.265860,312666996,0,0.0001065476,7.84103E-06,8.451148E-06,9.319901E-06,0.04480308,0.04606947,0.008234247,0.550505,0.5546123,0.1287898,4.228571E-11,4.218402E-11
