LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
10733,2023-01-20 10:50:22.620203,142667983,39.8043152,32.3787667,737.91,3.662692,4.302692
10763,2023-01-20 10:50:22.720120,142767918,39.8043154,32.3787683,737.94,3.690265,4.330265
10797,2023-01-20 10:50:22.820107,142867924,39.8043157,32.3787701,737.96,3.714358,4.354358
10827,2023-01-20 10:50:22.920068,142967917,39.804316,32.3787721,737.98,3.737554,4.377553
10860,2023-01-20 10:50:23.020066,143067930,39.8043163,32.3787744,738,3.755258,4.395258
10893,2023-01-20 10:50:23.120152,143167965,39.8043167,32.3787769,738.02,3.772477,4.412477
10926,2023-01-20 10:50:23.220175,143267953,39.8043172,32.3787796,738.04,3.790863,4.430862
10956,2023-01-20 10:50:23.320133,143367940,39.8043178,32.3787825,738.06,3.812613,4.452613
10989,2023-01-20 10:50:23.420080,143467907,39.8043184,32.3787855,738.08,3.837334,4.477334
11021,2023-01-20 10:50:23.520104,143567917,39.8043192,32.3787889,738.11,3.866258,4.506258
11057,2023-01-20 10:50:23.620146,143667950,39.80432,32.3787925,738.15,3.901744,4.541744
11087,2023-01-20 10:50:23.720088,143767906,39.8043207,32.3787963,738.19,3.944458,4.584458
11121,2023-01-20 10:50:23.820097,143867929,39.8043215,32.3788005,738.24,3.993673,4.633673
11154,2023-01-20 10:50:23.920101,143967950,39.8043221,32.3788049,738.3,4.053986,4.693986
11187,2023-01-20 10:50:24.020073,144067923,39.8043227,32.3788095,738.36,4.118051,4.75805
