LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
169269,2023-01-20 10:58:23.812994,624870261,0,13.81037,19.20233,15.2091,0
169301,2023-01-20 10:58:23.912649,624969964,0,15.28054,14.42531,14.36227,0
169334,2023-01-20 10:58:24.012606,625069962,0,16.8222,11.6295,13.44106,0
169368,2023-01-20 10:58:24.112693,625170036,0,17.23968,13.74577,13.54211,0
169401,2023-01-20 10:58:24.212642,625269961,0,17.91621,17.1327,12.65907,0
169431,2023-01-20 10:58:24.312768,625369985,0,18.24532,18.39499,12.97195,0
169465,2023-01-20 10:58:24.412822,625469963,0,19.30131,19.12175,12.95183,0
169498,2023-01-20 10:58:24.512769,625570003,0,20.92638,17.03751,14.28992,0
169533,2023-01-20 10:58:24.612682,625669999,0,24.38717,12.82803,17.79591,0
169564,2023-01-20 10:58:24.712645,625769973,0,22.62713,12.72081,17.97566,0
169598,2023-01-20 10:58:24.812942,625870285,0,16.27537,17.38623,15.70997,0
169628,2023-01-20 10:58:24.912584,625969967,0,16.82888,13.2476,14.61978,0
169661,2023-01-20 10:58:25.012544,626069957,0,19.85125,16.09874,13.40914,0
169696,2023-01-20 10:58:25.112626,626169996,0,22.13692,12.90226,16.83926,0
169729,2023-01-20 10:58:25.212636,626269968,0,16.47214,18.94803,15.12189,0
169759,2023-01-20 10:58:25.312649,626369977,0,17.22123,14.36311,14.64945,0
169793,2023-01-20 10:58:25.412623,626469950,0,19.97828,15.67978,14.90095,0
169825,2023-01-20 10:58:25.512672,626570023,0,22.46613,12.03696,17.10362,0
169860,2023-01-20 10:58:25.612635,626670005,0,16.80763,18.47632,15.62528,0
169891,2023-01-20 10:58:25.712629,626769985,0,16.41506,14.70955,15.32388,0
169925,2023-01-20 10:58:25.812951,626870297,0,17.0205,16.43587,14.00457,0
169955,2023-01-20 10:58:25.912605,626969964,0,22.28084,13.79633,16.11916,0
169988,2023-01-20 10:58:26.012592,627069961,0,17.54612,17.17348,15.20199,0
170022,2023-01-20 10:58:26.112688,627170041,0,18.12721,15.18962,14.05922,0
170055,2023-01-20 10:58:26.212634,627269972,0,20.86593,15.04229,15.21939,0
170085,2023-01-20 10:58:26.312650,627369978,0,20.70845,14.61169,16.61376,0
170119,2023-01-20 10:58:26.412642,627469962,0,15.82795,17.36182,14.5854,0
170151,2023-01-20 10:58:26.512657,627569982,0,16.70773,12.80172,14.51181,0
170186,2023-01-20 10:58:26.612664,627669992,0,18.14364,16.04696,13.06904,0
170217,2023-01-20 10:58:26.712641,627769973,0,20.83133,14.03155,15.77089,0
170251,2023-01-20 10:58:26.812957,627870295,0,16.29338,15.47367,15.50035,0
170281,2023-01-20 10:58:26.912602,627969962,0,17.34394,11.22498,14.84942,0
170314,2023-01-20 10:58:27.012581,628069958,0,17.2128,10.42538,13.36031,0
170348,2023-01-20 10:58:27.112654,628170006,0,17.40868,10.4176,12.83692,0
170381,2023-01-20 10:58:27.212631,628269960,0,17.03501,12.63261,12.62435,0
170412,2023-01-20 10:58:27.312659,628369983,0,18.15321,16.35331,12.53966,0
170446,2023-01-20 10:58:27.412681,628470003,0,21.64494,13.58355,16.03988,0
170478,2023-01-20 10:58:27.512633,628569982,0,19.70174,13.47073,16.26457,0
170513,2023-01-20 10:58:27.612619,628669989,0,14.79751,15.07411,14.4961,0
170544,2023-01-20 10:58:27.712612,628769963,0,15.34144,10.71435,13.48599,0
170578,2023-01-20 10:58:27.812939,628870276,0,17.2049,10.68106,13.08784,0
170608,2023-01-20 10:58:27.912607,628969966,0,17.67101,12.70652,12.32943,0
170641,2023-01-20 10:58:28.012603,629069982,0,17.23319,13.14513,11.60747,0
170675,2023-01-20 10:58:28.112653,629170040,0,16.38599,10.75231,13.02884,0
170708,2023-01-20 10:58:28.212574,629269965,0,12.98148,16.14506,14.22917,0
170738,2023-01-20 10:58:28.312628,629369985,0,19.02076,13.06635,17.10205,0
170772,2023-01-20 10:58:28.412633,629469960,0,22.22838,14.30582,16.38245,0
170804,2023-01-20 10:58:28.512656,629569980,0,20.74597,16.98595,14.10325,0
170839,2023-01-20 10:58:28.612667,629669990,0,21.05125,16.00854,14.54613,0
170870,2023-01-20 10:58:28.712687,629770017,0,23.6957,11.29666,16.525,0
170904,2023-01-20 10:58:28.812932,629870269,0,17.77405,16.74097,16.14441,0
170936,2023-01-20 10:58:28.912628,629969981,0,16.00185,12.5955,14.53984,0
170969,2023-01-20 10:58:29.012607,630069972,0,17.53233,14.64542,13.50024,0
171003,2023-01-20 10:58:29.112647,630169995,0,20.78783,14.28108,14.33248,0
171036,2023-01-20 10:58:29.212629,630269962,0,22.47608,10.95929,16.7767,0
171066,2023-01-20 10:58:29.312666,630369993,0,21.31834,9.732651,18.392,0
