LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
166135,2023-01-20 10:58:14.431641,615468985,0,408,0.0025,0.0025,0.01248601,0.01251368,0.01103604,0.01304281,0.01103601,0.01304277
167804,2023-01-20 10:58:19.531662,620568994,0,408,0.0025,0.0025,0.012486,0.01251355,0.01103601,0.01304276,0.011036,0.01304278
169488,2023-01-20 10:58:24.511769,625569002,0,400,0.0025,0.0025,0.01248619,0.01251361,0.01103598,0.01304273,0.01103595,0.01304278
171159,2023-01-20 10:58:29.611665,630668990,0,408,0.0025,0.0025,0.01248626,0.0125137,0.01103596,0.01304271,0.01103594,0.01304268
172792,2023-01-20 10:58:34.591704,635669000,0,400,0.0025,0.0025,0.012486,0.01251362,0.01103595,0.01304268,0.01103593,0.01304265
174460,2023-01-20 10:58:39.691681,640768985,0,408,0.0025,0.0025,0.01248594,0.01251368,0.01103592,0.01304266,0.01103591,0.01304263
176177,2023-01-20 10:58:44.771642,645868984,0,408,0.0025,0.0025,0.01248604,0.01251361,0.01103586,0.01304258,0.01103589,0.01304262
177846,2023-01-20 10:58:49.871646,650968982,0,408,0.0025,0.0025,0.01248592,0.01251354,0.01103585,0.01304257,0.01103582,0.0130426
179513,2023-01-20 10:58:54.951275,656068987,0,408,0.0025,0.0025,0.01248607,0.01251364,0.01103584,0.01304256,0.01103582,0.01304253
181233,2023-01-20 10:59:00.051316,661169019,0,408,0.0025,0.0025,0.01248594,0.01251355,0.01103579,0.01304248,0.01103581,0.01304252
182900,2023-01-20 10:59:05.131626,666268981,0,408,0.0025,0.0025,0.01248591,0.01251363,0.01103578,0.01304248,0.01103581,0.01304251
184567,2023-01-20 10:59:10.228829,671368993,0,408,0.0025,0.0025,0.01248598,0.01251361,0.01103573,0.01304242,0.01103575,0.01304245
186280,2023-01-20 10:59:15.311638,676468985,0,408,0.0025,0.0025,0.012486,0.01251359,0.01103573,0.01304242,0.0110357,0.01304244
187943,2023-01-20 10:59:20.392606,681568991,0,408,0.0025,0.0025,0.01248581,0.01251359,0.01103568,0.01304242,0.0110357,0.01304239
189606,2023-01-20 10:59:25.491681,686668983,0,408,0.0025,0.0025,0.01248612,0.01251352,0.01103564,0.01304237,0.01103565,0.01304233
191268,2023-01-20 10:59:30.571861,691768984,0,408,0.0025,0.0025,0.01248615,0.01251353,0.01103564,0.01304232,0.01103561,0.01304229
192934,2023-01-20 10:59:35.671655,696868991,0,408,0.0025,0.0025,0.01248606,0.01251353,0.01103561,0.01304228,0.01103562,0.0130423
194599,2023-01-20 10:59:40.751351,701969009,0,408,0.0025,0.0025,0.01248579,0.0125134,0.01103561,0.01304229,0.01103558,0.01304226
196314,2023-01-20 10:59:45.851229,707069351,0,408,0.0025,0.0025,0.01248567,0.01251334,0.01103558,0.01304224,0.0110356,0.01304227
197984,2023-01-20 10:59:50.931673,712169651,0,409,0.0025,0.0025,0.01240069,0.01251264,0.01103559,0.01304227,0.01103558,0.01304223
199652,2023-01-20 10:59:56.031598,717269640,0,408,0.0025,0.0025,0.01248521,0.01251331,0.01103557,0.01304228,0.01103559,0.01304226
201368,2023-01-20 11:00:01.111309,722369638,0,408,0.0025,0.0025,0.01248543,0.01251314,0.01103558,0.01304225,0.0110356,0.01304227
203038,2023-01-20 11:00:06.211343,727469648,0,408,0.0025,0.0025,0.01248556,0.01251313,0.0110356,0.01304227,0.01103562,0.01304229
204704,2023-01-20 11:00:11.291677,732569640,0,408,0.0025,0.0025,0.01248554,0.01251316,0.01103561,0.01304228,0.01103563,0.01304232
206423,2023-01-20 11:00:16.391691,737669650,0,408,0.0025,0.0025,0.01248551,0.01251308,0.01103563,0.01304237,0.01103565,0.01304233
208093,2023-01-20 11:00:21.471727,742769636,0,408,0.0025,0.0025,0.01248505,0.01251292,0.01103569,0.01304238,0.01103566,0.01304234
209760,2023-01-20 11:00:26.571693,747869648,0,408,0.0025,0.0025,0.01248539,0.01251268,0.0110357,0.01304245,0.01103572,0.01304241
211476,2023-01-20 11:00:31.651685,752969639,0,408,0.0025,0.0025,0.01248535,0.0125129,0.01103576,0.01304245,0.01103578,0.01304248
213111,2023-01-20 11:00:36.651267,757970008,0,400,0.0025,0.0025,0.01245089,0.01251295,0.01103581,0.01304251,0.01103578,0.01304254
