LineNo,UTC_Approx,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
6537,2023-01-20 10:50:09.734772,129762260,0,15.60947,16.14943,7.28161,35.43677,0.5689372,0,0.07415289,99
6571,2023-01-20 10:50:09.834719,129862216,0,15.62158,16.15075,7.133196,35.63475,0.5720298,0,0.07418396,99
6602,2023-01-20 10:50:09.934633,129962152,0,15.61538,16.15018,7.207262,35.83494,0.5751559,0,0.07420254,99
6635,2023-01-20 10:50:10.034739,130062263,0,15.59677,16.14475,7.388592,36.04042,0.5783607,0,0.07416577,99
6665,2023-01-20 10:50:10.134656,130162155,0,15.59677,16.14351,7.375822,36.2451,0.581553,0,0.07412556,99
6700,2023-01-20 10:50:10.234581,130262153,0,15.61243,16.14828,7.227693,36.44588,0.5846878,0,0.07413944,99
6730,2023-01-20 10:50:10.334315,130362146,0,15.61538,16.14727,7.17406,36.64516,0.5877996,0,0.07414062,99
6763,2023-01-20 10:50:10.434477,130462487,0,15.61538,16.14728,7.17406,36.84514,0.5909223,0,0.07414161,99
6793,2023-01-20 10:50:10.534468,130562505,0,15.60652,16.14366,7.248124,37.04652,0.5940652,0,0.07410828,99
6829,2023-01-20 10:50:10.634452,130662513,0,15.59234,16.14213,7.414131,37.25251,0.597277,0,0.07415504,99
6861,2023-01-20 10:50:10.734482,130762561,0,15.59057,16.13903,7.388592,37.45786,0.6004786,0,0.0742311,99
6894,2023-01-20 10:50:10.834399,130862520,0,15.56812,16.1344,7.616462,37.66936,0.6037712,0,0.07435049,99
6924,2023-01-20 10:50:10.934304,130962514,0,15.556,16.1329,7.746146,37.88453,0.6071185,0,0.07447472,99
6957,2023-01-20 10:50:11.034324,131062562,0,15.59323,16.14168,7.365606,38.08925,0.6103107,0,0.07446149,99
6987,2023-01-20 10:50:11.134337,131162489,0,15.6074,16.14314,7.194492,38.28897,0.6134278,0,0.07446503,99
7023,2023-01-20 10:50:11.234388,131262485,0,15.61095,16.14492,7.168952,38.48811,0.6165366,0,0.07448459,99
7053,2023-01-20 10:50:11.334370,131362474,0,15.61735,16.14141,7.037565,38.68359,0.6195894,0,0.07446658,99
7086,2023-01-20 10:50:11.434382,131462489,0,15.59677,16.13955,7.288988,38.88612,0.6227482,0,0.07446658,99
7116,2023-01-20 10:50:11.534377,131562478,0,15.61449,16.14286,7.094887,39.08319,0.6258254,0,0.07447154,99
7152,2023-01-20 10:50:11.634402,131662499,0,15.62779,16.14694,6.967189,39.27678,0.6288508,0,0.07451398,99
7184,2023-01-20 10:50:11.734404,131762502,0,15.63842,16.14777,6.83183,39.46657,0.6318188,0,0.07455478,99
7218,2023-01-20 10:50:11.834381,131862505,0,15.64787,16.15007,6.73109,39.65356,0.6347449,0,0.0746083,99
7248,2023-01-20 10:50:11.934315,131962514,0,15.6659,16.15361,6.530463,39.835,0.6375872,0,0.07468361,99
7281,2023-01-20 10:50:12.034340,132062560,0,15.65792,16.14999,6.58665,40.01806,0.6404536,0,0.07470775,99
7311,2023-01-20 10:50:12.134360,132162499,0,15.63754,16.14894,6.8446,40.20809,0.6434251,0,0.07471651,99
7346,2023-01-20 10:50:12.234406,132262493,0,15.64551,16.14813,6.727118,40.39495,0.6463488,0,0.07471568,99
7376,2023-01-20 10:50:12.334381,132362472,0,15.63704,16.14642,6.81906,40.58435,0.6493104,0,0.0746988,99
7409,2023-01-20 10:50:12.434387,132462483,0,15.61272,16.13988,7.048916,40.78019,0.6523679,0,0.07478528,99
7439,2023-01-20 10:50:12.534382,132562485,0,15.62424,16.14416,6.949312,40.97324,0.6553843,0,0.074816,99
7475,2023-01-20 10:50:12.634377,132662481,0,15.61981,16.14218,6.977406,41.16706,0.6584118,0,0.07486515,99
7507,2023-01-20 10:50:12.734398,132762492,0,15.59323,16.13467,7.220031,41.36766,0.6615397,0,0.07499138,99
7541,2023-01-20 10:50:12.834410,132862522,0,15.58791,16.13547,7.291542,41.57028,0.6646982,0,0.0750958,99
7571,2023-01-20 10:50:12.934320,132962506,0,15.58978,16.13378,7.233369,41.77119,0.6678303,0,0.07520783,99
7605,2023-01-20 10:50:13.034336,133062545,0,15.595,16.13819,7.217477,41.97177,0.6709583,0,0.07526024,99
7635,2023-01-20 10:50:13.134371,133162505,0,15.59323,16.13597,7.204708,42.17184,0.674078,0,0.07533154,99
7670,2023-01-20 10:50:13.234409,133262496,0,15.61006,16.13854,7.018269,42.36679,0.6771212,0,0.07530048,99
7700,2023-01-20 10:50:13.334378,133362468,0,15.60032,16.137,7.122981,42.56461,0.6802073,0,0.07534522,99
7733,2023-01-20 10:50:13.434414,133462506,0,15.60455,16.13394,7.026214,42.75987,0.6832542,0,0.07534522,99
7763,2023-01-20 10:50:13.534417,133562508,0,15.60475,16.13392,7.023376,42.95498,0.6862988,0,0.07534522,99
7799,2023-01-20 10:50:13.634410,133662502,0,15.58259,16.13032,7.260894,43.15668,0.6894418,0,0.07543587,99
7831,2023-01-20 10:50:13.734407,133762500,0,15.58436,16.13269,7.263448,43.35845,0.6925863,0,0.07549139,99
7865,2023-01-20 10:50:13.834394,133862517,0,15.59677,16.13276,7.099995,43.55573,0.6956631,0,0.07549139,99
7897,2023-01-20 10:50:13.934294,133962499,0,15.57993,16.12934,7.270259,43.75765,0.698809,0,0.07556967,99
7930,2023-01-20 10:50:14.034304,134062539,0,15.59323,16.13151,7.122981,43.95561,0.7018959,0,0.07556967,99
7960,2023-01-20 10:50:14.134326,134162487,0,15.61893,16.13872,6.875247,44.14651,0.7048775,0,0.07560431,99
7995,2023-01-20 10:50:14.234379,134262489,0,15.5436,16.1187,7.587801,44.35728,0.7081536,0,0.07579279,99
8025,2023-01-20 10:50:14.334391,134362494,0,15.48954,16.1098,8.154778,44.58385,0.7116631,0,0.07606135,99
8058,2023-01-20 10:50:14.434420,134462518,0,15.48333,16.11235,8.24672,44.813,0.7152111,0,0.07627495,99
8088,2023-01-20 10:50:14.534399,134562497,0,15.48245,16.11277,8.243599,45.04196,0.718756,0,0.07646271,99
8125,2023-01-20 10:50:14.634409,134662507,0,15.4851,16.11151,8.172656,45.26902,0.722272,0,0.07664601,99
8157,2023-01-20 10:50:14.734412,134762510,0,15.46561,16.10981,8.384634,45.50195,0.7258744,0,0.0768308,99
8191,2023-01-20 10:50:14.834377,134862504,0,15.47092,16.11055,8.308016,45.73273,0.7294449,0,0.07698952,99
8221,2023-01-20 10:50:14.934270,134962481,0,15.50017,16.11626,7.99388,45.95475,0.7328861,0,0.07706992,99
8254,2023-01-20 10:50:15.034293,135062537,0,15.50115,16.11528,7.959827,46.176,0.7363157,0,0.07715344,99
8284,2023-01-20 10:50:15.134301,135162480,0,15.51612,16.11905,7.817657,46.39305,0.7396835,0,0.07712436,99
8319,2023-01-20 10:50:15.234364,135262493,0,15.52764,16.11812,7.659311,46.60585,0.7429879,0,0.07709313,99
8349,2023-01-20 10:50:15.334382,135362491,0,15.50194,16.11334,7.922369,46.82594,0.7463996,0,0.07717399,99
8382,2023-01-20 10:50:15.434397,135462494,0,15.50815,16.1165,7.878952,47.04482,0.749794,0,0.07721244,99
8412,2023-01-20 10:50:15.534405,135562505,0,15.53857,16.11682,7.491602,47.25296,0.7530282,0,0.07718565,99
8448,2023-01-20 10:50:15.634402,135662503,0,15.52942,16.11797,7.62611,47.46481,0.7563181,0,0.07717581,99
8480,2023-01-20 10:50:15.734391,135762490,0,15.56487,16.12422,7.243017,47.66599,0.7594495,0,0.07722721,99
8514,2023-01-20 10:50:15.834395,135862503,0,15.56752,16.12167,7.17406,47.86531,0.7625524,0,0.07724278,99
8544,2023-01-20 10:50:15.934368,135962507,0,15.53828,16.11598,7.483088,48.0732,0.7657827,0,0.07720128,99
8577,2023-01-20 10:50:16.034381,136062529,0,15.55334,16.11897,7.327013,48.27679,0.7689492,0,0.07719726,99
8607,2023-01-20 10:50:16.134380,136162497,0,15.55778,16.12055,7.288988,48.47921,0.7720984,0,0.07720906,99
8642,2023-01-20 10:50:16.234372,136262488,0,15.5436,16.11619,7.41924,48.6853,0.7753018,0,0.07717711,99
8672,2023-01-20 10:50:16.334320,136362490,0,15.53828,16.11694,7.495858,48.89354,0.7785375,0,0.07719768,99
8705,2023-01-20 10:50:16.434350,136462536,0,15.51967,16.11118,7.654203,49.10627,0.781839,0,0.0772795,99
8735,2023-01-20 10:50:16.534356,136562484,0,15.51888,16.11314,7.684567,49.31964,0.7851502,0,0.07733179,99
8771,2023-01-20 10:50:16.634409,136662500,0,15.50726,16.10916,7.774239,49.53564,0.7884998,0,0.07742273,99
8803,2023-01-20 10:50:16.734410,136762503,0,15.50637,16.1093,7.779347,49.75176,0.791851,0,0.07750331,99
8837,2023-01-20 10:50:16.834412,136862515,0,15.50637,16.10927,7.771685,49.96768,0.7951992,0,0.07757634,99
8867,2023-01-20 10:50:16.934364,136962491,0,15.51346,16.10952,7.677189,50.1809,0.798507,0,0.07763955,99
8900,2023-01-20 10:50:17.034390,137062522,0,15.4984,16.10628,7.820211,50.39822,0.801875,0,0.07773232,99
8930,2023-01-20 10:50:17.134446,137162550,0,15.51888,16.11355,7.650514,50.61081,0.8051742,0,0.07772896,99
8965,2023-01-20 10:50:17.234396,137262484,0,15.54094,16.11194,7.347729,50.81479,0.8083443,0,0.0777112,99
8995,2023-01-20 10:50:17.334394,137362490,0,15.4851,16.10305,7.940246,51.03537,0.8117601,0,0.07782507,99
9028,2023-01-20 10:50:17.434400,137462498,0,15.48422,16.105,7.96834,51.25676,0.8151881,0,0.07790648,99
9058,2023-01-20 10:50:17.534434,137562521,0,15.51258,16.1091,7.659311,51.46959,0.8184895,0,0.07788222,99
9094,2023-01-20 10:50:17.634423,137662503,0,15.51297,16.10459,7.602273,51.68074,0.8217651,0,0.07782102,99
9126,2023-01-20 10:50:17.734430,137762511,0,15.51524,16.10757,7.61334,51.89226,0.8250468,0,0.07780171,99
9160,2023-01-20 10:50:17.831374,137862524,0,15.52676,16.10958,7.49075,52.10035,0.8282779,0,0.07780572,99
