LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
71153,2023-01-20 10:53:26.656954,327085040,2,24182,411,0,6,0,8
71480,2023-01-20 10:53:27.659478,328087566,2,24266,412,0,6,0,8
71806,2023-01-20 10:53:28.662215,329090303,2,24349,413,0,6,0,8
72136,2023-01-20 10:53:29.664343,330092433,2,24434,414,0,6,0,8
72463,2023-01-20 10:53:30.660954,331095014,2,24517,415,0,6,0,8
72790,2023-01-20 10:53:31.649831,332097491,2,24601,416,0,6,0,8
73116,2023-01-20 10:53:32.652239,333100000,2,24684,417,0,6,0,8
73443,2023-01-20 10:53:33.652214,334100025,2,24768,418,0,6,0,8
73769,2023-01-20 10:53:34.657252,335105041,2,24851,419,0,6,0,8
74094,2023-01-20 10:53:35.659710,336107545,2,24934,420,0,6,0,8
74422,2023-01-20 10:53:36.662211,337109985,2,25020,421,0,6,0,8
74746,2023-01-20 10:53:37.664659,338112505,2,25103,422,0,6,0,8
75071,2023-01-20 10:53:38.667682,339115473,2,25187,423,0,6,0,8
75402,2023-01-20 10:53:39.669698,340117497,2,25276,424,0,6,0,8
75726,2023-01-20 10:53:40.652367,341119987,2,25359,425,0,6,0,8
76051,2023-01-20 10:53:41.654758,342122500,2,25445,426,0,6,0,8
76376,2023-01-20 10:53:42.657256,343125018,2,25528,427,0,6,0,8
76702,2023-01-20 10:53:43.660022,344127863,2,25612,428,0,6,0,8
77030,2023-01-20 10:53:44.662205,345129991,2,25695,429,0,6,0,8
77355,2023-01-20 10:53:45.665208,346132948,2,25778,430,0,6,0,8
77684,2023-01-20 10:53:46.667212,347134996,2,25865,431,0,6,0,8
78008,2023-01-20 10:53:47.667272,348135017,2,25948,432,0,6,0,8
78332,2023-01-20 10:53:48.669719,349137526,2,26031,433,0,6,0,8
78658,2023-01-20 10:53:49.658585,350140363,2,26115,434,0,6,0,8
78987,2023-01-20 10:53:50.654855,351142522,2,26208,435,0,6,0,8
79359,2023-01-20 10:53:51.657294,352145035,2,26294,436,0,6,0,8
79683,2023-01-20 10:53:52.659785,353147559,2,26378,437,0,6,0,8
80010,2023-01-20 10:53:53.662253,354149999,2,26462,438,0,6,0,8
80339,2023-01-20 10:53:54.662234,355150014,2,26545,439,0,6,0,8
80666,2023-01-20 10:53:55.664993,356152737,2,26629,440,0,6,0,8
80993,2023-01-20 10:53:56.667248,357155013,2,26712,441,0,6,0,8
81320,2023-01-20 10:53:57.669749,358157488,2,26796,442,0,6,0,8
81646,2023-01-20 10:53:58.658193,359160012,2,26879,443,0,6,0,8
81978,2023-01-20 10:53:59.654955,360162595,2,26964,444,0,6,0,8
82306,2023-01-20 10:54:00.657602,361165435,2,27047,445,0,6,0,8
82633,2023-01-20 10:54:01.659794,362167532,2,27130,446,0,6,0,8
82984,2023-01-20 10:54:02.662151,363169992,2,27214,447,0,6,0,8
83311,2023-01-20 10:54:03.664731,364172507,2,27297,448,0,6,0,8
83641,2023-01-20 10:54:04.667223,365175061,2,27381,449,0,6,0,8
83967,2023-01-20 10:54:05.669971,366177719,2,27464,450,0,6,0,8
84295,2023-01-20 10:54:06.672151,367179977,2,27548,451,0,6,0,8
84621,2023-01-20 10:54:07.672229,368180013,2,27631,452,0,6,0,8
84996,2023-01-20 10:54:08.654583,369182505,2,27715,453,0,6,0,8
85324,2023-01-20 10:54:09.657132,370185050,2,27799,454,0,6,0,8
85653,2023-01-20 10:54:10.659441,371187554,2,27885,455,0,6,0,8
85980,2023-01-20 10:54:11.662224,372190283,2,27968,456,0,6,0,8
86307,2023-01-20 10:54:12.664383,373192463,2,28052,457,0,6,0,8
86633,2023-01-20 10:54:13.666939,374195008,2,28135,458,0,6,0,8
86963,2023-01-20 10:54:14.669433,375197519,2,28219,459,0,6,0,8
87289,2023-01-20 10:54:15.671937,376199994,2,28302,460,0,6,0,8
87617,2023-01-20 10:54:16.676954,377205015,2,28385,461,0,6,0,8
87944,2023-01-20 10:54:17.672456,378207578,2,28469,462,0,6,0,8
88270,2023-01-20 10:54:18.662335,379209980,2,28552,463,0,6,0,8
88599,2023-01-20 10:54:19.662259,380210030,2,28637,464,0,6,0,8
88926,2023-01-20 10:54:20.664670,381212484,2,28720,465,0,6,0,8
89254,2023-01-20 10:54:21.667596,382215450,2,28804,466,0,6,0,8
89580,2023-01-20 10:54:22.669721,383217517,2,28887,467,0,6,0,8
