LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
7202,2023-01-20 10:50:11.739877,131767975,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
7236,2023-01-20 10:50:11.839899,131868027,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
7266,2023-01-20 10:50:11.939768,131967971,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
7299,2023-01-20 10:50:12.039785,132068001,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7331,2023-01-20 10:50:12.139925,132168060,1505,1506,1505,1505,1505,1505,1054,1055,0,0,0,0,0,0
7364,2023-01-20 10:50:12.239879,132267966,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
7394,2023-01-20 10:50:12.339900,132367991,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
7427,2023-01-20 10:50:12.439868,132467964,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
7459,2023-01-20 10:50:12.539870,132567973,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
7495,2023-01-20 10:50:12.639891,132667995,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
7525,2023-01-20 10:50:12.739874,132767967,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7559,2023-01-20 10:50:12.839867,132867983,1505,1505,1506,1486,1505,1505,1054,1055,0,0,0,0,0,0
7590,2023-01-20 10:50:12.939792,132967982,1505,1505,1505,1472,1506,1505,1054,1054,0,0,0,0,0,0
7623,2023-01-20 10:50:13.039780,133067985,1505,1506,1505,1462,1505,1505,1054,1055,0,0,0,0,0,0
7655,2023-01-20 10:50:13.139940,133168070,1505,1505,1505,1462,1505,1506,1054,1054,0,0,0,0,0,0
7688,2023-01-20 10:50:13.239880,133267967,1505,1505,1505,1464,1505,1505,1054,1054,0,0,0,0,0,0
7718,2023-01-20 10:50:13.339896,133367986,1505,1505,1505,1491,1505,1506,1054,1054,0,0,0,0,0,0
7751,2023-01-20 10:50:13.439877,133467969,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
7783,2023-01-20 10:50:13.539881,133567972,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7819,2023-01-20 10:50:13.639907,133667999,1505,1506,1505,1505,1505,1505,1054,1055,0,0,0,0,0,0
7849,2023-01-20 10:50:13.739879,133767972,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
7883,2023-01-20 10:50:13.839860,133867987,1505,1505,1506,1505,1505,1505,1054,1055,0,0,0,0,0,0
7915,2023-01-20 10:50:13.939758,133967968,1505,1505,1506,1505,1505,1505,1054,1055,0,0,0,0,0,0
7948,2023-01-20 10:50:14.039773,134068004,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
7980,2023-01-20 10:50:14.139886,134168043,1505,1505,1505,1506,1505,1505,1054,1055,0,0,0,0,0,0
8013,2023-01-20 10:50:14.239854,134267964,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
8043,2023-01-20 10:50:14.339897,134367999,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
8076,2023-01-20 10:50:14.439866,134467964,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
8109,2023-01-20 10:50:14.539874,134567972,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
8145,2023-01-20 10:50:14.639897,134667995,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
8175,2023-01-20 10:50:14.739878,134767976,1506,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
8209,2023-01-20 10:50:14.839854,134867986,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
8239,2023-01-20 10:50:14.939756,134967971,1505,1506,1505,1505,1505,1505,1054,1055,0,0,0,0,0,0
8272,2023-01-20 10:50:15.039747,135067987,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
8304,2023-01-20 10:50:15.139871,135168046,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
8337,2023-01-20 10:50:15.239845,135267973,1505,1506,1505,1505,1505,1505,1054,1055,0,0,0,0,0,0
8367,2023-01-20 10:50:15.339886,135367994,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
8400,2023-01-20 10:50:15.439911,135468008,1505,1506,1505,1486,1505,1505,1055,1054,0,0,0,0,0,0
8432,2023-01-20 10:50:15.539874,135567974,1505,1505,1505,1468,1505,1505,1054,1055,0,0,0,0,0,0
8468,2023-01-20 10:50:15.639901,135668002,1506,1505,1505,1461,1505,1505,1055,1054,0,0,0,0,0,0
8498,2023-01-20 10:50:15.739879,135767978,1505,1505,1505,1447,1506,1505,1054,1055,0,0,0,0,0,0
8532,2023-01-20 10:50:15.839890,135868000,1505,1506,1505,1435,1505,1505,1054,1055,0,0,0,0,0,0
8562,2023-01-20 10:50:15.939841,135967981,1506,1505,1505,1423,1505,1505,1054,1055,0,0,0,0,0,0
