LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
4100,2023-01-20 10:50:02.242349,122244485,0,-0.120699,-0.1943249,-0.008785321,-0.007009886,-0.1385123,-9.843576,0,0,26.94748,1,1,7975,996
4128,2023-01-20 10:50:02.282388,122284525,0,-0.1107156,-0.1953941,0.002835026,0.09373607,-0.1124795,-9.64249,0,0,26.94959,1,1,7975,996
4130,2023-01-20 10:50:02.322365,122324502,0,-0.07342338,-0.1571233,-0.006096199,0.09369895,-0.06181865,-9.446646,0,0,26.95159,1,1,7975,996
4136,2023-01-20 10:50:02.362485,122364623,0,-0.01291388,-0.17119,0.009413392,0.2782929,0.05385674,-9.372287,0,0,26.9531,1,1,7975,996
4162,2023-01-20 10:50:02.404822,122406980,0,0.08056562,-0.1734592,0.04748803,0.2770642,0.08959097,-9.424004,0,0,26.95505,1,1,7975,996
4163,2023-01-20 10:50:02.444635,122446952,0,0.01800516,-0.1967163,0.05227139,0.3756751,-0.0505713,-9.321835,0,0,26.95639,1,1,7975,996
4191,2023-01-20 10:50:02.484444,122486920,0,-0.07363646,-0.1118853,0.05451337,0.2990894,-0.06930709,-9.155831,0,0,26.95792,1,1,7975,996
4193,2023-01-20 10:50:02.524997,122527635,0,-0.1519745,-0.08286985,0.08548447,0.2942113,-0.1455845,-9.266571,0,0,26.95965,1,1,7975,996
4224,2023-01-20 10:50:02.564669,122567465,0,-0.1717036,0.1148722,0.06425334,0.05236366,-0.2412907,-9.178274,0,0,26.96132,1,1,7975,996
4229,2023-01-20 10:50:02.604016,122606952,0,-0.06128385,0.07888929,0.06673875,0.02029116,-0.06042099,-9.122994,0,0,26.96248,1,1,7975,996
4230,2023-01-20 10:50:02.644000,122646921,0,-0.04181594,0.05809997,0.07485922,-0.08838585,-0.1042253,-9.104607,0,0,26.96401,1,1,7975,996
4260,2023-01-20 10:50:02.684019,122686925,0,-0.02798641,-0.009705456,0.09583309,-0.01198826,0.02405696,-9.106855,0,0,26.96538,1,1,7975,996
4262,2023-01-20 10:50:02.724787,122727678,0,-0.08112277,0.09536155,0.08416392,-0.009099785,-0.2177272,-9.272081,0,0,26.96743,1,1,7975,996
4290,2023-01-20 10:50:02.764547,122767423,0,0.02926465,0.1583786,0.06854811,-0.03632784,-0.1041013,-9.133567,0,0,26.96928,1,1,7975,996
4294,2023-01-20 10:50:02.804049,122806913,0,0.1109112,0.2009872,0.04917109,-0.05619035,-0.1330671,-9.432377,0,0,26.97082,1,1,7975,996
4296,2023-01-20 10:50:02.844063,122846937,0,0.06333186,0.15856,0.02272302,-0.1540844,-0.1622989,-9.322991,0,0,26.97276,1,1,7975,996
4325,2023-01-20 10:50:02.884066,122886950,0,-0.007000505,0.03904232,0.02957016,-0.0340227,-0.08343798,-9.602022,0,0,26.97578,1,1,7975,996
