LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
5665,2023-01-20 10:50:07.042157,127066996,-2.682039,2.908553,-0.0009868015,3.081579,-3.56353,0.02418187,14.29998,-8.130062,0.05257454,-70.5975,-48.43168,0.3038461
5695,2023-01-20 10:50:07.142066,127166922,-3.60791,-10.25719,0.1023128,1.855606,-4.170484,0.05470399,16.76025,-4.518494,0.05637644,-62.45181,-43.69345,0.30141
5730,2023-01-20 10:50:07.242099,127266939,-2.742506,-8.667918,0.05685453,2.763591,-8.639627,0.0848863,17.94047,1.050389,0.05299653,-46.45043,-63.61971,0.3100029
5760,2023-01-20 10:50:07.342502,127367279,-1.934107,-9.332433,0.07009715,6.72846,3.254591,0.008435281,17.57263,1.226553,0.04626405,-35.04544,-25.24614,0.3170923
5793,2023-01-20 10:50:07.442162,127466939,0.5150541,4.081174,0.00205758,4.517286,7.899207,-0.008610717,16.76094,1.307174,0.04249026,-34.18339,-35.38485,0.3108381
5825,2023-01-20 10:50:07.542085,127566949,-0.5101645,2.522119,0.01850962,-0.778075,7.185217,-0.02409362,15.85995,0.4661866,0.04028979,-30.00526,-48.69194,0.3113163
5859,2023-01-20 10:50:07.646770,127666946,1.467215,3.072974,0.008379974,-4.987807,4.800762,-0.03611644,15.2388,0.1647576,0.03907761,-14.88573,-36.72466,0.3209576
5891,2023-01-20 10:50:07.758053,127766955,3.48814,9.888951,-0.02424738,-5.672035,-3.693279,0.01473757,15.18556,1.52616,0.03991026,-5.748548,-35.10818,0.3211348
5925,2023-01-20 10:50:07.856565,127866957,5.125738,-0.7952349,0.0604623,-7.567729,-7.154438,-0.003364275,14.87908,0.8489031,0.03804342,28.55014,2.959728,0.3295161
5956,2023-01-20 10:50:07.947337,127966941,4.972405,-3.052084,0.07677758,-2.851299,-7.150606,0.03230195,14.48404,2.744968,0.03551818,28.04921,-2.513885,0.3329978
5990,2023-01-20 10:50:08.041997,128066953,5.207572,1.029712,0.05344398,5.624804,-5.509071,0.0639862,13.84712,3.628703,0.03310443,19.03577,23.91558,0.3302954
6020,2023-01-20 10:50:08.142015,128166989,2.446873,6.638801,0.009803544,6.621738,8.54382,0.004729996,12.88469,2.501136,0.03069394,28.88066,12.64429,0.3282778
