LineNo,UTC_Approx,TimeUS,Id,Value
122333,2023-01-20 10:56:01.807197,482563904,7,4203896
122660,2023-01-20 10:56:02.807262,483563904,7,4203896
122986,2023-01-20 10:56:03.808477,484565122,7,4203896
123316,2023-01-20 10:56:04.807260,485563907,7,4203896
123642,2023-01-20 10:56:05.807254,486563922,7,4203896
123967,2023-01-20 10:56:06.788565,487563909,7,4203896
124294,2023-01-20 10:56:07.787402,488564234,7,4203896
124621,2023-01-20 10:56:08.787267,489564246,7,4203896
124949,2023-01-20 10:56:09.787297,490563927,7,4203896
125276,2023-01-20 10:56:10.787288,491563930,7,4203896
125602,2023-01-20 10:56:11.787261,492564286,7,4203896
125929,2023-01-20 10:56:12.787313,493564319,7,4203896
126257,2023-01-20 10:56:13.787283,494563964,7,4203896
126587,2023-01-20 10:56:14.787263,495563910,7,4203896
126962,2023-01-20 10:56:15.787333,496564293,7,4203896
127289,2023-01-20 10:56:16.787258,497563906,7,4203896
127616,2023-01-20 10:56:17.767366,498563922,7,4203896
127942,2023-01-20 10:56:18.766969,499563932,7,4203896
128271,2023-01-20 10:56:19.767223,500563907,7,4203896
128597,2023-01-20 10:56:20.767584,501564230,7,4203896
128924,2023-01-20 10:56:21.767230,502563901,7,4203896
129250,2023-01-20 10:56:22.767544,503564228,7,4203896
129578,2023-01-20 10:56:23.767254,504563926,7,4203896
129907,2023-01-20 10:56:24.767565,505564252,7,4203896
130233,2023-01-20 10:56:25.767614,506564251,7,4203896
130559,2023-01-20 10:56:26.766903,507563905,7,4203896
130886,2023-01-20 10:56:27.746905,508563913,7,4203896
131213,2023-01-20 10:56:28.747627,509564273,7,4203896
131542,2023-01-20 10:56:29.747599,510564231,7,4203896
131868,2023-01-20 10:56:30.747276,511563958,7,4203896
132194,2023-01-20 10:56:31.747025,512563905,7,4203896
132570,2023-01-20 10:56:32.747306,513564312,7,4203896
132896,2023-01-20 10:56:33.746857,514564548,7,4203896
133226,2023-01-20 10:56:34.746843,515564546,7,4203896
133552,2023-01-20 10:56:35.746867,516564568,7,4203896
133879,2023-01-20 10:56:36.727351,517564565,7,4203896
134205,2023-01-20 10:56:37.727377,518564545,7,4203896
134533,2023-01-20 10:56:38.727207,519564553,7,4203896
134861,2023-01-20 10:56:39.727249,520564561,7,4203896
135188,2023-01-20 10:56:40.727226,521564543,7,4203896
135514,2023-01-20 10:56:41.727224,522564537,7,4203896
135841,2023-01-20 10:56:42.727232,523564548,7,4203896
136168,2023-01-20 10:56:43.727276,524564594,7,4203896
136500,2023-01-20 10:56:44.727245,525564567,7,4203896
136825,2023-01-20 10:56:45.727293,526564613,7,4203896
137151,2023-01-20 10:56:46.707396,527564542,7,4203896
137478,2023-01-20 10:56:47.707318,528564549,7,4203896
137805,2023-01-20 10:56:48.707217,529564548,7,4203896
138183,2023-01-20 10:56:49.707199,530564533,7,4203896
138509,2023-01-20 10:56:50.707213,531564570,7,4203896
138836,2023-01-20 10:56:51.707209,532564558,7,4203896
139162,2023-01-20 10:56:52.707206,533564560,7,4203896
139490,2023-01-20 10:56:53.707195,534564537,7,4203896
139819,2023-01-20 10:56:54.707201,535564539,7,4203896
140146,2023-01-20 10:56:55.697052,536564565,7,4203896
140472,2023-01-20 10:56:56.687374,537564555,7,4203896
140797,2023-01-20 10:56:57.687273,538564573,7,4203896
141124,2023-01-20 10:56:58.687330,539564608,7,4203896
141453,2023-01-20 10:56:59.687258,540564566,7,4203896
141779,2023-01-20 10:57:00.687297,541564612,7,4203896
142105,2023-01-20 10:57:01.687243,542564554,7,4203896
142432,2023-01-20 10:57:02.687260,543564564,7,4203896
142759,2023-01-20 10:57:03.687237,544564562,7,4203896
143089,2023-01-20 10:57:04.679409,545564565,7,4203896
143464,2023-01-20 10:57:05.667483,546564563,7,4203896
143791,2023-01-20 10:57:06.667337,547564561,7,4203896
144117,2023-01-20 10:57:07.667257,548564567,7,4203896
144445,2023-01-20 10:57:08.667268,549564567,7,4203896
144773,2023-01-20 10:57:09.667256,550564554,7,4203896
145100,2023-01-20 10:57:10.667267,551564570,7,4203896
145425,2023-01-20 10:57:11.667244,552564537,7,4203896
145752,2023-01-20 10:57:12.667256,553564551,7,4203896
146079,2023-01-20 10:57:13.667292,554564594,7,4203896
146408,2023-01-20 10:57:14.647017,555564542,7,4203896
146737,2023-01-20 10:57:15.647015,556564615,7,4203896
147063,2023-01-20 10:57:16.646879,557564549,7,4203896
147390,2023-01-20 10:57:17.646859,558564567,7,4203896
147717,2023-01-20 10:57:18.646853,559564569,7,4203896
148046,2023-01-20 10:57:19.646744,560564548,7,4203896
148371,2023-01-20 10:57:20.646846,561564567,7,4203896
148696,2023-01-20 10:57:21.646762,562564571,7,4203896
149024,2023-01-20 10:57:22.646844,563564552,7,4203896
149347,2023-01-20 10:57:23.646835,564564545,7,4203896
149675,2023-01-20 10:57:24.642664,565564544,7,4203896
150048,2023-01-20 10:57:25.627335,566564566,7,4203896
150375,2023-01-20 10:57:26.627241,567564550,7,4203896
150699,2023-01-20 10:57:27.627199,568564545,7,4203896
151025,2023-01-20 10:57:28.627277,569564585,7,4203896
151352,2023-01-20 10:57:29.627258,570564577,7,4203896
151677,2023-01-20 10:57:30.627297,571564624,7,4203896
152002,2023-01-20 10:57:31.627258,572564572,7,4203896
152327,2023-01-20 10:57:32.627217,573564539,7,4203896
152652,2023-01-20 10:57:33.627246,574564554,7,4203896
152980,2023-01-20 10:57:34.607409,575564558,7,4203896
153304,2023-01-20 10:57:35.607301,576564553,7,4203896
153628,2023-01-20 10:57:36.607212,577564552,7,4203896
153958,2023-01-20 10:57:37.607215,578564548,7,4203896
154282,2023-01-20 10:57:38.607233,579564565,7,4203896
154610,2023-01-20 10:57:39.607245,580564563,7,4203896
154937,2023-01-20 10:57:40.607199,581564542,7,4203896
155263,2023-01-20 10:57:41.607240,582564560,7,4203896
155590,2023-01-20 10:57:42.607223,583564549,7,4203896
155914,2023-01-20 10:57:43.587512,584564585,7,4203896
156245,2023-01-20 10:57:44.587318,585564557,7,4203896
156571,2023-01-20 10:57:45.588500,586564603,7,4203896
156899,2023-01-20 10:57:46.587316,587564627,7,4203896
157225,2023-01-20 10:57:47.587312,588564622,7,4203896
157551,2023-01-20 10:57:48.587288,589564593,7,4203896
157881,2023-01-20 10:57:49.587264,590564571,7,4203896
158252,2023-01-20 10:57:50.587259,591564609,7,4203896
158579,2023-01-20 10:57:51.587265,592564567,7,4203896
158905,2023-01-20 10:57:52.587244,593564566,7,4203896
