LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
25992,2023-01-20 10:51:09.089743,189237557,1,16,300,0,48.74369,218.683,-36.23431
26118,2023-01-20 10:51:09.422204,189569952,1,17,300,0,49.39808,220.9804,-36.48645
26218,2023-01-20 10:51:09.757246,189904985,1,18,300,0,50.01459,223.2845,-36.72992
26318,2023-01-20 10:51:10.089658,190237499,1,19,300,0,50.56972,225.558,-36.93721
26444,2023-01-20 10:51:10.422205,190569965,1,20,300,0,51.12044,227.8454,-37.11044
26544,2023-01-20 10:51:10.757113,190904983,1,21,300,0,51.68523,230.1441,-37.28608
26644,2023-01-20 10:51:11.089670,191237506,1,22,300,0,52.25215,232.4045,-37.46584
26770,2023-01-20 10:51:11.422129,191569963,1,23,300,0,52.82442,234.6454,-37.66914
26870,2023-01-20 10:51:11.757243,191904987,1,24,300,0,53.43356,236.9044,-37.89452
26970,2023-01-20 10:51:12.089640,192237485,1,25,300,0,54.07021,239.1115,-38.15224
27096,2023-01-20 10:51:12.422193,192569951,1,26,300,0,54.69759,241.3316,-38.45037
27195,2023-01-20 10:51:12.757223,192904981,1,27,300,0,55.31594,243.58,-38.73575
27296,2023-01-20 10:51:13.089662,193237504,1,28,300,0,55.93275,245.8104,-38.99453
27422,2023-01-20 10:51:13.422125,193569955,1,29,300,0,56.5243,248.0374,-39.2193
27521,2023-01-20 10:51:13.757225,193904987,1,30,300,0,57.1002,250.2943,-39.41901
27625,2023-01-20 10:51:14.089675,194237521,1,31,300,0,57.67354,252.5199,-39.60804
27752,2023-01-20 10:51:14.422194,194569952,1,32,300,0,58.30568,254.7858,-39.81562
27851,2023-01-20 10:51:14.757223,194904979,1,33,300,0,58.92323,257.0626,-40.03781
27952,2023-01-20 10:51:15.089652,195237487,1,34,300,0,59.54631,259.3155,-40.28201
28078,2023-01-20 10:51:15.422217,195569961,1,35,300,0,60.22106,261.5732,-40.52304
28177,2023-01-20 10:51:15.757204,195904972,1,36,300,0,60.73598,263.823,-40.7897
28278,2023-01-20 10:51:16.089655,196237480,1,37,300,0,61.07613,266.0264,-41.04418
28404,2023-01-20 10:51:16.420202,196569943,1,38,300,0,61.4425,268.2263,-41.27122
28503,2023-01-20 10:51:16.737351,196904983,1,39,300,0,61.88644,270.4678,-41.50093
28603,2023-01-20 10:51:17.069707,197237499,1,40,300,0,62.39256,272.6804,-41.75999
28730,2023-01-20 10:51:17.402343,197569993,1,41,300,0,62.98917,274.9279,-42.02853
28829,2023-01-20 10:51:17.737219,197904965,1,42,300,0,63.60439,277.1793,-42.29184
28929,2023-01-20 10:51:18.069772,198237488,1,43,300,0,64.30197,279.4483,-42.54181
29056,2023-01-20 10:51:18.402263,198569994,1,44,300,0,64.98598,281.7294,-42.7781
29155,2023-01-20 10:51:18.737224,198905027,1,45,300,0,65.65585,283.9996,-42.98889
29258,2023-01-20 10:51:19.069681,199237500,1,46,300,0,66.28165,286.2558,-43.17492
29385,2023-01-20 10:51:19.402132,199569976,1,47,300,0,66.86838,288.5439,-43.36455
29484,2023-01-20 10:51:19.737227,199904972,1,48,300,0,67.31454,290.8231,-43.57752
29584,2023-01-20 10:51:20.069632,200237494,1,49,300,0,67.87294,293.085,-43.77153
29711,2023-01-20 10:51:20.402215,200569993,1,50,300,0,68.45138,295.3516,-43.98491
29810,2023-01-20 10:51:20.737261,200905026,1,51,300,0,69.05402,297.6525,-44.20964
29910,2023-01-20 10:51:21.069669,201237507,1,52,300,0,69.6309,299.9142,-44.42585
30037,2023-01-20 10:51:21.402265,201570010,1,53,300,0,70.21897,302.1419,-44.61948
30134,2023-01-20 10:51:21.736565,201904275,1,54,300,0,70.86558,304.3496,-44.82873
30225,2023-01-20 10:51:22.067202,202234881,1,55,300,0,71.42977,306.5186,-45.05233
30320,2023-01-20 10:51:22.400055,202567699,1,56,300,0,71.85028,308.5484,-45.27181
30520,2023-01-20 10:51:23.065038,203232748,1,57,300,0,72.28206,312.2075,-45.69815
30724,2023-01-20 10:51:23.729723,203897367,1,58,300,0,72.10444,315.3411,-46.0744
30915,2023-01-20 10:51:24.394825,204562603,1,59,300,0,71.74635,318.0859,-46.20686
30945,2023-01-20 10:51:24.400796,204568575,1,59,300,2,45.25637,205.3456,-34.57764
30946,2023-01-20 10:51:24.400809,204568588,1,59,300,2,45.82704,207.5492,-34.83176
30947,2023-01-20 10:51:24.400823,204568602,1,59,300,2,46.41806,209.7819,-35.13986
30948,2023-01-20 10:51:24.400836,204568615,1,59,300,2,46.96197,211.9485,-35.46345
30949,2023-01-20 10:51:24.400849,204568628,1,59,300,2,47.49321,214.1308,-35.7501
30950,2023-01-20 10:51:24.400862,204568641,1,59,300,2,48.07868,216.3902,-35.99264
30951,2023-01-20 10:51:24.400876,204568655,1,59,300,2,48.74369,218.683,-36.23431
30952,2023-01-20 10:51:24.400889,204568668,1,59,300,2,49.39808,220.9804,-36.48645
30953,2023-01-20 10:51:24.400902,204568681,1,59,300,2,50.01459,223.2845,-36.72992
30954,2023-01-20 10:51:24.400916,204568695,1,59,300,2,50.56972,225.558,-36.93721
30955,2023-01-20 10:51:24.400929,204568708,1,59,300,2,51.12044,227.8454,-37.11044
30956,2023-01-20 10:51:24.400946,204568725,1,59,300,2,51.68523,230.1441,-37.28608
30957,2023-01-20 10:51:24.400959,204568738,1,59,300,2,52.25215,232.4045,-37.46584
30958,2023-01-20 10:51:24.400973,204568752,1,59,300,2,52.82442,234.6454,-37.66914
30959,2023-01-20 10:51:24.401042,204568821,1,59,300,2,53.43356,236.9044,-37.89452
30960,2023-01-20 10:51:24.401056,204568835,1,59,300,2,54.07021,239.1115,-38.15224
30961,2023-01-20 10:51:24.401069,204568848,1,59,300,2,54.69759,241.3316,-38.45037
30962,2023-01-20 10:51:24.401082,204568861,1,59,300,2,55.31594,243.58,-38.73575
30963,2023-01-20 10:51:24.401096,204568875,1,59,300,2,55.93275,245.8104,-38.99453
30964,2023-01-20 10:51:24.401109,204568888,1,59,300,2,56.5243,248.0374,-39.2193
30965,2023-01-20 10:51:24.401122,204568901,1,59,300,2,57.1002,250.2943,-39.41901
30966,2023-01-20 10:51:24.401136,204568915,1,59,300,2,57.67354,252.5199,-39.60804
30967,2023-01-20 10:51:24.401149,204568928,1,59,300,2,58.30568,254.7858,-39.81562
