LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
10292,2023-01-20 10:50:21.314637,141362439,0,0,4,4,6,0,0,0,0
10325,2023-01-20 10:50:21.414631,141462449,0,0,4,4,6,0,0,0,0
10355,2023-01-20 10:50:21.514659,141562441,0,0,4,4,6,0,0,0,0
10391,2023-01-20 10:50:21.614678,141662438,0,0,4,4,6,0,0,0,0
10423,2023-01-20 10:50:21.714661,141762483,0,0,4,4,6,0,0,0,0
10457,2023-01-20 10:50:21.814589,141862465,0,0,4,4,6,0,0,0,0
10487,2023-01-20 10:50:21.914561,141962450,0,0,4,4,6,0,0,0,0
10520,2023-01-20 10:50:22.014568,142062462,0,0,4,4,6,0,0,0,0
10550,2023-01-20 10:50:22.114618,142162461,0,0,4,4,6,0,0,0,0
10585,2023-01-20 10:50:22.214633,142262438,0,0,4,4,6,0,0,0,0
10614,2023-01-20 10:50:22.314610,142362450,0,0,4,4,6,0,0,0,0
10647,2023-01-20 10:50:22.414630,142462493,0,0,4,4,6,0,0,0,0
10677,2023-01-20 10:50:22.514639,142562456,0,0,4,4,6,0,0,0,0
10713,2023-01-20 10:50:22.614685,142662465,0,0,4,4,6,0,0,0,0
10745,2023-01-20 10:50:22.714658,142762455,0,0,4,4,6,0,0,0,0
10778,2023-01-20 10:50:22.814657,142862473,0,0,4,4,6,0,0,0,0
10809,2023-01-20 10:50:22.914616,142962463,0,0,4,4,6,0,0,0,0
10842,2023-01-20 10:50:23.014624,143062491,0,0,4,4,6,0,0,0,0
10872,2023-01-20 10:50:23.114620,143162436,0,0,4,4,6,0,0,0,0
10909,2023-01-20 10:50:23.214677,143262453,0,0,4,4,6,0,0,0,0
10939,2023-01-20 10:50:23.314654,143362459,0,0,4,4,6,0,0,0,0
10972,2023-01-20 10:50:23.414641,143462469,0,0,4,4,6,0,0,0,0
11002,2023-01-20 10:50:23.514643,143562456,0,0,4,4,6,0,0,0,0
11038,2023-01-20 10:50:23.614661,143662464,0,0,4,4,6,0,0,0,0
11070,2023-01-20 10:50:23.714684,143762501,0,0,4,4,6,0,0,0,0
11103,2023-01-20 10:50:23.814647,143862479,0,0,4,4,6,0,0,0,0
11137,2023-01-20 10:50:23.914593,143962441,0,0,4,4,6,0,0,0,0
11170,2023-01-20 10:50:24.014588,144062441,0,0,4,4,6,0,0,0,0
