LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
82857,2023-01-20 11:12:52.262235,407036591,2,30234,502,0,6,0,0
83185,2023-01-20 11:12:53.264718,408039086,2,30318,503,0,6,0,0
83511,2023-01-20 11:12:54.267181,409041545,2,30401,504,0,6,0,0
83838,2023-01-20 11:12:55.272171,410046542,2,30485,505,0,6,0,0
84166,2023-01-20 11:12:56.274743,411049087,2,30569,506,0,6,0,0
84493,2023-01-20 11:12:57.257079,412051549,2,30653,507,0,6,0,0
84820,2023-01-20 11:12:58.259595,413054088,2,30736,508,0,6,0,0
85147,2023-01-20 11:12:59.262195,414056800,2,30819,509,0,6,0,0
85475,2023-01-20 11:13:00.264863,415059462,2,30903,510,0,6,0,0
85803,2023-01-20 11:13:01.266967,416061617,2,30986,511,0,6,0,0
86130,2023-01-20 11:13:02.269456,417064061,2,31070,512,0,6,0,0
86456,2023-01-20 11:13:03.271931,418066577,2,31153,513,0,6,0,0
86784,2023-01-20 11:13:04.274777,419069365,2,31237,514,0,6,0,0
87110,2023-01-20 11:13:05.276963,420071579,2,31320,515,0,6,0,0
87438,2023-01-20 11:13:06.279505,421074101,2,31405,516,0,6,0,0
87813,2023-01-20 11:13:07.262397,422076580,2,31488,517,0,6,0,0
88140,2023-01-20 11:13:08.264825,423079043,2,31572,518,0,6,0,0
88467,2023-01-20 11:13:09.267445,424081817,2,31655,519,0,6,0,0
88795,2023-01-20 11:13:10.269637,425084004,2,31739,520,0,6,0,0
89123,2023-01-20 11:13:11.272206,426086565,2,31822,521,0,6,0,0
89450,2023-01-20 11:13:12.274665,427089044,2,31906,522,0,6,0,0
89776,2023-01-20 11:13:13.277208,428091566,2,31989,523,0,6,0,0
90109,2023-01-20 11:13:14.280251,429094630,2,32073,524,0,6,0,0
90440,2023-01-20 11:13:15.282317,430096683,2,32158,525,0,6,0,0
90790,2023-01-20 11:13:16.277075,431099041,2,32242,526,0,6,0,0
91117,2023-01-20 11:13:17.267286,432101536,2,32326,527,0,6,0,0
91443,2023-01-20 11:13:18.269662,433104055,2,32409,528,0,6,0,0
91772,2023-01-20 11:13:19.272466,434106828,2,32493,529,0,6,0,0
92098,2023-01-20 11:13:20.274655,435109048,2,32576,530,0,6,0,0
92426,2023-01-20 11:13:21.277184,436111559,2,32660,531,0,6,0,0
92752,2023-01-20 11:13:22.279707,437114095,2,32743,532,0,6,0,0
93079,2023-01-20 11:13:23.282185,438116557,2,32827,533,0,6,0,0
93455,2023-01-20 11:13:24.284961,439119342,2,32910,534,0,6,0,0
93782,2023-01-20 11:13:25.287179,440121546,2,32998,535,0,6,0,0
94110,2023-01-20 11:13:26.289639,441124040,2,33081,536,0,6,0,0
94437,2023-01-20 11:13:27.272436,442126633,2,33165,537,0,6,0,0
94763,2023-01-20 11:13:28.274691,443129060,2,33248,538,0,6,0,0
95091,2023-01-20 11:13:29.277665,444132034,2,33331,539,0,6,0,0
95418,2023-01-20 11:13:30.279707,445134079,2,33415,540,0,6,0,0
