LineNo,UTC_Approx,TimeUS,Id,Value
125377,2023-01-20 11:15:01.060088,536094465,7,4203896
125703,2023-01-20 11:15:02.060097,537094461,7,4203896
126030,2023-01-20 11:15:03.040295,538094457,7,4203896
126356,2023-01-20 11:15:04.040110,539094463,7,4203896
126682,2023-01-20 11:15:05.040132,540094462,7,4203896
127012,2023-01-20 11:15:06.040096,541094458,7,4203896
127338,2023-01-20 11:15:07.040070,542094437,7,4203896
127665,2023-01-20 11:15:08.040082,543094457,7,4203896
127990,2023-01-20 11:15:09.040087,544094464,7,4203896
128318,2023-01-20 11:15:10.040113,545094469,7,4203896
128647,2023-01-20 11:15:11.040083,546094464,7,4203896
128974,2023-01-20 11:15:12.020367,547094498,7,4203896
129300,2023-01-20 11:15:13.036456,548094461,7,4203896
129627,2023-01-20 11:15:14.020136,549094501,7,4203896
130002,2023-01-20 11:15:15.020082,550094454,7,4203896
130332,2023-01-20 11:15:16.020095,551094459,7,4203896
130658,2023-01-20 11:15:17.020096,552094465,7,4203896
130984,2023-01-20 11:15:18.020111,553094459,7,4203896
131313,2023-01-20 11:15:19.020086,554094457,7,4203896
131639,2023-01-20 11:15:20.020091,555094472,7,4203896
131969,2023-01-20 11:15:21.020087,556094465,7,4203896
132295,2023-01-20 11:15:22.000127,557094565,7,4203896
132622,2023-01-20 11:15:23.000131,558094738,7,4203896
132947,2023-01-20 11:15:24.000131,559094734,7,4203896
133271,2023-01-20 11:15:25.000131,560094763,7,4203896
133602,2023-01-20 11:15:26.000130,561094743,7,4203896
133926,2023-01-20 11:15:27.000131,562094823,7,4203896
134249,2023-01-20 11:15:28.000127,563094733,7,4203896
134573,2023-01-20 11:15:29.000139,564094793,7,4203896
134898,2023-01-20 11:15:29.982286,565094717,7,4203896
135226,2023-01-20 11:15:30.980427,566094640,7,4203896
135550,2023-01-20 11:15:31.980222,567094586,7,4203896
135876,2023-01-20 11:15:32.980084,568094516,7,4203896
136200,2023-01-20 11:15:33.980081,569094467,7,4203896
136526,2023-01-20 11:15:34.980078,570094465,7,4203896
136855,2023-01-20 11:15:35.980391,571094774,7,4203896
137180,2023-01-20 11:15:36.980056,572094432,7,4203896
137504,2023-01-20 11:15:37.980078,573094460,7,4203896
137828,2023-01-20 11:15:38.980057,574094437,7,4203896
138157,2023-01-20 11:15:39.963886,575094431,7,4203896
138483,2023-01-20 11:15:40.960142,576094438,7,4203896
138808,2023-01-20 11:15:41.960137,577094510,7,4203896
139180,2023-01-20 11:15:42.960102,578094448,7,4203896
139506,2023-01-20 11:15:43.960132,579094504,7,4203896
139832,2023-01-20 11:15:44.960079,580094465,7,4203896
140161,2023-01-20 11:15:45.960076,581094446,7,4203896
