LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
228278,2023-01-20 11:20:12.801488,848496110,0,0.9529321,0.04360086,-0.1409358,0.2648708
228308,2023-01-20 11:20:12.901474,848596080,0,0.9524074,0.04443166,-0.1430116,0.2655064
228341,2023-01-20 11:20:13.001518,848696109,0,0.9526736,0.04442288,-0.1401986,0.2660529
228374,2023-01-20 11:20:13.101471,848796074,0,0.953229,0.04552445,-0.1351818,0.2664734
228407,2023-01-20 11:20:13.201504,848896118,0,0.9528462,0.04801891,-0.1361442,0.2669141
228437,2023-01-20 11:20:13.301466,848996077,0,0.9529991,0.0423542,-0.13895,0.2658798
228473,2023-01-20 11:20:13.401482,849096091,0,0.9534263,0.04240617,-0.1383031,0.2646739
228505,2023-01-20 11:20:13.501432,849196080,0,0.9539542,0.04194242,-0.1380134,0.262992
228540,2023-01-20 11:20:13.601428,849296113,0,0.95417,0.04240348,-0.1376587,0.2623198
228570,2023-01-20 11:20:13.701406,849396070,0,0.9545369,0.04049456,-0.1381416,0.2610295
228653,2023-01-20 11:20:13.801478,849496122,0,0.9550188,0.03872306,-0.1379433,0.2596368
228683,2023-01-20 11:20:13.901428,849596077,0,0.9552264,0.0362657,-0.138811,0.2587639
228716,2023-01-20 11:20:14.001451,849696106,0,0.9554937,0.03342257,-0.1375345,0.2588414
228749,2023-01-20 11:20:14.101469,849796094,0,0.9553481,0.03140287,-0.1369021,0.2599652
228782,2023-01-20 11:20:14.201509,849896105,0,0.9549387,0.02998528,-0.1376966,0.2612138
228812,2023-01-20 11:20:14.301476,849996074,0,0.9541915,0.02982053,-0.1404699,0.2624834
228848,2023-01-20 11:20:14.401499,850096101,0,0.9535348,0.02790052,-0.143563,0.2634058
228880,2023-01-20 11:20:14.501416,850196071,0,0.9536024,0.02675801,-0.1414535,0.2644191
228916,2023-01-20 11:20:14.601390,850296097,0,0.9538629,0.02567417,-0.1369642,0.2659458
228946,2023-01-20 11:20:14.701427,850396093,0,0.954006,0.02219729,-0.1345977,0.266952
228980,2023-01-20 11:20:14.801478,850496104,0,0.9539881,0.02152122,-0.132449,0.2681434
229010,2023-01-20 11:20:14.901462,850596071,0,0.9535809,0.02146016,-0.1326369,0.2695003
229043,2023-01-20 11:20:15.001523,850696116,0,0.953195,0.02408378,-0.1317232,0.2710871
229076,2023-01-20 11:20:15.101472,850796070,0,0.9529461,0.025414,-0.1328174,0.2713066
229109,2023-01-20 11:20:15.201514,850896117,0,0.9531859,0.02517834,-0.1334513,0.2701733
229139,2023-01-20 11:20:15.301490,850996096,0,0.9533859,0.02377391,-0.1342749,0.2691848
229175,2023-01-20 11:20:15.401476,851096086,0,0.9530542,0.02408997,-0.13851,0.2681832
229209,2023-01-20 11:20:15.501445,851196085,0,0.9529185,0.02484756,-0.1408104,0.2673974
229244,2023-01-20 11:20:15.601457,851296126,0,0.9534829,0.02512897,-0.1360338,0.2678317
229274,2023-01-20 11:20:15.701429,851396071,0,0.9539455,0.02638366,-0.1336132,0.2672815
229308,2023-01-20 11:20:15.801513,851496129,0,0.9545987,0.02389726,-0.1301158,0.2669087
229338,2023-01-20 11:20:15.901467,851596074,0,0.9549751,0.02405717,-0.1283172,0.266418
229372,2023-01-20 11:20:16.001507,851696106,0,0.956106,0.02237332,-0.1231783,0.2649302
229405,2023-01-20 11:20:16.101471,851796071,0,0.9578529,0.01985067,-0.1170574,0.2615749
229438,2023-01-20 11:20:16.201531,851896131,0,0.9588954,0.02563756,-0.1144941,0.2583668
229468,2023-01-20 11:20:16.301470,851996071,0,0.9598762,0.02828947,-0.1140917,0.2545986
229504,2023-01-20 11:20:16.401479,852096082,0,0.9609788,0.0309549,-0.1117381,0.2511496
229536,2023-01-20 11:20:16.501408,852196073,0,0.9619998,0.03127592,-0.108268,0.2487093
229571,2023-01-20 11:20:16.601375,852296100,0,0.9621483,0.03430075,-0.1096889,0.2471081
229602,2023-01-20 11:20:16.701414,852396067,0,0.9622282,0.03067509,-0.1113885,0.2465128
229636,2023-01-20 11:20:16.801533,852496114,0,0.9627663,0.0265521,-0.1056155,0.2474294
229666,2023-01-20 11:20:16.901486,852596071,0,0.9630361,0.02313627,-0.09891917,0.2494821
229699,2023-01-20 11:20:17.001520,852696109,0,0.9635441,0.02287711,-0.08690929,0.2520049
229732,2023-01-20 11:20:17.101473,852796078,0,0.9636532,0.02172782,-0.08283341,0.2530596
229765,2023-01-20 11:20:17.201485,852896105,0,0.9633617,0.01973018,-0.08709217,0.2529034
229795,2023-01-20 11:20:17.301467,852996071,0,0.9631735,0.01908485,-0.09066322,0.2524141
229831,2023-01-20 11:20:17.401365,853096087,0,0.9629772,0.02042481,-0.09514979,0.2514046
229863,2023-01-20 11:20:17.492435,853196073,0,0.9630111,0.02066613,-0.09262756,0.2521958
229896,2023-01-20 11:20:17.583543,853296099,0,0.962869,0.02024913,-0.09077568,0.2534424
229928,2023-01-20 11:20:17.681908,853396068,0,0.9625375,0.02074888,-0.09308883,0.2538219
229960,2023-01-20 11:20:17.781945,853496097,0,0.9623775,0.02005078,-0.09404467,0.254132
229992,2023-01-20 11:20:17.881845,853596071,0,0.962173,0.01879239,-0.09564471,0.2544055
230023,2023-01-20 11:20:17.981783,853696103,0,0.9618117,0.01937319,-0.0970472,0.2551959
230058,2023-01-20 11:20:18.081795,853796078,0,0.9611196,0.02257964,-0.1004431,0.2562239
230089,2023-01-20 11:20:18.181887,853896103,0,0.96103,0.0238727,-0.09866236,0.2571326
230121,2023-01-20 11:20:18.281814,853996071,0,0.9606178,0.02707313,-0.09622577,0.2592704
230156,2023-01-20 11:20:18.381794,854096116,0,0.95943,0.03133296,-0.1031395,0.2605274
