LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
6429,2023-01-20 11:09:00.502639,174797239,0.01665314,0.020384,0.01577066,0.02284547,0.03475639
6462,2023-01-20 11:09:00.602671,174897323,0.01492992,0.02392148,0.01700594,0.02559077,0.04068974
6492,2023-01-20 11:09:00.702701,174997321,0.01660625,0.02320316,0.01522554,0.02599248,0.04734328
6528,2023-01-20 11:09:00.802730,175097319,0.01570714,0.02303163,0.01376556,0.02501812,0.05423393
6560,2023-01-20 11:09:00.902797,175197410,0.01650909,0.02586152,0.01595612,0.02367248,0.05886014
6593,2023-01-20 11:09:01.002690,175297324,0.01982202,0.0278234,0.0162458,0.02369188,0.06373115
6623,2023-01-20 11:09:01.102764,175397322,0.02187433,0.02509066,0.01678587,0.02481524,0.0697924
6658,2023-01-20 11:09:01.203092,175497579,0.02229209,0.02215954,0.01556236,0.02146997,0.07598864
6688,2023-01-20 11:09:01.302701,175597256,0.02447428,0.0191804,0.01459185,0.0191364,0.07905477
6723,2023-01-20 11:09:01.402726,175697348,0.02362478,0.01627681,0.01444644,0.01842434,0.07799634
6753,2023-01-20 11:09:01.502594,175797243,0.02505657,0.01460532,0.01284656,0.02067729,0.0734237
6786,2023-01-20 11:09:01.602675,175897350,0.0220205,0.01381908,0.01227512,0.0218205,0.06705024
6817,2023-01-20 11:09:01.702661,175997330,0.02142235,0.0128204,0.01409908,0.02352944,0.05978244
6852,2023-01-20 11:09:01.802590,176097254,0.020479,0.0172956,0.0139214,0.02428806,0.05299439
6884,2023-01-20 11:09:01.902694,176197354,0.02302843,0.02183913,0.01587693,0.03050564,0.04628321
6917,2023-01-20 11:09:02.002663,176297319,0.02197263,0.02706617,0.01541277,0.03366484,0.0393764
6947,2023-01-20 11:09:02.102688,176397332,0.01960788,0.02699463,0.01514333,0.03287214,0.03317062
6982,2023-01-20 11:09:02.202977,176497609,0.01763436,0.02582892,0.01447714,0.02958646,0.02892026
7012,2023-01-20 11:09:02.302680,176597308,0.01633635,0.0242254,0.0145836,0.02990016,0.02552621
7047,2023-01-20 11:09:02.402726,176697352,0.01625388,0.02661448,0.01291567,0.02740076,0.02180461
7077,2023-01-20 11:09:02.502578,176797253,0.01596187,0.02886757,0.0121605,0.02584275,0.01796246
7110,2023-01-20 11:09:02.602531,176897253,0.01470631,0.02626529,0.01374207,0.02323597,0.0147028
7140,2023-01-20 11:09:02.702639,176997316,0.01662157,0.0271351,0.01400913,0.02209807,0.0123575
7175,2023-01-20 11:09:02.802696,177097329,0.01623752,0.03140477,0.01343361,0.0236636,0.01165752
7207,2023-01-20 11:09:02.902781,177197419,0.01508222,0.02837904,0.01827276,0.02923711,0.01333086
7240,2023-01-20 11:09:03.002694,177297336,0.01459926,0.02620605,0.01858682,0.02699569,0.01433816
7270,2023-01-20 11:09:03.102663,177397317,0.01482507,0.02421541,0.01797345,0.02775884,0.01244098
7305,2023-01-20 11:09:03.202796,177497461,0.0193461,0.02621842,0.01627363,0.02566306,0.01115819
7335,2023-01-20 11:09:03.302584,177597254,0.0185675,0.02401689,0.0176392,0.02498204,0.01423786
7370,2023-01-20 11:09:03.402666,177697340,0.01814225,0.02211055,0.01750711,0.02411167,0.02100074
7400,2023-01-20 11:09:03.502653,177797326,0.01518811,0.01981524,0.01555748,0.02139878,0.0322484
7433,2023-01-20 11:09:03.602575,177897247,0.015811,0.01889293,0.0148487,0.01952713,0.04214315
7464,2023-01-20 11:09:03.702654,177997313,0.0152445,0.01857073,0.01557616,0.01984861,0.04835311
7499,2023-01-20 11:09:03.802607,178097254,0.02422856,0.0172147,0.01544273,0.02141859,0.05490897
7531,2023-01-20 11:09:03.902690,178197350,0.02977974,0.01789124,0.01768673,0.0205246,0.06050365
7564,2023-01-20 11:09:04.002649,178297321,0.03391884,0.01961208,0.01831301,0.02141705,0.06441244
7595,2023-01-20 11:09:04.102625,178397306,0.03366403,0.01936964,0.019139,0.02537736,0.06649359
7630,2023-01-20 11:09:04.202792,178497480,0.02798492,0.02066275,0.01717735,0.02684356,0.06470893
