LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
58139,2023-01-20 11:11:37.381663,331996079,0,0,0,0,0,55.41,0.19,0,0,0.5,0.0002249742,0.007308207,0.03437251
58173,2023-01-20 11:11:37.481658,332096078,0,0,0,0,0,55.41,0.19,0,0,0.5,0.0002650287,0.01057911,0.03698978
58204,2023-01-20 11:11:37.581670,332196088,0,0,0,0,0,55.42,0.19,0,0,0.5,0.0001154062,0.01138249,0.02919808
58240,2023-01-20 11:11:37.681675,332296071,0,0,0,0,0,55.42,0.19,0,0,0.5,0.0002332003,0.008352813,0.02505599
58270,2023-01-20 11:11:37.781703,332396072,0,0,0,0,0,55.43,0.19,0,0,0.5,0.0002797027,0.01141503,0.03041909
58303,2023-01-20 11:11:37.881717,332496081,0,0,0,0,0,55.42,0.19,0,0,0.5,0.0003061597,0.01699847,0.03989652
58334,2023-01-20 11:11:37.981714,332596078,0,0,0,0,0,55.44,0.19,0,0,0.5,0.0002024572,0.01916903,0.04985097
58367,2023-01-20 11:11:38.081707,332696077,0,0,0,0,0,55.44,0.19,0,0,0.5,0.0003369661,0.02286519,0.05278821
58399,2023-01-20 11:11:38.181706,332796083,0,0,0,0,0,55.45,0.19,0,0,0.5,0.0001816335,0.02277556,0.05936477
58434,2023-01-20 11:11:38.281688,332896068,0,0,0,0,0,55.45,0.19,0,0,0.5,0.000232483,0.0181648,0.04534614
58465,2023-01-20 11:11:38.381690,332996072,0,0,0,0,0,55.47,0.19,0,0,0.5,8.221378E-05,0.01885747,0.05210337
58500,2023-01-20 11:11:38.481689,333096096,0,0,0,0,0,55.47,0.19,0,0,0.5,0.0003554449,0.01075133,0.02859234
58530,2023-01-20 11:11:38.581644,333196080,0,0,0,0,0,55.48,0.19,0,0,0.5,0.0001838032,0.01267261,0.03764138
58566,2023-01-20 11:11:38.681665,333296078,0,0,0,0,0,55.49,0.19,0,0,0.5,0.0004419488,0.01181411,0.03017666
58596,2023-01-20 11:11:38.781702,333396081,0,0,0,0,0,55.5,0.19,0,0,0.5,0.0004321447,0.01103845,0.03451234
58629,2023-01-20 11:11:38.881699,333496072,0,0,0,0,0,55.51,0.19,0,0,0.5,0.0005151483,0.01306723,0.03208255
58660,2023-01-20 11:11:38.981695,333596068,0,0,0,0,0,55.51,0.19,0,0,0.5,0.000241589,0.008554381,0.02628755
58693,2023-01-20 11:11:39.081714,333696088,0,0,0,0,0,55.52,0.19,0,0,0.5,0.0002319882,0.004984247,0.01391055
58725,2023-01-20 11:11:39.181698,333796074,0,0,0,0,0,55.52,0.19,0,0,0.5,0.0001305607,0.007566067,0.02184067
58760,2023-01-20 11:11:39.281668,333896068,0,0,0,0,0,55.52,0.19,0,0,0.5,0.0005201008,0.01410247,0.03199006
58791,2023-01-20 11:11:39.381650,333996080,0,0,0,0,0,55.53,0.19,0,0,0.5,0.0002725185,0.01570056,0.03976115
58827,2023-01-20 11:11:39.481662,334096090,0,0,0,0,0,55.53,0.19,0,0,0.5,0.0003719138,0.02352987,0.05236833
58857,2023-01-20 11:11:39.581647,334196068,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0002421857,0.02243731,0.0554294
58893,2023-01-20 11:11:39.681692,334296097,0,0,0,0,0,55.54,0.19,0,0,0.5,0.000159081,0.02028418,0.0466169
58924,2023-01-20 11:11:39.781695,334396083,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0001309065,0.01932349,0.04957187
58957,2023-01-20 11:11:39.881669,334496068,0,0,0,0,0,55.53,0.19,0,0,0.5,0.0002221849,0.01507726,0.03554889
58988,2023-01-20 11:11:39.981651,334596068,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0001184073,0.01464066,0.03959447
59021,2023-01-20 11:11:40.081680,334696075,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0002483515,0.00765401,0.01889444
59053,2023-01-20 11:11:40.181710,334796074,0,0,0,0,0,55.55,0.19,0,0,0.5,0.0002807758,0.009234587,0.02718776
59088,2023-01-20 11:11:40.274368,334896071,0,0,0,0,0,55.54,0.19,0,0,0.5,5.976426E-05,0.01099591,0.02570761
59119,2023-01-20 11:11:40.365380,334996072,0,0,0,0,0,55.55,0.19,0,0,0.5,0.0001089972,0.01174795,0.03214761
59154,2023-01-20 11:11:40.461946,335096083,0,0,0,0,0,55.54,0.19,0,0,0.5,0.0002375035,0.0161237,0.042403
