LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
9215,2023-01-20 11:09:09.093413,183397207,0,11.66768,6.546841,7.374376,0
9248,2023-01-20 11:09:09.184619,183497330,0,14.53388,7.869394,7.337653,0
9281,2023-01-20 11:09:09.283025,183597251,0,12.56188,9.721555,7.814734,0
9314,2023-01-20 11:09:09.383107,183697346,0,10.87027,9.223208,7.635642,0
9346,2023-01-20 11:09:09.483075,183797312,0,10.61833,9.75874,8.24392,0
9377,2023-01-20 11:09:09.583014,183897247,0,11.05851,9.04309,8.916647,0
9410,2023-01-20 11:09:09.683016,183997232,0,12.96896,8.444061,9.079946,0
9444,2023-01-20 11:09:09.783052,184097248,0,11.52462,7.914225,8.614616,0
9478,2023-01-20 11:09:09.883126,184197338,0,11.90288,8.690862,9.013272,0
9509,2023-01-20 11:09:09.983089,184297325,0,11.16,7.65797,8.61303,0
9541,2023-01-20 11:09:10.083090,184397334,0,10.14393,8.416252,7.858799,0
9573,2023-01-20 11:09:10.183068,184497316,0,9.612988,11.05725,8.35721,0
9606,2023-01-20 11:09:10.283000,184597249,0,11.17443,10.49683,8.723869,0
9639,2023-01-20 11:09:10.383106,184697356,0,11.8397,7.671981,8.944647,0
9671,2023-01-20 11:09:10.482988,184797330,0,12.52728,7.388728,8.226224,0
9704,2023-01-20 11:09:10.583003,184897456,0,11.93041,9.194474,9.020268,0
9736,2023-01-20 11:09:10.682820,184997237,0,11.15788,10.19472,9.151003,0
9769,2023-01-20 11:09:10.783061,185097411,0,11.22662,9.619976,9.19486,0
9803,2023-01-20 11:09:10.883035,185197393,0,10.37641,9.12348,8.178019,0
9834,2023-01-20 11:09:10.983045,185297425,0,9.894638,9.418957,7.893313,0
9867,2023-01-20 11:09:11.082861,185397251,0,10.50286,9.596455,8.31809,0
9899,2023-01-20 11:09:11.183044,185497442,0,10.52593,9.12687,8.025106,0
9932,2023-01-20 11:09:11.282834,185597244,0,13.05037,6.731582,8.41044,0
9965,2023-01-20 11:09:11.383055,185697480,0,12.32348,6.566393,8.207462,0
9996,2023-01-20 11:09:11.482810,185797234,0,11.87344,8.42393,9.722409,0
10027,2023-01-20 11:09:11.582997,185897417,0,10.85156,8.929255,7.909046,0
10059,2023-01-20 11:09:11.682924,185997326,0,11.46792,6.808332,7.807114,0
10092,2023-01-20 11:09:11.783019,186097401,0,12.98799,6.322631,8.465995,0
10126,2023-01-20 11:09:11.882957,186197341,0,11.59278,7.718527,8.224788,0
10157,2023-01-20 11:09:11.983018,186297407,0,11.6842,9.651019,8.903732,0
10189,2023-01-20 11:09:12.082821,186397236,0,12.13112,8.462494,7.946027,0
10221,2023-01-20 11:09:12.183039,186497484,0,10.65281,10.60644,8.341457,0
10254,2023-01-20 11:09:12.282804,186597227,0,9.884097,9.533673,8.069279,0
10288,2023-01-20 11:09:12.383075,186697465,0,10.1691,10.05391,9.001143,0
10320,2023-01-20 11:09:12.482955,186797359,0,9.833187,9.108217,7.707441,0
10351,2023-01-20 11:09:12.582976,186897403,0,9.732937,10.01886,7.908512,0
10383,2023-01-20 11:09:12.682837,186997243,0,10.02689,8.894671,7.695697,0
10416,2023-01-20 11:09:12.783025,187097399,0,10.28678,9.967008,7.511768,0
