LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
10420,2023-01-20 11:09:12.810989,187125359,16,181,1360,720,SPI1
10453,2023-01-20 11:09:12.910995,187225371,255,255,1536,1264,ISR
10485,2023-01-20 11:09:13.012365,187326748,0,182,7168,5360,ArduCopter
10516,2023-01-20 11:09:13.113375,187427765,1,1,352,144,idle
10550,2023-01-20 11:09:13.213377,187527771,2,60,1104,768,UART_RX
10581,2023-01-20 11:09:13.313408,187627790,3,60,656,400,OTG1
10615,2023-01-20 11:09:13.414844,187729220,4,183,1360,1016,monitor
10646,2023-01-20 11:09:13.514915,187829320,5,181,1872,1488,timer
10678,2023-01-20 11:09:13.614821,187929248,6,181,848,616,rcout
10709,2023-01-20 11:09:13.715941,188030343,7,177,1360,736,rcin
10743,2023-01-20 11:09:13.817829,188132210,8,58,2384,1432,io
10776,2023-01-20 11:09:13.917873,188232250,9,59,1360,792,storage
10808,2023-01-20 11:09:14.017857,188332232,10,60,656,296,UART3
10839,2023-01-20 11:09:14.118968,188433353,11,60,656,264,UART4
10874,2023-01-20 11:09:14.219980,188534372,12,60,656,264,UART5
10905,2023-01-20 11:09:14.320010,188634393,13,176,1360,856,I2C0
10941,2023-01-20 11:09:14.421034,188735416,14,59,1616,896,OSD
10971,2023-01-20 11:09:14.522379,188836791,15,59,1912,416,log_io
11004,2023-01-20 11:09:14.622369,188936796,16,181,1360,720,SPI1
11034,2023-01-20 11:09:14.722376,189036773,255,255,1536,1264,ISR
11069,2023-01-20 11:09:14.823578,189137956,0,182,7168,5360,ArduCopter
11101,2023-01-20 11:09:14.924794,189239193,1,1,352,144,idle
11134,2023-01-20 11:09:15.024782,189339193,2,60,1104,768,UART_RX
11164,2023-01-20 11:09:15.125835,189440236,3,60,656,400,OTG1
11199,2023-01-20 11:09:15.225926,189540314,4,183,1360,1016,monitor
11232,2023-01-20 11:09:15.327403,189641772,5,181,1872,1488,timer
11267,2023-01-20 11:09:15.427693,189742062,6,181,848,616,rcout
11299,2023-01-20 11:09:15.528342,189842758,7,177,1360,736,rcin
11332,2023-01-20 11:09:15.632350,189946786,8,58,2384,1432,io
11362,2023-01-20 11:09:15.733396,190047787,9,59,1360,792,storage
11397,2023-01-20 11:09:15.833775,190148136,10,60,656,296,UART3
11429,2023-01-20 11:09:15.935089,190249450,11,60,656,264,UART4
11462,2023-01-20 11:09:16.035864,190350226,12,60,656,264,UART5
11492,2023-01-20 11:09:16.137356,190451722,13,176,1360,856,I2C0
11527,2023-01-20 11:09:16.237349,190551716,14,59,1616,896,OSD
11557,2023-01-20 11:09:16.337352,190651718,15,59,1912,416,log_io
11592,2023-01-20 11:09:16.437419,190751791,16,181,1360,720,SPI1
11622,2023-01-20 11:09:16.538419,190852808,255,255,1536,1264,ISR
11655,2023-01-20 11:09:16.639846,190954240,0,182,7168,5360,ArduCopter
11686,2023-01-20 11:09:16.740962,191055342,1,1,352,144,idle
11720,2023-01-20 11:09:16.842696,191157065,2,60,1104,768,UART_RX
11753,2023-01-20 11:09:16.942731,191257095,3,60,656,400,OTG1
11785,2023-01-20 11:09:17.043757,191358120,4,183,1360,1016,monitor
11816,2023-01-20 11:09:17.145271,191459637,5,181,1872,1488,timer
11850,2023-01-20 11:09:17.245270,191559635,6,181,848,616,rcout
11881,2023-01-20 11:09:17.346354,191660713,7,177,1360,736,rcin
11915,2023-01-20 11:09:17.447417,191761788,8,58,2384,1432,io
11946,2023-01-20 11:09:17.548375,191862780,9,59,1360,792,storage
11978,2023-01-20 11:09:17.649847,191964252,10,60,656,296,UART3
12009,2023-01-20 11:09:17.749834,192064206,11,60,656,264,UART4
12043,2023-01-20 11:09:17.849886,192164243,12,60,656,264,UART5
12076,2023-01-20 11:09:17.950989,192265350,13,176,1360,856,I2C0
12109,2023-01-20 11:09:18.052392,192366765,14,59,1616,896,OSD
12140,2023-01-20 11:09:18.153393,192467786,15,59,1912,416,log_io
12174,2023-01-20 11:09:18.250168,192569513,16,181,1360,720,SPI1
12205,2023-01-20 11:09:18.341246,192669566,255,255,1536,1264,ISR
12239,2023-01-20 11:09:18.435412,192769546,0,182,7168,5360,ArduCopter
12270,2023-01-20 11:09:18.536394,192870599,1,1,352,144,idle
12302,2023-01-20 11:09:18.637500,192971750,2,60,1104,768,UART_RX
12334,2023-01-20 11:09:18.737482,193071731,3,60,656,400,OTG1
12368,2023-01-20 11:09:18.837485,193171755,4,183,1360,1016,monitor
12401,2023-01-20 11:09:18.938464,193272790,5,181,1872,1488,timer
12434,2023-01-20 11:09:19.039877,193374228,6,181,848,616,rcout
12464,2023-01-20 11:09:19.139916,193474244,7,177,1360,736,rcin
12499,2023-01-20 11:09:19.253203,193587465,8,58,2384,1432,io
12530,2023-01-20 11:09:19.355015,193689178,9,59,1360,792,storage
12566,2023-01-20 11:09:19.454987,193789190,10,60,656,296,UART3
12596,2023-01-20 11:09:19.555871,193890229,11,60,656,264,UART4
12630,2023-01-20 11:09:19.657323,193991728,12,60,656,264,UART5
12660,2023-01-20 11:09:19.757342,194091713,13,176,1360,856,I2C0
12696,2023-01-20 11:09:19.857383,194191745,14,59,1616,896,OSD
12728,2023-01-20 11:09:19.958425,194292798,15,59,1912,416,log_io
12765,2023-01-20 11:09:20.060240,194394610,16,181,1360,720,SPI1
12796,2023-01-20 11:09:20.161328,194495686,255,255,1536,1264,ISR
12854,2023-01-20 11:09:20.263041,194597400,0,182,7168,5360,ArduCopter
12888,2023-01-20 11:09:20.363064,194697433,1,1,352,144,idle
12920,2023-01-20 11:09:20.470387,194804776,2,60,1104,768,UART_RX
12953,2023-01-20 11:09:20.563034,194897444,3,60,656,400,OTG1
12986,2023-01-20 11:09:20.663019,194997424,4,183,1360,1016,monitor
13019,2023-01-20 11:09:20.773124,195107505,5,181,1872,1488,timer
13053,2023-01-20 11:09:20.865121,195199498,6,181,848,616,rcout
13084,2023-01-20 11:09:20.966164,195300543,7,177,1360,736,rcin
13117,2023-01-20 11:09:21.071216,195405595,8,58,2384,1432,io
13149,2023-01-20 11:09:21.173736,195508112,9,59,1360,792,storage
13182,2023-01-20 11:09:21.274854,195609230,10,60,656,296,UART3
13216,2023-01-20 11:09:21.375870,195710246,11,60,656,264,UART4
13248,2023-01-20 11:09:21.476097,195810508,12,60,656,264,UART5
13279,2023-01-20 11:09:21.577237,195911695,13,176,1360,856,I2C0
13312,2023-01-20 11:09:21.677260,196011689,14,59,1616,896,OSD
13345,2023-01-20 11:09:21.778408,196112786,15,59,1912,416,log_io
13380,2023-01-20 11:09:21.879962,196214332,16,181,1360,720,SPI1
13411,2023-01-20 11:09:21.980011,196314384,255,255,1536,1264,ISR
13444,2023-01-20 11:09:22.080991,196415382,0,182,7168,5360,ArduCopter
13475,2023-01-20 11:09:22.182528,196516940,1,1,352,144,idle
13509,2023-01-20 11:09:22.283421,196617821,2,60,1104,768,UART_RX
13542,2023-01-20 11:09:22.385424,196719804,3,60,656,400,OTG1
13575,2023-01-20 11:09:22.486353,196820751,4,183,1360,1016,monitor
13605,2023-01-20 11:09:22.586384,196920807,5,181,1872,1488,timer
13639,2023-01-20 11:09:22.687343,197021748,6,181,848,616,rcout
13671,2023-01-20 11:09:22.787562,197121943,7,177,1360,736,rcin
13706,2023-01-20 11:09:22.888436,197222811,8,58,2384,1432,io
13737,2023-01-20 11:09:22.989870,197324242,9,59,1360,792,storage
13770,2023-01-20 11:09:23.089843,197424212,10,60,656,296,UART3
13801,2023-01-20 11:09:23.191040,197525406,11,60,656,264,UART4
13835,2023-01-20 11:09:23.292348,197626722,12,60,656,264,UART5
13868,2023-01-20 11:09:23.392348,197726731,13,176,1360,856,I2C0
13901,2023-01-20 11:09:23.493351,197827747,14,59,1616,896,OSD
13931,2023-01-20 11:09:23.593419,197927828,15,59,1912,416,log_io
13965,2023-01-20 11:09:23.694833,198029221,16,181,1360,720,SPI1
13997,2023-01-20 11:09:23.794867,198129232,255,255,1536,1264,ISR
14032,2023-01-20 11:09:23.894850,198229220,0,182,7168,5360,ArduCopter
14063,2023-01-20 11:09:23.995972,198330349,1,1,352,144,idle
14096,2023-01-20 11:09:24.097806,198432202,2,60,1104,768,UART_RX
14128,2023-01-20 11:09:24.198822,198533238,3,60,656,400,OTG1
14161,2023-01-20 11:09:24.299919,198634308,4,183,1360,1016,monitor
14197,2023-01-20 11:09:24.401266,198735629,5,181,1872,1488,timer
14228,2023-01-20 11:09:24.502343,198836736,6,181,848,616,rcout
14261,2023-01-20 11:09:24.602356,198936777,7,177,1360,736,rcin
14292,2023-01-20 11:09:24.703400,199037815,8,58,2384,1432,io
14327,2023-01-20 11:09:24.803792,199138201,9,59,1360,792,storage
14359,2023-01-20 11:09:24.904802,199239192,10,60,656,296,UART3
14393,2023-01-20 11:09:25.004861,199339233,11,60,656,264,UART4
14423,2023-01-20 11:09:25.105873,199440244,12,60,656,264,UART5
14458,2023-01-20 11:09:25.207339,199541709,13,176,1360,856,I2C0
14489,2023-01-20 11:09:25.308355,199642716,14,59,1616,896,OSD
14524,2023-01-20 11:09:25.408745,199743100,15,59,1912,416,log_io
14555,2023-01-20 11:09:25.512356,199846749,16,181,1360,720,SPI1
14589,2023-01-20 11:09:25.613322,199947744,255,255,1536,1264,ISR
14620,2023-01-20 11:09:25.713370,200047766,0,182,7168,5360,ArduCopter
14655,2023-01-20 11:09:25.813422,200147794,1,1,352,144,idle
14687,2023-01-20 11:09:25.913814,200248181,2,60,1104,768,UART_RX
14721,2023-01-20 11:09:26.014887,200349253,3,60,656,400,OTG1
14751,2023-01-20 11:09:26.115959,200450351,4,183,1360,1016,monitor
14786,2023-01-20 11:09:26.217371,200551781,5,181,1872,1488,timer
