LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
72298,2023-01-20 11:12:20.380467,375094724,2,39.8020208,32.3782486,100,739.779,54.90683,0,504,-3.475139
72626,2023-01-20 11:12:21.380562,376094762,2,39.8020793,32.3782908,100,739.9047,54.6844,0,504,-3.475139
72952,2023-01-20 11:12:22.380206,377094566,2,39.8021336,32.3783324,100,740.0073,54.42957,0,504,-3.475139
73280,2023-01-20 11:12:23.380189,378094551,2,39.8021863,32.3783742,100,740.0964,54.35961,0,504,-3.475139
73606,2023-01-20 11:12:24.380184,379094548,2,39.8022413,32.3784139,100,739.9959,54.53622,0,504,-3.475139
73933,2023-01-20 11:12:25.380195,380094556,2,39.8022944,32.3784533,100,739.8193,54.74052,0,504,-3.475139
74261,2023-01-20 11:12:26.380207,381094570,2,39.8023458,32.3784948,100,739.6253,54.98129,0,504,-3.475139
74588,2023-01-20 11:12:27.380221,382094590,2,39.8024002,32.3785345,100,739.4311,55.17785,0,504,-3.475139
74915,2023-01-20 11:12:28.360409,383094556,2,39.8024555,32.3785759,100,739.2199,55.30802,0,504,-3.475139
75242,2023-01-20 11:12:29.363853,384094588,2,39.8025103,32.3786176,100,738.999,55.43737,0,504,-3.475139
75569,2023-01-20 11:12:30.360153,385094535,2,39.802564,32.3786583,100,738.7748,55.67635,0,504,-3.475139
75898,2023-01-20 11:12:31.360179,386094550,2,39.8026195,32.3787004,100,738.5339,55.9354,0,504,-3.475139
76224,2023-01-20 11:12:32.360176,387094556,2,39.8026744,32.3787409,100,738.293,56.12815,0,504,-3.475139
76551,2023-01-20 11:12:33.360195,388094565,2,39.8027283,32.378783,100,738.0361,56.30305,0,504,-3.475139
76926,2023-01-20 11:12:34.360176,389094558,2,39.8027825,32.3788227,100,737.783,56.63117,0,504,-3.475139
77252,2023-01-20 11:12:35.360191,390094560,2,39.8028358,32.3788643,100,737.5119,56.81792,0,504,-3.475139
77581,2023-01-20 11:12:36.360180,391094558,2,39.8028903,32.3789049,100,737.2369,57.12845,0,504,-3.475139
77907,2023-01-20 11:12:37.360136,392094549,2,39.8029443,32.3789452,100,736.9557,57.44728,0,504,-3.475139
78235,2023-01-20 11:12:38.340356,393094566,2,39.8030003,32.3789877,100,736.6513,57.74603,0,504,-3.475139
78561,2023-01-20 11:12:39.340235,394094554,2,39.8030526,32.3790276,100,736.4761,57.7886,0,504,-3.475139
