LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
8337,2023-01-20 11:09:06.402490,180697172,1450,1464,1542,1436,1505,1506,1054,1054,0,0,0,0,0,0
8367,2023-01-20 11:09:06.502466,180797140,1408,1461,1541,1440,1506,1505,1054,1054,0,0,0,0,0,0
8400,2023-01-20 11:09:06.602469,180897135,1407,1452,1540,1431,1505,1505,1054,1056,0,0,0,0,0,0
8430,2023-01-20 11:09:06.702458,180997128,1400,1447,1553,1453,1505,1505,1055,1054,0,0,0,0,0,0
8465,2023-01-20 11:09:06.802475,181097149,1377,1471,1537,1456,1505,1506,1054,1054,0,0,0,0,0,0
8497,2023-01-20 11:09:06.902526,181197187,1380,1475,1562,1457,1505,1506,1054,1054,0,0,0,0,0,0
8530,2023-01-20 11:09:07.002483,181297132,1388,1475,1610,1461,1506,1505,1054,1055,0,0,0,0,0,0
8560,2023-01-20 11:09:07.102486,181397132,1416,1490,1628,1475,1506,1505,1054,1054,0,0,0,0,0,0
8595,2023-01-20 11:09:07.202607,181497251,1441,1505,1656,1497,1505,1505,1055,1054,0,0,0,0,0,0
8625,2023-01-20 11:09:07.302510,181597153,1425,1506,1662,1495,1506,1505,1054,1054,0,0,0,0,0,0
8661,2023-01-20 11:09:07.402549,181697190,1425,1505,1673,1498,1505,1505,1054,1055,0,0,0,0,0,0
8691,2023-01-20 11:09:07.502544,181797197,1453,1505,1677,1506,1506,1504,1054,1055,0,0,0,0,0,0
8724,2023-01-20 11:09:07.602484,181897148,1467,1505,1675,1506,1505,1505,1055,1054,0,0,0,0,0,0
8754,2023-01-20 11:09:07.702497,181997141,1475,1505,1678,1505,1505,1506,1054,1054,0,0,0,0,0,0
8789,2023-01-20 11:09:07.802568,182097192,1476,1471,1683,1505,1505,1506,1054,1054,0,0,0,0,0,0
8821,2023-01-20 11:09:07.902550,182197186,1475,1428,1678,1505,1505,1506,1054,1054,0,0,0,0,0,0
8854,2023-01-20 11:09:08.002500,182297148,1462,1418,1659,1505,1505,1506,1054,1054,0,0,0,0,0,0
8884,2023-01-20 11:09:08.102507,182397173,1471,1430,1693,1505,1505,1506,1054,1054,0,0,0,0,0,0
8919,2023-01-20 11:09:08.202476,182497159,1475,1440,1724,1505,1505,1506,1054,1054,0,0,0,0,0,0
8949,2023-01-20 11:09:08.302485,182597145,1478,1453,1730,1505,1506,1505,1054,1054,0,0,0,0,0,0
8984,2023-01-20 11:09:08.402579,182697218,1465,1462,1736,1505,1505,1505,1055,1054,0,0,0,0,0,0
9014,2023-01-20 11:09:08.502468,182797138,1462,1479,1746,1505,1506,1505,1054,1055,0,0,0,0,0,0
9047,2023-01-20 11:09:08.602441,182897141,1451,1486,1754,1505,1506,1505,1054,1054,0,0,0,0,0,0
9077,2023-01-20 11:09:08.702469,182997137,1445,1486,1747,1505,1505,1505,1055,1054,0,0,0,0,0,0
9112,2023-01-20 11:09:08.802505,183097141,1442,1466,1734,1505,1506,1505,1054,1054,0,0,0,0,0,0
9146,2023-01-20 11:09:08.902544,183197193,1431,1448,1734,1505,1506,1505,1054,1054,0,0,0,0,0,0
9179,2023-01-20 11:09:09.002270,183297154,1426,1440,1747,1505,1506,1505,1054,1054,0,0,0,0,0,0
9209,2023-01-20 11:09:09.093322,183397107,1426,1433,1753,1505,1505,1506,1054,1054,0,0,0,0,0,0
9242,2023-01-20 11:09:09.184472,183497169,1432,1426,1758,1505,1505,1506,1054,1054,0,0,0,0,0,0
9275,2023-01-20 11:09:09.282925,183597151,1433,1426,1754,1505,1505,1506,1054,1054,0,0,0,0,0,0
9308,2023-01-20 11:09:09.382953,183697192,1437,1425,1757,1505,1505,1506,1054,1054,0,0,0,0,0,0
9340,2023-01-20 11:09:09.482917,183797154,1440,1438,1764,1505,1506,1505,1054,1054,0,0,0,0,0,0
9371,2023-01-20 11:09:09.582914,183897147,1445,1450,1767,1506,1505,1506,1053,1055,0,0,0,0,0,0
9404,2023-01-20 11:09:09.682911,183997127,1446,1468,1773,1506,1505,1505,1054,1055,0,0,0,0,0,0
9438,2023-01-20 11:09:09.782943,184097139,1459,1490,1776,1506,1505,1505,1055,1054,0,0,0,0,0,0
9472,2023-01-20 11:09:09.882971,184197183,1463,1505,1779,1505,1505,1506,1054,1054,0,0,0,0,0,0
9503,2023-01-20 11:09:09.982935,184297171,1464,1505,1787,1505,1505,1505,1055,1054,0,0,0,0,0,0
9535,2023-01-20 11:09:10.082928,184397172,1461,1506,1790,1506,1505,1505,1055,1054,0,0,0,0,0,0
9567,2023-01-20 11:09:10.182915,184497163,1463,1505,1791,1505,1506,1505,1054,1054,0,0,0,0,0,0
9600,2023-01-20 11:09:10.282896,184597145,1463,1505,1793,1505,1505,1506,1054,1054,0,0,0,0,0,0
9633,2023-01-20 11:09:10.382953,184697203,1460,1506,1793,1506,1505,1505,1055,1054,0,0,0,0,0,0
9665,2023-01-20 11:09:10.482828,184797170,1452,1506,1795,1506,1505,1505,1055,1054,0,0,0,0,0,0
