LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
5999,2023-01-20 11:08:59.202908,173497352,-1.94,0.9,174.34,745.08,39.8044244,32.3787947,0.04912817,-0.00869373,-0.0165571,0.9986174
6029,2023-01-20 11:08:59.302628,173597069,-4.03,0.65,175.01,745.16,39.8044242,32.378794,0.04326099,-0.00721188,-0.03489339,0.9984283
6064,2023-01-20 11:08:59.403016,173697152,-4.95,-1.19,175.12,745.23,39.8044237,32.3787932,0.04290527,0.008573097,-0.04358911,0.9980909
6093,2023-01-20 11:08:59.514045,173797073,-5.61,-3.52,174.81,745.4,39.8044234,32.3787924,0.04664408,0.02845927,-0.0502701,0.9972399
6126,2023-01-20 11:08:59.620593,173897082,-6.71,-5.26,174.2,745.52,39.8044225,32.3787918,0.05305939,0.04286258,-0.06072535,0.9958212
6156,2023-01-20 11:08:59.711480,173997063,-7.93,-5.87,173.41,745.52,39.804422,32.3787911,0.06069745,0.04709812,-0.07191556,0.9944474
6192,2023-01-20 11:08:59.802644,174097085,-9.34,-6.06,172.71,745.52,39.80442,32.3787911,0.06754436,0.04743232,-0.08454366,0.9929956
6224,2023-01-20 11:08:59.902628,174197099,-9.54,-4.88,171.86,745.47,39.8044188,32.3787906,0.07415457,0.03644241,-0.08589374,0.9928722
6257,2023-01-20 11:09:00.002581,174297083,-9.21,-3.37,171.27,745.5,39.8044182,32.3787897,0.07810289,0.02318514,-0.08229652,0.9932722
6287,2023-01-20 11:09:00.102548,174397123,-8.4,-1.24,170.99,745.51,39.8044172,32.3787891,0.07904426,0.005090931,-0.07391539,0.994114
6322,2023-01-20 11:09:00.202709,174497355,-8.18,0.36,170.85,745.61,39.8044155,32.3787891,0.07926553,-0.008873233,-0.07091865,0.994288
6352,2023-01-20 11:09:00.302463,174597057,-7.46,1.71,170.69,745.63,39.8044142,32.3787888,0.07993765,-0.02018302,-0.06365787,0.9945604
6387,2023-01-20 11:09:00.402567,174697112,-7.44,2.48,170.51,745.71,39.8044118,32.3787881,0.08105209,-0.02697315,-0.06293453,0.9943551
6419,2023-01-20 11:09:00.502454,174797054,-7.16,3.07,170.18,745.76,39.80441,32.3787877,0.0836646,-0.03202212,-0.05991796,0.9941754
