LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
9273,2023-01-20 11:09:09.282884,183597110,39.8043503,32.3787957,750.73,11.33052,11.81052
9306,2023-01-20 11:09:09.382916,183697155,39.8043501,32.3787967,750.82,11.4277,11.9077
9338,2023-01-20 11:09:09.482880,183797117,39.8043499,32.3787978,750.92,11.52567,12.00566
9369,2023-01-20 11:09:09.582873,183897106,39.8043497,32.3787989,751.02,11.62584,12.10584
9402,2023-01-20 11:09:09.682874,183997090,39.8043495,32.3788001,751.13,11.73224,12.21224
9436,2023-01-20 11:09:09.782906,184097102,39.8043492,32.3788013,751.24,11.84067,12.32067
9470,2023-01-20 11:09:09.882931,184197143,39.8043489,32.3788026,751.35,11.9561,12.4361
9501,2023-01-20 11:09:09.982898,184297134,39.8043486,32.3788038,751.47,12.07395,12.55395
9533,2023-01-20 11:09:10.082891,184397135,39.8043483,32.3788051,751.59,12.19887,12.67887
9565,2023-01-20 11:09:10.182878,184497126,39.8043481,32.3788064,751.72,12.32712,12.80712
9598,2023-01-20 11:09:10.282859,184597108,39.8043478,32.3788077,751.86,12.46177,12.94177
9631,2023-01-20 11:09:10.382916,184697166,39.8043476,32.3788089,751.99,12.59753,13.07753
9663,2023-01-20 11:09:10.482788,184797130,39.8043474,32.3788101,752.13,12.73697,13.21697
9696,2023-01-20 11:09:10.582783,184897236,39.8043472,32.3788112,752.27,12.87441,13.35441
9728,2023-01-20 11:09:10.682671,184997088,39.8043471,32.3788123,752.41,13.01624,13.49623
9761,2023-01-20 11:09:10.782856,185097207,39.804347,32.3788133,752.56,13.16,13.64
9795,2023-01-20 11:09:10.882832,185197190,39.8043468,32.3788142,752.7,13.3087,13.7887
9826,2023-01-20 11:09:10.982846,185297226,39.8043466,32.3788152,752.85,13.45556,13.93556
9859,2023-01-20 11:09:11.082708,185397098,39.8043464,32.3788161,753,13.60534,14.08534
9891,2023-01-20 11:09:11.182838,185497236,39.8043462,32.3788171,753.15,13.75162,14.23162
9924,2023-01-20 11:09:11.282684,185597094,39.804346,32.3788181,753.29,13.89544,14.37544
9957,2023-01-20 11:09:11.382909,185697333,39.8043458,32.3788191,753.43,14.03475,14.51475
9988,2023-01-20 11:09:11.482672,185797096,39.8043457,32.3788201,753.57,14.17942,14.65942
10019,2023-01-20 11:09:11.582798,185897218,39.8043456,32.3788212,753.72,14.31998,14.79998
10051,2023-01-20 11:09:11.682734,185997136,39.8043456,32.3788222,753.86,14.46548,14.94547
10084,2023-01-20 11:09:11.782813,186097195,39.8043454,32.3788233,754,14.60603,15.08603
10118,2023-01-20 11:09:11.882763,186197147,39.8043454,32.3788242,754.14,14.74915,15.22915
10149,2023-01-20 11:09:11.982807,186297196,39.8043454,32.3788252,754.29,14.89029,15.37029
10181,2023-01-20 11:09:12.082683,186397098,39.8043454,32.3788261,754.43,15.03337,15.51337
10213,2023-01-20 11:09:12.182887,186497332,39.8043455,32.3788271,754.57,15.1721,15.6521
10246,2023-01-20 11:09:12.282663,186597086,39.8043455,32.378828,754.71,15.31731,15.79731
10280,2023-01-20 11:09:12.382829,186697219,39.8043456,32.3788288,754.85,15.45772,15.93772
10312,2023-01-20 11:09:12.482754,186797158,39.8043457,32.3788296,755,15.60527,16.08527
10343,2023-01-20 11:09:12.582778,186897205,39.8043458,32.3788305,755.15,15.75047,16.23047
10375,2023-01-20 11:09:12.682680,186997085,39.8043459,32.3788312,755.29,15.89994,16.37994
10408,2023-01-20 11:09:12.782819,187097193,39.804346,32.378832,755.44,16.04267,16.52267
10442,2023-01-20 11:09:12.882766,187197141,39.8043461,32.3788328,755.59,16.19056,16.67056
10473,2023-01-20 11:09:12.982718,187297099,39.8043463,32.3788336,755.72,16.32707,16.80707
10505,2023-01-20 11:09:13.082709,187397097,39.8043463,32.3788344,755.85,16.4565,16.9365
10537,2023-01-20 11:09:13.182729,187497124,39.8043464,32.3788352,755.96,16.56313,17.04313
10570,2023-01-20 11:09:13.282699,187597085,39.8043463,32.3788361,756.05,16.65551,17.13551
10603,2023-01-20 11:09:13.382809,187697183,39.8043464,32.378837,756.12,16.72757,17.20757
10635,2023-01-20 11:09:13.482695,187797091,39.8043464,32.3788379,756.19,16.79096,17.27096
10666,2023-01-20 11:09:13.582669,187897094,39.8043465,32.3788388,756.23,16.83861,17.31861
10698,2023-01-20 11:09:13.682731,187997141,39.8043466,32.3788396,756.28,16.88211,17.36211
10731,2023-01-20 11:09:13.782703,188097089,39.8043468,32.3788404,756.31,16.91483,17.39482
10765,2023-01-20 11:09:13.882767,188197145,39.8043469,32.3788411,756.34,16.94742,17.42742
10796,2023-01-20 11:09:13.982735,188297109,39.8043471,32.3788417,756.37,16.97082,17.45082
10828,2023-01-20 11:09:14.082715,188397097,39.8043472,32.3788422,756.39,16.99376,17.47376
10860,2023-01-20 11:09:14.182753,188497145,39.8043474,32.3788426,756.4,17.00844,17.48844
10894,2023-01-20 11:09:14.282727,188597113,39.8043475,32.3788428,756.42,17.02246,17.50245
10928,2023-01-20 11:09:14.382756,188697134,39.8043477,32.378843,756.42,17.02905,17.50905
10960,2023-01-20 11:09:14.482689,188797089,39.8043479,32.3788431,756.42,17.02626,17.50626
10991,2023-01-20 11:09:14.582674,188897103,39.8043481,32.3788432,756.41,17.01895,17.49895
11023,2023-01-20 11:09:14.682725,188997134,39.8043483,32.3788432,756.4,17.00695,17.48695
11056,2023-01-20 11:09:14.782706,189097084,39.8043484,32.3788433,756.39,16.9932,17.4732
