LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
12335,2023-01-20 11:09:18.760088,193094337,0,0,4,4,6,0,0,0,0
12370,2023-01-20 11:09:18.860076,193194358,0,0,4,4,6,0,0,0,0
12402,2023-01-20 11:09:18.960020,193294358,0,0,4,4,6,0,0,0,0
12435,2023-01-20 11:09:19.059994,193394340,0,0,4,4,6,0,0,0,0
12465,2023-01-20 11:09:19.160025,193494348,0,0,4,4,6,0,0,0,0
12500,2023-01-20 11:09:19.260087,193594342,0,0,4,4,6,0,0,0,0
12531,2023-01-20 11:09:19.360222,193694380,0,0,4,4,6,0,0,0,0
12567,2023-01-20 11:09:19.460154,193794365,0,0,4,4,6,0,0,0,0
12597,2023-01-20 11:09:19.559977,193894341,0,0,4,4,6,0,0,0,0
12631,2023-01-20 11:09:19.659917,193994321,0,0,4,4,6,0,0,0,0
12661,2023-01-20 11:09:19.759968,194094338,0,0,4,4,6,0,0,0,0
12697,2023-01-20 11:09:19.860018,194194380,0,0,4,4,6,0,0,0,0
12729,2023-01-20 11:09:19.959981,194294354,0,0,4,4,6,0,0,0,0
12762,2023-01-20 11:09:20.059960,194394330,0,0,4,4,6,0,0,0,0
12792,2023-01-20 11:09:20.159997,194494355,0,0,4,4,6,0,0,0,0
12827,2023-01-20 11:09:20.259970,194594329,0,0,4,4,6,0,0,0,0
12858,2023-01-20 11:09:20.359951,194694320,0,0,4,4,6,0,0,0,0
12893,2023-01-20 11:09:20.459967,194794353,0,0,4,4,6,0,0,0,0
12925,2023-01-20 11:09:20.559916,194894325,0,0,4,4,6,0,0,0,0
12959,2023-01-20 11:09:20.659989,194994394,0,0,4,4,6,0,0,0,0
