LineNo,UTC_Approx,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
160476,2023-01-20 11:16:47.441787,642696127,0,6.949294E-11,1.975885E-08,3.490446E-08,2.844877E-09,4.027895E-06,2.93281E-06,8.402734E-05,2.69519E-06,1.708563E-06,8.102314E-05,0,0
160638,2023-01-20 11:16:47.921906,643196072,0,6.946799E-11,1.975008E-08,3.491257E-08,2.849944E-09,4.029718E-06,2.933167E-06,8.400397E-05,2.69516E-06,1.708257E-06,8.099974E-05,0,0
160802,2023-01-20 11:16:48.421999,643696114,0,6.943487E-11,1.97397E-08,3.492061E-08,2.854589E-09,4.031605E-06,2.933502E-06,8.397668E-05,2.695113E-06,1.70795E-06,8.097292E-05,0,0
161014,2023-01-20 11:16:48.921771,644196081,0,6.941437E-11,1.973175E-08,3.492867E-08,2.85984E-09,4.034167E-06,2.933855E-06,8.393871E-05,2.695044E-06,1.707685E-06,8.093582E-05,0,0
161179,2023-01-20 11:16:49.421745,644696119,0,6.938607E-11,1.972155E-08,3.493676E-08,2.864573E-09,4.036324E-06,2.934191E-06,8.390677E-05,2.694981E-06,1.707412E-06,8.090491E-05,0,0
161341,2023-01-20 11:16:49.921699,645196072,0,6.936858E-11,1.97133E-08,3.494494E-08,2.869764E-09,4.03868E-06,2.934509E-06,8.387493E-05,2.694824E-06,1.707145E-06,8.087513E-05,0,0
161505,2023-01-20 11:16:50.421726,645696091,0,6.935795E-11,1.970384E-08,3.495326E-08,2.874726E-09,4.040524E-06,2.934847E-06,8.384685E-05,2.694534E-06,1.706872E-06,8.084909E-05,0,0
161670,2023-01-20 11:16:50.921685,646196079,0,6.934792E-11,1.969563E-08,3.496157E-08,2.879953E-09,4.04247E-06,2.935154E-06,8.38173E-05,2.694168E-06,1.706643E-06,8.082178E-05,0,0
161834,2023-01-20 11:16:51.421722,646696097,0,6.932632E-11,1.96842E-08,3.496985E-08,2.884438E-09,4.044136E-06,2.935449E-06,8.379122E-05,2.693882E-06,1.706427E-06,8.079761E-05,0,0
161997,2023-01-20 11:16:51.921704,647196076,0,6.933107E-11,1.967556E-08,3.497825E-08,2.889645E-09,4.045824E-06,2.935756E-06,8.376857E-05,2.693557E-06,1.706228E-06,8.077689E-05,0,0
162162,2023-01-20 11:16:52.421712,647696075,0,6.932416E-11,1.966498E-08,3.498664E-08,2.894305E-09,4.047055E-06,2.936E-06,8.375119E-05,2.693263E-06,1.706E-06,8.076077E-05,0,0
162324,2023-01-20 11:16:52.921691,648196080,0,6.933779E-11,1.965765E-08,3.499506E-08,2.899714E-09,4.048398E-06,2.936241E-06,8.374115E-05,2.693108E-06,1.705779E-06,8.075144E-05,0,0
162488,2023-01-20 11:16:53.421709,648696075,0,6.933783E-11,1.96488E-08,3.500342E-08,2.904652E-09,4.049365E-06,2.936466E-06,8.373302E-05,2.692944E-06,1.705582E-06,8.074273E-05,0,0
162651,2023-01-20 11:16:53.921715,649196080,0,6.933409E-11,1.96414E-08,3.501173E-08,2.90982E-09,4.048641E-06,2.936657E-06,8.372959E-05,2.692308E-06,1.705395E-06,8.073636E-05,0,0
162815,2023-01-20 11:16:54.421713,649696075,0,6.931819E-11,1.963175E-08,3.502009E-08,2.914233E-09,4.046707E-06,2.936814E-06,8.371531E-05,2.691215E-06,1.705175E-06,8.071703E-05,0,0
162977,2023-01-20 11:16:54.921700,650196072,0,6.931745E-11,1.962483E-08,3.502839E-08,2.919174E-09,4.045416E-06,2.936981E-06,8.370246E-05,2.690309E-06,1.70497E-06,8.069981E-05,0,0
163141,2023-01-20 11:16:55.421692,650696101,0,6.930884E-11,1.961706E-08,3.503663E-08,2.923642E-09,4.045997E-06,2.937172E-06,8.368554E-05,2.689974E-06,1.704774E-06,8.068011E-05,0,0
163306,2023-01-20 11:16:55.921700,651196072,0,6.932354E-11,1.961103E-08,3.504507E-08,2.928599E-09,4.047037E-06,2.937413E-06,8.368112E-05,2.689815E-06,1.704584E-06,8.067464E-05,0,0
163470,2023-01-20 11:16:56.419757,651696074,0,6.933069E-11,1.960399E-08,3.505342E-08,2.932924E-09,4.048818E-06,2.937647E-06,8.366709E-05,2.689759E-06,1.70439E-06,8.066038E-05,0,0
163632,2023-01-20 11:16:56.921708,652196081,0,6.935622E-11,1.959859E-08,3.506181E-08,2.937686E-09,4.051624E-06,2.93791E-06,8.363753E-05,2.689703E-06,1.704213E-06,8.063142E-05,0,0
163796,2023-01-20 11:16:57.401678,652696108,0,6.938568E-11,1.959357E-08,3.507023E-08,2.942396E-09,4.054515E-06,2.938153E-06,8.360775E-05,2.689641E-06,1.704033E-06,8.060255E-05,0,0
163959,2023-01-20 11:16:57.901537,653196072,0,6.940381E-11,1.958737E-08,3.507861E-08,2.946323E-09,4.057465E-06,2.93829E-06,8.356829E-05,2.689474E-06,1.703794E-06,8.056411E-05,0,0
164124,2023-01-20 11:16:58.401538,653696118,0,6.943495E-11,1.958297E-08,3.508716E-08,2.950963E-09,4.06009E-06,2.93846E-06,8.353663E-05,2.689212E-06,1.703587E-06,8.053405E-05,0,0
164287,2023-01-20 11:16:58.901453,654196080,0,6.945261E-11,1.957713E-08,3.509567E-08,2.954763E-09,4.061431E-06,2.938521E-06,8.351767E-05,2.68879E-06,1.703327E-06,8.05159E-05,0,0
