LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
7571,2023-01-20 11:09:04.101858,178396539,0,9.989594,92763.3,29.04,1.497579,178396,0,27.36973,1
7607,2023-01-20 11:09:04.201933,178496622,0,10.12738,92761.86,29.07,1.720623,178496,0,27.36973,1
7637,2023-01-20 11:09:04.301901,178596566,0,10.06951,92762.47,29.1,1.864438,178596,0,27.36973,1
7670,2023-01-20 11:09:04.401957,178696599,0,10.14116,92761.72,29.16,1.567333,178696,0,27.36973,1
7702,2023-01-20 11:09:04.501953,178796611,0,10.25139,92760.55,29.19,0.9102586,178796,0,27.36973,1
7735,2023-01-20 11:09:04.601924,178896598,0,10.41398,92758.84,29.23,0.5761236,178896,0,27.36973,1
7765,2023-01-20 11:09:04.701917,178996566,0,10.60688,92756.8,29.26,0.8353361,178996,0,27.36973,1
7800,2023-01-20 11:09:04.801971,179096597,0,10.73916,92755.41,29.31,1.289174,179096,0,27.36973,1
7830,2023-01-20 11:09:04.901912,179196574,0,10.78325,92754.94,29.35,1.525996,179196,0,27.36973,1
7865,2023-01-20 11:09:05.001910,179296608,0,10.73916,92755.41,29.37,1.359791,179296,0,27.36973,1
7895,2023-01-20 11:09:05.101888,179396563,0,10.97064,92752.97,29.39,0.9068146,179396,0,27.36973,1
7930,2023-01-20 11:09:05.201975,179496627,0,11.22417,92750.3,29.42,0.7078833,179496,0,27.36973,1
7960,2023-01-20 11:09:05.301921,179596559,0,11.32062,92749.28,29.45,1.122106,179596,0,27.36973,1
7994,2023-01-20 11:09:05.401983,179696608,0,11.33716,92749.11,29.48,1.616419,179696,0,27.36973,1
8028,2023-01-20 11:09:05.501907,179796588,0,11.43912,92748.03,29.5,1.4993,179796,0,27.36973,1
8061,2023-01-20 11:09:05.601881,179896616,0,11.45014,92747.91,29.51,0.98432,179896,0,27.36973,1
8091,2023-01-20 11:09:05.701948,179996622,0,11.55486,92746.81,29.53,0.6501856,179996,0,27.36973,1
8126,2023-01-20 11:09:05.801964,180096580,0,11.76981,92744.53,29.54,0.6398514,180096,0,27.36973,1
8156,2023-01-20 11:09:05.901895,180196551,0,11.87728,92743.41,29.55,0.8956188,180196,0,27.36973,1
8191,2023-01-20 11:09:06.001900,180296595,0,11.72296,92745.05,29.57,1.167748,180296,0,27.36973,1
8221,2023-01-20 11:09:06.101906,180396592,0,11.74501,92744.81,29.57,0.9403988,180396,0,27.36973,1
8256,2023-01-20 11:09:06.201923,180496600,0,11.65407,92745.76,29.57,0.228211,180496,0,27.36973,1
8286,2023-01-20 11:09:06.301878,180596558,0,11.73398,92744.91,29.57,-0.2953807,180596,0,27.36973,1
8319,2023-01-20 11:09:06.401893,180696575,0,11.78634,92744.36,29.57,-0.2816028,180696,0,27.36973,1
8351,2023-01-20 11:09:06.501888,180796562,0,11.81941,92744.02,29.58,0.04391878,180796,0,27.36973,1
8384,2023-01-20 11:09:06.601934,180896600,0,11.8828,92743.34,29.56,0.3496346,180896,0,27.36973,1
8414,2023-01-20 11:09:06.701891,180996561,0,11.87453,92743.44,29.52,0.4598659,180996,0,27.36973,1
8449,2023-01-20 11:09:06.801941,181096615,0,11.88831,92743.28,29.49,0.3995853,181096,0,27.36973,1
8479,2023-01-20 11:09:06.901922,181196583,0,11.78634,92744.38,29.46,0.2299345,181196,0,27.36973,1
8514,2023-01-20 11:09:07.001939,181296588,0,11.77532,92744.47,29.43,-0.03616899,181296,0,27.36973,1
8544,2023-01-20 11:09:07.101925,181396571,0,11.48872,92747.5,29.4,-0.3754714,181396,0,27.36973,1
8579,2023-01-20 11:09:07.202012,181496656,0,11.58793,92746.45,29.36,-0.7509419,181496,0,27.36973,1
8609,2023-01-20 11:09:07.301918,181596560,0,11.51628,92747.23,29.33,-0.9524561,181596,0,27.36973,1
8643,2023-01-20 11:09:07.401963,181696604,0,11.57966,92746.55,29.3,-0.7268295,181696,0,27.36973,1
8675,2023-01-20 11:09:07.501961,181796614,0,11.69816,92745.28,29.28,-0.2290726,181796,0,27.36973,1
8708,2023-01-20 11:09:07.601924,181896589,0,11.77256,92744.51,29.28,0.2480164,181896,0,27.36973,1
8738,2023-01-20 11:09:07.701924,181996568,0,11.94618,92742.68,29.28,0.6579345,181996,0,27.36973,1
8773,2023-01-20 11:09:07.802004,182096628,0,11.94893,92742.65,29.3,0.9515953,182096,0,27.36973,1
8803,2023-01-20 11:09:07.901929,182196565,0,11.84697,92743.73,29.32,0.9524572,182196,0,27.36973,1
8838,2023-01-20 11:09:08.001951,182296599,0,11.81666,92744.06,29.33,0.5356497,182296,0,27.36973,1
8868,2023-01-20 11:09:08.101926,182396592,0,11.89382,92743.23,29.37,-0.03875226,182396,0,27.36973,1
8903,2023-01-20 11:09:08.201910,182496593,0,12.18593,92740.15,29.41,-0.1429543,182496,0,27.36973,1
8933,2023-01-20 11:09:08.301902,182596562,0,12.28513,92739.11,29.43,0.4753664,182596,0,27.36973,1
8966,2023-01-20 11:09:08.401990,182696629,0,12.24931,92739.48,29.45,1.218557,182696,0,27.36973,1
8998,2023-01-20 11:09:08.501883,182796553,0,12.22726,92739.7,29.49,1.271089,182796,0,27.36973,1
9031,2023-01-20 11:09:08.601907,182896607,0,12.32923,92738.64,29.52,0.6760195,182896,0,27.36973,1
9061,2023-01-20 11:09:08.701903,182996571,0,12.43946,92737.47,29.55,0.2592126,182996,0,27.36973,1
9096,2023-01-20 11:09:08.801960,183096596,0,12.47804,92737.08,29.58,0.4090565,183096,0,27.36973,1
9128,2023-01-20 11:09:08.901946,183196595,0,12.5552,92736.25,29.59,0.7018548,183196,0,27.36973,1
9163,2023-01-20 11:09:09.001780,183296616,0,12.42017,92737.67,29.6,0.6958267,183296,0,27.36973,1
9193,2023-01-20 11:09:09.092790,183396524,0,12.60756,92735.72,29.6,0.4133627,183396,0,27.36973,1
9225,2023-01-20 11:09:09.183963,183496610,0,12.78117,92733.88,29.62,0.2609358,183496,0,27.36973,1
9259,2023-01-20 11:09:09.282357,183596583,0,12.85006,92733.16,29.64,0.5890429,183596,0,27.36973,1
9290,2023-01-20 11:09:09.382383,183696622,0,12.96305,92731.95,29.66,1.084217,183696,0,27.36973,1
9324,2023-01-20 11:09:09.482352,183796589,0,13.05674,92730.96,29.68,1.214253,183796,0,27.36973,1
9355,2023-01-20 11:09:09.582367,183896600,0,13.18626,92729.59,29.69,1.085076,183896,0,27.36973,1
9388,2023-01-20 11:09:09.682350,183996566,0,13.32405,92728.14,29.71,1.053213,183996,0,27.36973,1
9422,2023-01-20 11:09:09.782403,184096600,0,13.54727,92725.79,29.73,1.180666,184096,0,27.36973,1
9454,2023-01-20 11:09:09.882365,184196577,0,13.64923,92724.72,29.75,1.397681,184196,0,27.36973,1
9487,2023-01-20 11:09:09.982403,184296639,0,13.81458,92722.97,29.77,1.570777,184296,0,27.36973,1
9519,2023-01-20 11:09:10.082370,184396614,0,13.91103,92721.98,29.8,1.560445,184396,0,27.36973,1
9551,2023-01-20 11:09:10.182365,184496613,0,14.04881,92720.51,29.81,1.420935,184496,0,27.36973,1
9584,2023-01-20 11:09:10.282330,184596579,0,14.1866,92719.06,29.82,1.305537,184596,0,27.36973,1
9615,2023-01-20 11:09:10.382366,184696616,0,14.33266,92717.5,29.84,1.283145,184696,0,27.36973,1
9649,2023-01-20 11:09:10.482232,184796573,0,14.36021,92717.22,29.85,1.300369,184796,0,27.36973,1
9682,2023-01-20 11:09:10.582232,184896684,0,14.55312,92715.19,29.87,1.235781,184896,0,27.36973,1
9714,2023-01-20 11:09:10.682148,184996566,0,14.90861,92711.44,29.87,1.213392,184996,0,27.36973,1
9747,2023-01-20 11:09:10.782308,185096659,0,15.01884,92710.29,29.87,1.55011,185096,0,27.36973,1
9779,2023-01-20 11:09:10.882268,185196626,0,15.18143,92708.57,29.88,2.025477,185196,0,27.36973,1
9812,2023-01-20 11:09:10.982251,185296631,0,15.41016,92706.16,29.88,2.090926,185296,0,27.36973,1
9845,2023-01-20 11:09:11.082171,185396561,0,15.48456,92705.38,29.89,1.848937,185396,0,27.36973,1
9877,2023-01-20 11:09:11.182250,185496648,0,15.49283,92705.28,29.89,1.625031,185496,0,27.36973,1
9910,2023-01-20 11:09:11.282146,185596556,0,15.72155,92702.87,29.89,1.320175,185596,0,27.36973,1
