LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
23275,2023-01-20 11:09:51.884440,226279043,1,21,300,0,138.7687,190.1444,-46.98928
23401,2023-01-20 11:09:52.216915,226611528,1,22,300,0,140.2541,192.0025,-47.3115
23499,2023-01-20 11:09:52.551958,226946612,1,23,300,0,141.6727,193.8981,-47.61375
23601,2023-01-20 11:09:52.884420,227279022,1,24,300,0,143.0992,195.7798,-47.91063
23727,2023-01-20 11:09:53.216944,227611575,1,25,300,0,144.5206,197.6314,-48.19949
23825,2023-01-20 11:09:53.551926,227946559,1,26,300,0,145.9498,199.4764,-48.48222
23926,2023-01-20 11:09:53.884459,228279088,1,27,300,0,147.4101,201.3298,-48.77796
24053,2023-01-20 11:09:54.216948,228611543,1,28,300,0,148.9103,203.1883,-49.08101
24151,2023-01-20 11:09:54.551980,228946612,1,29,300,0,150.4114,205.0689,-49.35957
24252,2023-01-20 11:09:54.884437,229279028,1,30,300,0,151.8711,206.9398,-49.61514
24378,2023-01-20 11:09:55.216924,229611576,1,31,300,0,153.2533,208.7995,-49.86956
24480,2023-01-20 11:09:55.551932,229946576,1,32,300,0,154.6281,210.6834,-50.15406
24581,2023-01-20 11:09:55.876871,230279068,1,33,300,0,156.0122,212.5302,-50.4472
24704,2023-01-20 11:09:56.197403,230611549,1,34,300,0,157.3809,214.3549,-50.75637
24806,2023-01-20 11:09:56.532279,230946566,1,35,300,0,158.8176,216.1738,-51.06719
24907,2023-01-20 11:09:56.864832,231279057,1,36,300,0,160.1736,217.991,-51.38099
25030,2023-01-20 11:09:57.197164,231611545,1,37,300,0,161.5008,219.8345,-51.70629
25132,2023-01-20 11:09:57.532203,231946598,1,38,300,0,162.8724,221.7083,-52.05432
25233,2023-01-20 11:09:57.864667,232279035,1,39,300,0,164.3192,223.5936,-52.39653
25356,2023-01-20 11:09:58.197179,232611546,1,40,300,0,165.7728,225.4992,-52.69249
25458,2023-01-20 11:09:58.532221,232946621,1,41,300,0,167.1851,227.412,-52.9463
25559,2023-01-20 11:09:58.864680,233279054,1,42,300,0,168.5388,229.2703,-53.19645
25682,2023-01-20 11:09:59.197120,233611534,1,43,300,0,169.8684,231.1008,-53.46971
25783,2023-01-20 11:09:59.532193,233946591,1,44,300,0,171.2646,232.8994,-53.74529
25886,2023-01-20 11:09:59.864663,234279063,1,45,300,0,172.6509,234.6653,-53.99874
26010,2023-01-20 11:10:00.197186,234611545,1,46,300,0,173.9393,236.3485,-54.21764
26113,2023-01-20 11:10:00.532185,234946587,1,47,300,0,175.1932,237.916,-54.4339
26337,2023-01-20 11:10:01.197174,235611538,1,48,300,0,177.3821,240.4729,-54.83572
26661,2023-01-20 11:10:02.194629,236609003,1,49,300,0,178.8338,242.2993,-55.07595
27188,2023-01-20 11:10:03.857180,238271539,1,50,300,0,176.1363,241.1381,-55.20825
27512,2023-01-20 11:10:04.855039,239269401,1,51,300,0,173.7106,239.8462,-55.11814
27839,2023-01-20 11:10:05.832419,240266565,1,52,300,0,171.3888,238.7765,-55.12507
28168,2023-01-20 11:10:06.829705,241264049,1,53,300,0,168.9959,237.5406,-55.2685
28391,2023-01-20 11:10:07.494636,241929030,1,54,300,0,166.9074,236.4703,-55.34958
28590,2023-01-20 11:10:08.160129,242594506,1,55,300,0,164.1447,234.9756,-55.4168
28817,2023-01-20 11:10:08.825056,243259478,1,56,300,0,160.9287,232.957,-55.52047
28912,2023-01-20 11:10:09.157149,243591524,1,57,300,0,159.1349,231.874,-55.55849
29041,2023-01-20 11:10:09.489623,243924022,1,58,300,0,157.2808,230.755,-55.59438
29042,2023-01-20 11:10:09.492358,243926758,1,58,300,2,121.8519,168.0373,-43.41468
29043,2023-01-20 11:10:09.492372,243926772,1,58,300,2,123.3872,169.9596,-43.71941
29044,2023-01-20 11:10:09.492385,243926785,1,58,300,2,124.8848,171.8855,-43.99376
29045,2023-01-20 11:10:09.492398,243926798,1,58,300,2,126.2892,173.7803,-44.23491
29046,2023-01-20 11:10:09.492414,243926814,1,58,300,2,127.652,175.6351,-44.46678
29047,2023-01-20 11:10:09.492427,243926827,1,58,300,2,129.0139,177.4708,-44.6967
29048,2023-01-20 11:10:09.492441,243926841,1,58,300,2,130.3227,179.2628,-44.94001
29049,2023-01-20 11:10:09.492475,243926875,1,58,300,2,131.5948,181.027,-45.23798
29050,2023-01-20 11:10:09.492524,243926924,1,58,300,2,132.9178,182.8015,-45.58994
29051,2023-01-20 11:10:09.492537,243926937,1,58,300,2,134.3074,184.6027,-45.95438
29052,2023-01-20 11:10:09.492550,243926950,1,58,300,2,135.75,186.4353,-46.31184
29053,2023-01-20 11:10:09.492564,243926964,1,58,300,2,137.2528,188.2977,-46.655
29054,2023-01-20 11:10:09.492577,243926977,1,58,300,2,138.7687,190.1444,-46.98928
29055,2023-01-20 11:10:09.492593,243926993,1,58,300,2,140.2541,192.0025,-47.3115
29056,2023-01-20 11:10:09.492606,243927006,1,58,300,2,141.6727,193.8981,-47.61375
29057,2023-01-20 11:10:09.492620,243927020,1,58,300,2,143.0992,195.7798,-47.91063
29058,2023-01-20 11:10:09.492637,243927037,1,58,300,2,144.5206,197.6314,-48.19949
29059,2023-01-20 11:10:09.492650,243927050,1,58,300,2,145.9498,199.4764,-48.48222
