LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
6974,2023-01-20 11:09:02.202840,176497472,0.9539343,0.9717674,1,0.353207,2
7004,2023-01-20 11:09:02.302492,176597120,0.9538424,0.9717104,1,0.362309,2
7039,2023-01-20 11:09:02.402525,176697151,0.9537384,0.971646,1,0.3665543,2
7069,2023-01-20 11:09:02.502440,176797115,0.9533349,0.9713958,1,0.3576084,2
7102,2023-01-20 11:09:02.602393,176897115,0.9532685,0.9713546,1,0.360652,2
7132,2023-01-20 11:09:02.702429,176997106,0.9532343,0.9713334,1,0.3683711,2
7167,2023-01-20 11:09:02.802497,177097130,0.9530766,0.9712356,1,0.3632225,2
7199,2023-01-20 11:09:02.902596,177197234,0.9528815,0.9711146,1,0.3617643,2
7232,2023-01-20 11:09:03.002499,177297141,0.9528076,0.9710688,1,0.3481452,2
7262,2023-01-20 11:09:03.102479,177397133,0.9528463,0.9710928,1,0.3359765,2
7297,2023-01-20 11:09:03.202662,177497327,0.953001,0.9711888,1,0.352279,2
7327,2023-01-20 11:09:03.302449,177597119,0.953095,0.971247,1,0.3472332,2
7362,2023-01-20 11:09:03.402483,177697157,0.9530038,0.9711905,1,0.3308353,2
7392,2023-01-20 11:09:03.502460,177797133,0.9531192,0.971262,1,0.3296896,2
7425,2023-01-20 11:09:03.602441,177897113,0.9532865,0.9713658,1,0.3384042,2
7456,2023-01-20 11:09:03.702471,177997130,0.9533088,0.9713796,1,0.3414677,2
7491,2023-01-20 11:09:03.802469,178097116,0.9532729,0.9713573,1,0.3496001,2
7523,2023-01-20 11:09:03.902491,178197151,0.9531179,0.9712613,1,0.3569036,2
7556,2023-01-20 11:09:04.002462,178297134,0.9527928,0.9710596,1,0.3530772,2
7587,2023-01-20 11:09:04.102437,178397118,0.9525772,0.9709259,1,0.3469126,2
7622,2023-01-20 11:09:04.202643,178497331,0.9524854,0.970869,1,0.3499334,2
7652,2023-01-20 11:09:04.302454,178597119,0.9523942,0.9708124,1,0.3512776,2
7687,2023-01-20 11:09:04.402509,178697151,0.9522755,0.9707388,1,0.3517885,2
7717,2023-01-20 11:09:04.502492,178797150,0.9522054,0.9706953,1,0.3588944,2
7750,2023-01-20 11:09:04.602451,178897124,0.9520468,0.9705968,1,0.35949,2
7780,2023-01-20 11:09:04.702471,178997120,0.9518505,0.9704751,1,0.3538877,2
7815,2023-01-20 11:09:04.802493,179097119,0.9517166,0.970392,1,0.3425102,2
7847,2023-01-20 11:09:04.902495,179197157,0.9517209,0.9703947,1,0.3342258,2
7880,2023-01-20 11:09:05.002440,179297138,0.9518979,0.9705045,1,0.3322321,2
7910,2023-01-20 11:09:05.102434,179397108,0.9520202,0.9705804,1,0.3300244,2
7945,2023-01-20 11:09:05.202505,179497157,0.9521062,0.9706337,1,0.3366483,2
7975,2023-01-20 11:09:05.302475,179597113,0.9521216,0.9706433,1,0.3331153,2
8011,2023-01-20 11:09:05.402541,179697166,0.9521774,0.9706779,1,0.3288237,2
8043,2023-01-20 11:09:05.502444,179797125,0.952203,0.9706938,1,0.3193716,2
8076,2023-01-20 11:09:05.602412,179897147,0.9523242,0.9707689,1,0.3166967,2
8106,2023-01-20 11:09:05.702503,179997177,0.9525367,0.9709008,1,0.313691,2
8141,2023-01-20 11:09:05.802506,180097122,0.9527315,0.9710216,1,0.3266675,2
8173,2023-01-20 11:09:05.902498,180197154,0.9527912,0.9710587,1,0.3295006,2
8206,2023-01-20 11:09:06.002435,180297130,0.9526774,0.970988,1,0.3266489,2
8236,2023-01-20 11:09:06.102472,180397158,0.9526005,0.9709404,1,0.3273559,2
8271,2023-01-20 11:09:06.202467,180497144,0.9525334,0.9708987,1,0.335333,2
8301,2023-01-20 11:09:06.302432,180597111,0.952426,0.9708321,1,0.3342813,2
8336,2023-01-20 11:09:06.402466,180697148,0.9522915,0.9707487,1,0.3391215,2
8366,2023-01-20 11:09:06.502447,180797121,0.9521673,0.9706717,1,0.3424314,2
8399,2023-01-20 11:09:06.602449,180897115,0.9520813,0.9706183,1,0.3436352,2
8429,2023-01-20 11:09:06.702439,180997109,0.9519234,0.9705203,1,0.3433319,2
8464,2023-01-20 11:09:06.802455,181097129,0.9517514,0.9704136,1,0.3370117,2
8496,2023-01-20 11:09:06.902506,181197167,0.9516993,0.9703813,1,0.3463759,2
8529,2023-01-20 11:09:07.002459,181297108,0.9516295,0.9703379,1,0.3550627,2
8559,2023-01-20 11:09:07.102466,181397112,0.9514243,0.9702106,1,0.364822,2
8594,2023-01-20 11:09:07.202588,181497232,0.9511594,0.9700462,1,0.3823423,2
8624,2023-01-20 11:09:07.302492,181597134,0.9508224,0.969837,1,0.3882638,2
8660,2023-01-20 11:09:07.402525,181697166,0.9504591,0.9696114,1,0.3835014,2
8690,2023-01-20 11:09:07.502524,181797177,0.950288,0.9695052,1,0.3770242,2
8723,2023-01-20 11:09:07.602464,181897129,0.9501274,0.9694055,1,0.3727106,2
8753,2023-01-20 11:09:07.702477,181997121,0.9500368,0.9693491,1,0.3643864,2
8788,2023-01-20 11:09:07.802549,182097173,0.9499524,0.9692968,1,0.3675902,2
