LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
116720,2023-01-20 11:14:34.901515,509896081,0,408,0.0025,0.0025,0.01248489,0.01251343,0.01103579,0.01304249,0.01103582,0.01304253
118389,2023-01-20 11:14:40.001502,514996120,0,408,0.0025,0.0025,0.01248508,0.01251351,0.01103587,0.01304259,0.01103587,0.01304258
120105,2023-01-20 11:14:45.081710,520096071,0,408,0.0025,0.0025,0.01248506,0.01251351,0.01103589,0.0130426,0.01103586,0.01304257
121776,2023-01-20 11:14:50.181708,525196073,0,408,0.0025,0.0025,0.01248481,0.01251355,0.01103588,0.01304265,0.01103588,0.01304262
123444,2023-01-20 11:14:55.261721,530296082,0,408,0.0025,0.0025,0.01248481,0.01251379,0.01103591,0.01304264,0.01103589,0.01304261
125161,2023-01-20 11:15:00.357455,535396080,0,408,0.0025,0.0025,0.01248496,0.01251357,0.01103593,0.01304267,0.01103592,0.01304266
126830,2023-01-20 11:15:05.441700,540496076,0,408,0.0025,0.0025,0.01248486,0.0125135,0.01103596,0.01304267,0.01103597,0.0130427
128498,2023-01-20 11:15:10.541696,545596080,0,408,0.0025,0.0025,0.01248476,0.01251341,0.01103596,0.01304271,0.01103598,0.01304273
130217,2023-01-20 11:15:15.621664,550696072,0,408,0.0025,0.0025,0.01248457,0.01251338,0.01103606,0.01304276,0.01103604,0.01304273
131885,2023-01-20 11:15:20.721675,555796076,0,408,0.0025,0.0025,0.01248458,0.0125134,0.01103614,0.01304283,0.01103612,0.01304281
133552,2023-01-20 11:15:25.801505,560896118,0,408,0.0025,0.0025,0.01248473,0.01251339,0.01103606,0.01304283,0.01103616,0.01304287
135208,2023-01-20 11:15:30.881868,565996069,0,408,0.0025,0.0025,0.01248488,0.01251341,0.01103613,0.01304289,0.01103611,0.01304286
136871,2023-01-20 11:15:35.981711,571096094,0,408,0.0025,0.0025,0.01248496,0.01251354,0.01103618,0.01304295,0.01103614,0.01304294
138533,2023-01-20 11:15:41.061803,576196078,0,408,0.0025,0.0025,0.01248484,0.01251356,0.01103622,0.01304292,0.01103623,0.01304296
140243,2023-01-20 11:15:46.161666,581296072,0,408,0.0025,0.0025,0.01248517,0.0125135,0.01103619,0.01304303,0.01103617,0.01304297
141913,2023-01-20 11:15:51.241931,586396081,0,408,0.0025,0.0025,0.01248512,0.01251364,0.01103619,0.01304303,0.01103623,0.01304303
143579,2023-01-20 11:15:56.341709,591496071,0,408,0.0025,0.0025,0.01248493,0.01251365,0.01103622,0.01304305,0.01103619,0.01304299
145299,2023-01-20 11:16:01.421692,596596071,0,408,0.0025,0.0025,0.01248528,0.01251374,0.01103621,0.01304305,0.01103628,0.01304302
146967,2023-01-20 11:16:06.521657,601696081,0,408,0.0025,0.0025,0.0124851,0.0125138,0.01103626,0.01304301,0.01103621,0.01304301
148634,2023-01-20 11:16:11.601470,606796130,0,408,0.0025,0.0025,0.01248531,0.01251375,0.0110362,0.013043,0.01103623,0.01304301
150350,2023-01-20 11:16:16.701458,611896086,0,408,0.0025,0.0025,0.01248514,0.01251382,0.01103619,0.01304296,0.01103622,0.013043
152018,2023-01-20 11:16:21.781670,616996072,0,408,0.0025,0.0025,0.01248531,0.0125139,0.01103619,0.01304299,0.01103616,0.01304299
153688,2023-01-20 11:16:26.881704,622096082,0,408,0.0025,0.0025,0.01248546,0.01251405,0.01103615,0.01304291,0.01103619,0.01304295
