FrameIndex,VideoTimeSec,Status,SearchMode,Latitude,Longitude,MapCenterXPx,MapCenterYPx,Score,TileId,MatchCount,InlierCount,InlierRatio,MeanMatchConfidence,ReprojectionErrorPx
26696,444.933,localized,track_local,39.80374619,32.38205198,1116.35,816.83,94.5534,tile_512px_0015,45,41,0.9111,0.6700,1.3068
26705,445.083,localized,track_local,39.80376702,32.38205651,1117.13,812.35,92.9642,tile_512px_0015,41,39,0.9512,0.6812,1.1797
26713,445.217,localized,track_local,39.80377865,32.38205663,1117.17,809.85,100.4682,tile_512px_0016,44,43,0.9773,0.7510,1.1465
26723,445.383,localized,track_local,39.80378730,32.38206252,1118.16,808.00,90.4635,tile_512px_0015,45,39,0.8667,0.6877,1.2182
26732,445.533,localized,track_local,39.80379817,32.38206884,1119.23,805.66,99.7213,tile_512px_0015,47,44,0.9362,0.6793,1.5426
26741,445.683,localized,track_local,39.80381016,32.38207938,1121.00,803.10,99.5363,tile_512px_0016,47,44,0.9362,0.6751,1.7337
26751,445.85,localized,track_local,39.80382247,32.38208830,1122.49,800.46,78.5238,tile_512px_0015,39,32,0.8205,0.6875,1.2892
26758,445.967,localized,track_local,39.80383017,32.38209628,1123.83,798.81,85.6922,tile_512px_0015,38,35,0.9211,0.6864,1.7379
26767,446.117,localized,track_local,39.80384059,32.38211172,1126.41,796.58,83.2434,tile_512px_0016,41,35,0.8537,0.6606,1.9627
26775,446.25,localized,track_local,39.80385213,32.38212173,1128.09,794.11,80.9512,tile_512px_0016,46,35,0.7609,0.6607,1.3092
26784,446.4,localized,telemetry_prior,39.80385980,32.38212805,1129.15,792.47,83.5777,tile_512px_0015,37,34,0.9189,0.6256,1.6605
26792,446.533,localized,track_local,39.80386938,32.38213643,1130.55,790.42,96.6041,tile_512px_0016,46,42,0.9130,0.7026,1.0843
26802,446.7,localized,track_local,39.80388186,32.38214495,1131.99,787.74,85.6595,tile_512px_0016,42,36,0.8571,0.6944,1.3315
26809,446.817,localized,track_local,39.80389609,32.38214715,1132.37,784.68,92.1009,tile_512px_0016,43,39,0.9070,0.7266,1.1664
26818,446.967,localized,track_local,39.80391287,32.38215253,1133.29,781.07,99.9034,tile_512px_0016,49,45,0.9184,0.6200,1.7973
